time,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR,CANESM5,KACE-1-0-G,MRI-ESM2-0,MIROC6,TAIESM1,MPI-ESM1-2-HR,CNRM-CM6-1,GFDL-ESM4,EC-EARTH3,CESM2-WACCM,IITM-ESM
2000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0
2001.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0
2002.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0
2003.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0
2004.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0
2005.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0
2006.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0
2007.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0
2008.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0
2009.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0
2010.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0
2011.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0
2012.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0
2013.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0
2014.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0
2015.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0
2016.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0
2017.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0
2018.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0
2019.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0
2020.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0
2021.0,86761240000.0,86481270000.0,89294490000.0,86356520000.0,86104070000.0,87418240000.0,86649830000.0,88963050000.0,91560800000.0,87015150000.0,88437785000.0,87358145000.0,87554190000.0,89228900000.0
2022.0,82902426000.0,86107505000.0,83931670000.0,81181870000.0,79672220000.0,83299630000.0,83569844000.0,88128990000.0,90776715000.0,85122550000.0,89115970000.0,84627100000.0,85807825000.0,89500020000.0
2023.0,80252264000.0,83793486000.0,83195100000.0,79715900000.0,75896910000.0,81442824000.0,82490565000.0,84890610000.0,87280820000.0,84349610000.0,87091315000.0,80799950000.0,85053060000.0,90936150000.0
2024.0,78438334000.0,81466250000.0,78572060000.0,81266475000.0,69342220000.0,78350800000.0,81593810000.0,80489140000.0,85663780000.0,82337180000.0,84459880000.0,76795610000.0,81427780000.0,90238350000.0
2025.0,77981750000.0,76810030000.0,77291470000.0,78417480000.0,66399355000.0,75164660000.0,77421175000.0,77494730000.0,81094730000.0,77695520000.0,83029030000.0,74239440000.0,81518640000.0,87294490000.0
2026.0,74442810000.0,73996000000.0,75446370000.0,74953890000.0,60014035000.0,71498860000.0,74978025000.0,76564450000.0,82278875000.0,76940820000.0,81778780000.0,69552570000.0,78837520000.0,84973610000.0
2027.0,73192760000.0,68211490000.0,72743120000.0,73006990000.0,56358175000.0,68662830000.0,69424630000.0,72199315000.0,79255760000.0,76422250000.0,77401410000.0,66192966000.0,74837090000.0,83512520000.0
2028.0,72585410000.0,67340520000.0,71204370000.0,70054640000.0,54123766000.0,65009783000.0,66282275000.0,69004380000.0,78649025000.0,74049544000.0,76186760000.0,62295740000.0,68527866000.0,82014446000.0
2029.0,73885750000.0,63636673000.0,70061280000.0,68602642000.0,51550470000.0,62394550000.0,65334637000.0,66645692000.0,76079600000.0,71561540000.0,72802025000.0,56795990000.0,65801220000.0,81883060000.0
2030.0,71229650000.0,59176706000.0,67145730000.0,66303520000.0,48989660000.0,60390530000.0,65008947000.0,62583010000.0,74140170000.0,70010170000.0,71874896000.0,52614504000.0,64539470000.0,81883620000.0
2031.0,71234580000.0,54869420000.0,63035330000.0,65504637000.0,47122784000.0,54643077000.0,61969530000.0,61227210000.0,72697810000.0,65457283000.0,72956980000.0,49628586000.0,60715532000.0,79440100000.0
2032.0,68832150000.0,52018930000.0,63956673000.0,65446924000.0,43972354000.0,51896467000.0,59730560000.0,61305545000.0,72218800000.0,63198667000.0,70808480000.0,48003120000.0,56412824000.0,79759100000.0
2033.0,68452733000.0,48402920000.0,60819830000.0,61838803000.0,41240740000.0,47972110000.0,57888170000.0,58711175000.0,70799990000.0,58850755000.0,71176960000.0,43974070000.0,54849530000.0,77881320000.0
2034.0,69212960000.0,46223004000.0,56385425000.0,58183373000.0,38751343000.0,46348607000.0,53452850000.0,56419893000.0,68306604000.0,57723590000.0,71008980000.0,42658160000.0,53080035000.0,78309860000.0
2035.0,64477580000.0,43566445000.0,54135770000.0,53852852000.0,36740410000.0,44039217000.0,53165847000.0,53394022000.0,68542500000.0,57635574000.0,68646003000.0,42038444000.0,52379324000.0,76593250000.0
2036.0,63364727000.0,38961435000.0,50589460000.0,52095967000.0,33639508000.0,41187450000.0,50176570000.0,52032315000.0,66329320000.0,55550267000.0,68174406000.0,38455914000.0,50530603000.0,78582340000.0
2037.0,60410302000.0,36661120000.0,47239750000.0,50243640000.0,32662122000.0,37033095000.0,48142803000.0,50471150000.0,67205330000.0,55225940000.0,66485494000.0,37596300000.0,48509940000.0,77311670000.0
2038.0,59297964000.0,34040113000.0,45545540000.0,46724493000.0,29669956000.0,34387880000.0,46583714000.0,47801020000.0,64522470000.0,54092833000.0,65161556000.0,34880860000.0,45972210000.0,77679820000.0
2039.0,57522893000.0,32401603000.0,42340344000.0,44865884000.0,26944852000.0,31485856000.0,45835070000.0,46538047000.0,61764256000.0,52321133000.0,63966278000.0,33560254000.0,42212890000.0,78594880000.0
2040.0,55373850000.0,29119105000.0,40340505000.0,43150127000.0,24391680000.0,29356485000.0,45873660000.0,45267763000.0,61819085000.0,50225090000.0,63941108000.0,31434154000.0,39951380000.0,76667450000.0
2041.0,53299245000.0,26092818000.0,37960475000.0,39122174000.0,22982531000.0,28090420000.0,43159773000.0,43322757000.0,59232403000.0,48429437000.0,61965280000.0,29411678000.0,37563260000.0,74683530000.0
