time,NORESM1-M,MPI-ESM-LR,CANESM2,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,GFDL-ESM2G,GISS-E2-R
2000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0
2001.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0
2002.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0
2003.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0
2004.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0
2005.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0
2006.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0
2007.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0
2008.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0
2009.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0
2010.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0
2011.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0
2012.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0
2013.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0
2014.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0
2015.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0
2016.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0
2017.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0
2018.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0
2019.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0
2020.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0
2021.0,7276690700000.0,7250794500000.0,7270546500000.0,7274904400000.0,7265497600000.0,7265422000000.0,7269332300000.0,7256058400000.0,7269154000000.0,7263411500000.0
2022.0,7260052400000.0,7240703500000.0,7262464000000.0,7260996000000.0,7247426500000.0,7242736700000.0,7246162400000.0,7232935000000.0,7255730700000.0,7242997300000.0
2023.0,7217368000000.0,7224001300000.0,7237995600000.0,7243236400000.0,7228087600000.0,7221755000000.0,7233763500000.0,7196026300000.0,7239131000000.0,7231035700000.0
2024.0,7198908000000.0,7187923500000.0,7224393500000.0,7225622000000.0,7202311500000.0,7202217700000.0,7196520000000.0,7175375000000.0,7215931500000.0,7223355400000.0
2025.0,7200727000000.0,7168266300000.0,7192407700000.0,7200540000000.0,7181595000000.0,7175089000000.0,7166772000000.0,7126398000000.0,7199192000000.0,7216755600000.0
2026.0,7183147700000.0,7121989000000.0,7167349000000.0,7175160700000.0,7160787400000.0,7153468000000.0,7145578000000.0,7100996500000.0,7178901000000.0,7202737000000.0
2027.0,7148402600000.0,7099531700000.0,7155256700000.0,7160917400000.0,7123411400000.0,7145616000000.0,7127267500000.0,7078851000000.0,7139487600000.0,7186934000000.0
2028.0,7126101500000.0,7073299000000.0,7128117000000.0,7132650400000.0,7085003600000.0,7124556400000.0,7116529600000.0,7049307000000.0,7130922000000.0,7163322300000.0
2029.0,7104523000000.0,7047901300000.0,7113694000000.0,7114890000000.0,7052767300000.0,7102453000000.0,7094007000000.0,7018170000000.0,7118823400000.0,7118401300000.0
2030.0,7088133000000.0,7011341700000.0,7111209000000.0,7088129400000.0,7012221500000.0,7071969000000.0,7075565000000.0,6984032000000.0,7075654500000.0,7118524000000.0
2031.0,7073885600000.0,6983430700000.0,7068993000000.0,7060865400000.0,6986798700000.0,7051212000000.0,7054771000000.0,6916968000000.0,7021303000000.0,7102206000000.0
2032.0,7066925700000.0,6970585000000.0,7044458000000.0,7001928000000.0,6963034000000.0,7037210600000.0,7020774000000.0,6859286000000.0,6986552000000.0,7065141000000.0
2033.0,7031823500000.0,6945723000000.0,7013679500000.0,6959727600000.0,6933534700000.0,7024351400000.0,7002591000000.0,6805201000000.0,6967326000000.0,7043160000000.0
2034.0,6982008300000.0,6913271000000.0,6968930000000.0,6922664700000.0,6897319500000.0,7003259300000.0,6984692700000.0,6752747000000.0,6945205000000.0,7031262000000.0
2035.0,6944744500000.0,6873676000000.0,6940853000000.0,6849227000000.0,6855462000000.0,6995585000000.0,6961474600000.0,6699243500000.0,6902994400000.0,7013412000000.0
2036.0,6885470000000.0,6854230000000.0,6911161000000.0,6788630000000.0,6833644000000.0,6963555500000.0,6921304000000.0,6637507600000.0,6849487000000.0,6988943600000.0
2037.0,6822870600000.0,6823560600000.0,6861277400000.0,6731341500000.0,6788392400000.0,6934629000000.0,6903832000000.0,6577807400000.0,6817231400000.0,6961940700000.0
2038.0,6761358600000.0,6782665000000.0,6823132300000.0,6643878000000.0,6758000000000.0,6925584000000.0,6887125000000.0,6520838300000.0,6791666000000.0,6946037400000.0
2039.0,6721022500000.0,6752886000000.0,6791706000000.0,6576477000000.0,6700959500000.0,6894413000000.0,6856346000000.0,6467358000000.0,6759735000000.0,6905258000000.0
2040.0,6678598600000.0,6700128500000.0,6759370500000.0,6526641600000.0,6655917400000.0,6867442000000.0,6851037000000.0,6408600300000.0,6741482000000.0,6886709000000.0
2041.0,6637677400000.0,6654352000000.0,6737805400000.0,6461589000000.0,6624749600000.0,6826353500000.0,6838732500000.0,6391072000000.0,6716503600000.0,6876726000000.0
2042.0,6575953000000.0,6602392000000.0,6668630400000.0,6376861500000.0,6571971600000.0,6804174000000.0,6823565000000.0,6348564000000.0,6681901700000.0,6839875400000.0
2043.0,6531221300000.0,6561806700000.0,6629474400000.0,6315156000000.0,6525769000000.0,6786804400000.0,6794914600000.0,6283332700000.0,6675781000000.0,6803050000000.0
2044.0,6477713000000.0,6503716000000.0,6595416000000.0,6250200300000.0,6469613000000.0,6759997000000.0,6764616000000.0,6206803000000.0,6655608600000.0,6794834300000.0
2045.0,6409857500000.0,6461847500000.0,6550962300000.0,6164874000000.0,6419648000000.0,6719821300000.0,6742330600000.0,6133091700000.0,6626555000000.0,6781148300000.0
2046.0,6344031600000.0,6417567700000.0,6510585000000.0,6060409000000.0,6375875000000.0,6696201000000.0,6714984000000.0,6017681000000.0,6602707400000.0,6743801000000.0
2047.0,6262170300000.0,6378167500000.0,6440596500000.0,5995003000000.0,6332673400000.0,6650327000000.0,6691603600000.0,5921200700000.0,6591389000000.0,6710822000000.0
2048.0,6187867700000.0,6342526400000.0,6376682700000.0,5928609400000.0,6278432700000.0,6595797000000.0,6648102400000.0,5810186000000.0,6545980000000.0,6655565000000.0
2049.0,6118560000000.0,6303938000000.0,6305051000000.0,5840726000000.0,6221382300000.0,6565666500000.0,6615738000000.0,5685363300000.0,6524628400000.0,6626359600000.0
2050.0,6058105000000.0,6229988500000.0,6248457000000.0,5756734000000.0,6161028000000.0,6527095700000.0,6598141400000.0,5581922000000.0,6489578000000.0,6580607000000.0
2051.0,5999413000000.0,6163197000000.0,6194734000000.0,5672389300000.0,6107543000000.0,6494682600000.0,6564421300000.0,5453894400000.0,6445094400000.0,6545497700000.0
2052.0,5933657000000.0,6116858700000.0,6112252300000.0,5544646500000.0,6059301300000.0,6450757000000.0,6492328000000.0,5325257000000.0,6391728000000.0,6512369500000.0
2053.0,5891696400000.0,6074550000000.0,6078272000000.0,5454807000000.0,5995670000000.0,6397955700000.0,6462028400000.0,5194344000000.0,6334495000000.0,6491602000000.0
2054.0,5814767000000.0,6023763000000.0,6026277400000.0,5363685000000.0,5935809000000.0,6364721000000.0,6401240000000.0,5024312000000.0,6268082000000.0,6458529300000.0
2055.0,5737163000000.0,5973917000000.0,5985265500000.0,5242501500000.0,5892329000000.0,6335453700000.0,6358290000000.0,4897780000000.0,6216203400000.0,6424174300000.0
2056.0,5679958000000.0,5901722300000.0,5935109000000.0,5164554500000.0,5845437400000.0,6301469400000.0,6336696300000.0,4790209000000.0,6151756300000.0,6392142000000.0
2057.0,5614991300000.0,5835675700000.0,5877380700000.0,5032763000000.0,5773674000000.0,6269146000000.0,6279669000000.0,4644087500000.0,6088894700000.0,6345607000000.0
2058.0,5555179500000.0,5790297500000.0,5826303000000.0,4917532000000.0,5707854000000.0,6227699000000.0,6218011000000.0,4492967000000.0,6026207700000.0,6288910000000.0
2059.0,5503380400000.0,5736406500000.0,5786605500000.0,4770257000000.0,5632317000000.0,6199336500000.0,6154561000000.0,4324499000000.0,5961569300000.0,6246129000000.0
2060.0,5429756700000.0,5688446000000.0,5726464400000.0,4616293000000.0,5546069500000.0,6152571000000.0,6092154700000.0,4164092700000.0,5893486000000.0,6204642000000.0
2061.0,5339666000000.0,5630696400000.0,5669343700000.0,4479695500000.0,5474585000000.0,6119559300000.0,6056981300000.0,4020014700000.0,5841135000000.0,6162923000000.0
2062.0,5302761600000.0,5563640000000.0,5620940000000.0,4359581900000.0,5386036000000.0,6037184000000.0,6012465600000.0,3883497400000.0,5752513000000.0,6118436000000.0
2063.0,5200023700000.0,5508048000000.0,5551724400000.0,4231244500000.0,5291082500000.0,6001865500000.0,5965512000000.0,3751523000000.0,5674316600000.0,6057447400000.0
2064.0,5094349700000.0,5449772400000.0,5478566000000.0,4088258400000.0,5183812700000.0,5951043000000.0,5905839000000.0,3572462500000.0,5607959000000.0,6016904700000.0
2065.0,5016235500000.0,5390773000000.0,5415611000000.0,3941436500000.0,5104264500000.0,5893052700000.0,5850578600000.0,3436797200000.0,5528647000000.0,5979007600000.0
2066.0,4918111400000.0,5334923000000.0,5331058400000.0,3833798000000.0,5045961600000.0,5812721300000.0,5790361500000.0,3301368700000.0,5478444700000.0,5952979300000.0
2067.0,4858111300000.0,5280344600000.0,5244100500000.0,3709971500000.0,4960687000000.0,5761815500000.0,5720959400000.0,3147292000000.0,5416659500000.0,5925849500000.0
2068.0,4779782700000.0,5228266000000.0,5156462700000.0,3592843200000.0,4882111000000.0,5704759400000.0,5658618400000.0,2965866000000.0,5359876400000.0,5861112500000.0
2069.0,4682027000000.0,5167160000000.0,5065081400000.0,3476667200000.0,4796452400000.0,5620250000000.0,5560103600000.0,2805965300000.0,5306777000000.0,5828544000000.0
2070.0,4612482400000.0,5100471000000.0,4987657000000.0,3359639600000.0,4712936500000.0,5559282000000.0,5471604000000.0,2680304000000.0,5243726700000.0,5786688300000.0
2071.0,4518682600000.0,5049708700000.0,4921674400000.0,3242344300000.0,4610060700000.0,5495926600000.0,5408954000000.0,2528398500000.0,5173629400000.0,5716430600000.0
2072.0,4431017400000.0,4996708400000.0,4842917000000.0,3113651500000.0,4525744000000.0,5371408700000.0,5356810400000.0,2396294500000.0,5116135000000.0,5676815400000.0
2073.0,4325288200000.0,4950836400000.0,4768923000000.0,2960913000000.0,4457231000000.0,5295344000000.0,5284180300000.0,2293088600000.0,5035075300000.0,5629601000000.0
2074.0,4219409500000.0,4876830000000.0,4693773000000.0,2815952000000.0,4383908600000.0,5144854000000.0,5211788000000.0,2179314500000.0,4961871600000.0,5583370500000.0
2075.0,4111440000000.0,4808971400000.0,4633796000000.0,2690007700000.0,4307386400000.0,5050714000000.0,5125988000000.0,2093062600000.0,4893599000000.0,5540705000000.0
2076.0,4036509300000.0,4745950000000.0,4542477000000.0,2583397100000.0,4225732000000.0,4922581500000.0,5045648000000.0,1986011300000.0,4847667500000.0,5470851400000.0
2077.0,3910254200000.0,4692871000000.0,4471454000000.0,2436611700000.0,4141890100000.0,4830161500000.0,4955718000000.0,1890231300000.0,4779499000000.0,5427323500000.0
2078.0,3805778500000.0,4620921300000.0,4383689700000.0,2286473400000.0,4075769600000.0,4742564500000.0,4867817000000.0,1806534600000.0,4701740000000.0,5367640000000.0
2079.0,3683725600000.0,4564603400000.0,4312142400000.0,2109838700000.0,3988209800000.0,4633850300000.0,4731752000000.0,1737555800000.0,4619367000000.0,5311146500000.0
2080.0,3591333700000.0,4511683300000.0,4218048200000.0,1943348800000.0,3906315200000.0,4530196400000.0,4575980400000.0,1653849800000.0,4569917000000.0,5242381000000.0
2081.0,3521030400000.0,4443050300000.0,4155000800000.0,1778336000000.0,3828128400000.0,4421205400000.0,4456693000000.0,1569575500000.0,4516674000000.0,5187123000000.0
2082.0,3412581000000.0,4389192900000.0,4086619700000.0,1643838000000.0,3729910000000.0,4342281700000.0,4332421400000.0,1491140500000.0,4439291000000.0,5139672000000.0
2083.0,3281390400000.0,4330353000000.0,4033687300000.0,1518968000000.0,3642778200000.0,4243940200000.0,4211659500000.0,1427578800000.0,4367284000000.0,5081265600000.0
2084.0,3152568000000.0,4263113700000.0,3932660200000.0,1406145800000.0,3552484500000.0,4127230800000.0,4107350800000.0,1355121600000.0,4265252000000.0,5031235000000.0
2085.0,3051023200000.0,4193971900000.0,3864324500000.0,1308781700000.0,3468527400000.0,4039093000000.0,4010143000000.0,1261645900000.0,4197225900000.0,4948507000000.0
2086.0,2954753200000.0,4128709300000.0,3780369000000.0,1213503500000.0,3388753000000.0,3917292500000.0,3930318700000.0,1172180200000.0,4133315700000.0,4886074000000.0
2087.0,2851632600000.0,4071981800000.0,3705211200000.0,1113997400000.0,3309850300000.0,3813048800000.0,3783187000000.0,1091694100000.0,4020844400000.0,4835580000000.0
2088.0,2780324000000.0,4017286800000.0,3633328400000.0,1018856300000.0,3229869100000.0,3727434000000.0,3639274600000.0,1042164700000.0,3905798000000.0,4803720000000.0
2089.0,2675250600000.0,3962463300000.0,3550385500000.0,942372750000.0,3148497300000.0,3646061000000.0,3513106800000.0,1003583050000.0,3833394600000.0,4747733000000.0
2090.0,2590606400000.0,3897767200000.0,3468035000000.0,870788400000.0,3056158600000.0,3534329200000.0,3397944300000.0,960337150000.0,3702493800000.0,4696600000000.0
2091.0,2485370700000.0,3846188600000.0,3392259500000.0,807605100000.0,2956484700000.0,3436856200000.0,3284284000000.0,913609900000.0,3538605800000.0,4660201000000.0
2092.0,2378431700000.0,3787298700000.0,3320809800000.0,733970800000.0,2865735000000.0,3304037000000.0,3167063400000.0,859449460000.0,3449798300000.0,4616012000000.0
2093.0,2272842000000.0,3724895600000.0,3251500500000.0,671538500000.0,2780795000000.0,3189403800000.0,3028110800000.0,811598900000.0,3345364000000.0,4572255400000.0
2094.0,2190699100000.0,3661603300000.0,3178534800000.0,621631050000.0,2689383300000.0,3094792600000.0,2917808200000.0,765652600000.0,3266720300000.0,4529320400000.0
2095.0,2095171800000.0,3603194700000.0,3115612400000.0,572948900000.0,2602995000000.0,2995798000000.0,2836780500000.0,716389800000.0,3182057800000.0,4496120300000.0
2096.0,2015746200000.0,3545095700000.0,3040235000000.0,526500760000.0,2518701600000.0,2899117600000.0,2730930200000.0,665622350000.0,3103918000000.0,4454086600000.0
2097.0,1941018600000.0,3494558600000.0,2954324600000.0,472876000000.0,2440816800000.0,2816133000000.0,2621031800000.0,621482340000.0,3008455200000.0,4404970000000.0
2098.0,1860272000000.0,3436895000000.0,2871041500000.0,425097360000.0,2357457600000.0,2740180200000.0,2531988000000.0,580614700000.0,2879704300000.0,4366535200000.0
2099.0,1748762000000.0,3373411000000.0,2799119600000.0,378416300000.0,2275400700000.0,2650694500000.0,2417021400000.0,545874870000.0,2744563300000.0,4322130100000.0
2100.0,1648134600000.0,3320760500000.0,2729008200000.0,340135970000.0,2189217500000.0,2555820400000.0,2308150400000.0,516600430000.0,2641976600000.0,4272641800000.0
