time,IPSL-CM5A-LR,CESM1-CAM5,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,NORESM1-M,GFDL-CM3
2000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0
2001.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0
2002.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0
2003.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0
2004.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0
2005.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0
2006.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0
2007.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0
2008.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0
2009.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0
2010.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0
2011.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0
2012.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0
2013.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0
2014.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0
2015.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0
2016.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0
2017.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0
2018.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0
2019.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0
2020.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0
2021.0,7262731500000.0,7261715000000.0,7262401000000.0,7266760700000.0,7267230400000.0,7286033000000.0,7255791500000.0,7269226000000.0
2022.0,7251774400000.0,7235491600000.0,7247588000000.0,7240925000000.0,7246485400000.0,7258383000000.0,7239413300000.0,7252136700000.0
2023.0,7216310500000.0,7221864300000.0,7239065700000.0,7229958000000.0,7227472600000.0,7249419000000.0,7237993500000.0,7239217000000.0
2024.0,7198988000000.0,7192985000000.0,7231552600000.0,7231820000000.0,7209142000000.0,7228061400000.0,7231883000000.0,7210087000000.0
2025.0,7180286000000.0,7182472400000.0,7202660700000.0,7222523000000.0,7188906000000.0,7220866600000.0,7224799300000.0,7199498000000.0
2026.0,7159424000000.0,7164968000000.0,7183782600000.0,7209069000000.0,7184186000000.0,7185455600000.0,7190615700000.0,7178995400000.0
2027.0,7142064500000.0,7164251000000.0,7172928300000.0,7205518600000.0,7162040000000.0,7149478000000.0,7171260500000.0,7160896000000.0
2028.0,7152025000000.0,7155974000000.0,7161659000000.0,7188385000000.0,7162433000000.0,7123801000000.0,7150375500000.0,7133705000000.0
2029.0,7111666000000.0,7140951500000.0,7152999600000.0,7176072500000.0,7142514000000.0,7093550600000.0,7129070000000.0,7108991000000.0
2030.0,7129831300000.0,7112764700000.0,7125354000000.0,7157054400000.0,7116759000000.0,7068568000000.0,7118281000000.0,7065264000000.0
2031.0,7104696400000.0,7104436000000.0,7083816000000.0,7130215000000.0,7090066000000.0,7059677000000.0,7107309500000.0,7036062400000.0
2032.0,7100273500000.0,7095684400000.0,7059277000000.0,7094516000000.0,7066015000000.0,7045376000000.0,7076412000000.0,7010687400000.0
2033.0,7075197400000.0,7066757400000.0,7035740500000.0,7077834500000.0,7049514600000.0,7028002500000.0,7043028600000.0,6995176300000.0
2034.0,7039223300000.0,7053850000000.0,7011009000000.0,7084511300000.0,7031872000000.0,6997683500000.0,7016593000000.0,6951536000000.0
2035.0,7014329600000.0,7023582000000.0,6975210000000.0,7053701500000.0,7002096000000.0,6982047000000.0,7005695000000.0,6909449000000.0
2036.0,6997590700000.0,6986107700000.0,6953604000000.0,7015381300000.0,6983748000000.0,6959346000000.0,6969909000000.0,6864373300000.0
2037.0,6983763600000.0,6959709300000.0,6938030500000.0,6967019400000.0,6970638600000.0,6945424500000.0,6943576000000.0,6841690500000.0
2038.0,6947214500000.0,6938728300000.0,6903175300000.0,6951371500000.0,6968873000000.0,6928226300000.0,6902569000000.0,6805205000000.0
2039.0,6928693500000.0,6917072600000.0,6880721600000.0,6928723000000.0,6944318000000.0,6902388000000.0,6862866500000.0,6775801000000.0
2040.0,6893084000000.0,6882121500000.0,6847959000000.0,6920193700000.0,6936356500000.0,6878560500000.0,6850263000000.0,6739179000000.0
2041.0,6865149000000.0,6864315600000.0,6816671500000.0,6917628400000.0,6914610000000.0,6863863700000.0,6823177400000.0,6707528000000.0
2042.0,6838726000000.0,6829048300000.0,6799184000000.0,6896478000000.0,6890283600000.0,6836003500000.0,6777646000000.0,6653706500000.0
2043.0,6806688500000.0,6798472000000.0,6781709000000.0,6865260400000.0,6880446400000.0,6806234500000.0,6747246300000.0,6623787500000.0
2044.0,6777695000000.0,6752127000000.0,6735125300000.0,6847118400000.0,6857706000000.0,6777269600000.0,6714472000000.0,6571532000000.0
2045.0,6736271400000.0,6699203000000.0,6695888000000.0,6807184000000.0,6839676700000.0,6760332000000.0,6685827000000.0,6543309000000.0
2046.0,6662196300000.0,6643104400000.0,6672435600000.0,6786948000000.0,6827918000000.0,6739586000000.0,6649762000000.0,6496777000000.0
