time,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0
2001.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0
2002.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0
2003.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0
2004.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0
2005.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0
2006.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0
2007.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0
2008.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0
2009.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0
2010.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0
2011.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0
2012.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0
2013.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0
2014.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0
2015.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0
2016.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0
2017.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0
2018.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0
2019.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0
2020.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0
2021.0,33705087000.0,33700170000.0,33704983000.0,33685475000.0,33691044000.0,33710678000.0
2022.0,33681623000.0,33695748000.0,33693608000.0,33665620000.0,33661247000.0,33700352000.0
2023.0,33667783000.0,33689565000.0,33681482000.0,33667369000.0,33635645000.0,33691625000.0
2024.0,33658122000.0,33676468000.0,33664310000.0,33647403000.0,33593147000.0,33683812000.0
2025.0,33639250000.0,33666392000.0,33647946000.0,33624723000.0,33554561000.0,33672569000.0
2026.0,33625758000.0,33659300000.0,33628594000.0,33612048000.0,33480935000.0,33645883000.0
2027.0,33598566000.0,33651782000.0,33616710000.0,33586528000.0,33403957000.0,33617842000.0
2028.0,33573896000.0,33700813000.0,33607004000.0,33565485000.0,33328077000.0,33596530000.0
2029.0,33548675000.0,33649020000.0,33603050000.0,33530268000.0,33248842000.0,33575600000.0
2030.0,33506933000.0,33636588000.0,33573941000.0,33518836000.0,33148810000.0,33523167000.0
2031.0,33478494000.0,33611039000.0,33569753000.0,33475305000.0,33016502000.0,33505190000.0
2032.0,33450893000.0,33595140000.0,33579182000.0,33441292000.0,32849416000.0,33484294000.0
2033.0,33419622000.0,33581328000.0,33549152000.0,33419043000.0,32728158000.0,33453285000.0
