,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI12,1888,406,1306.992,160.655,0.12291965061760134
RGI10,5151,173,2410.051,88.20200000000001,0.036597565777653676
RGI06,568,137,11059.699999999999,302.51800000000003,0.027353183178567237
RGI03,4556,158,105110.64199999999,595.396,0.0056644692551682824
RGI02,18855,614,14524.224,30.103,0.002072606426339886
RGI19,2752,574,132867.219,272.31300000000005,0.00204951230295563
RGI13,54429,356,49303.41500000001,93.986,0.0019062776888781434
RGI17,15908,95,29429.079999999998,46.46500000000001,0.0015788804814829418
RGI05,19306,355,89717.06599999999,92.762,0.0010339392953398632
RGI15,13119,36,14734.204,12.558000000000002,0.0008523025743365575
RGI14,27988,128,33568.298,24.057000000000002,0.0007166583185123058
RGI04,7415,47,40888.228,13.116,0.00032077692386180194
RGI16,2939,13,2341.036,0.7360000000000001,0.0003143907227398468
RGI09,1069,3,51591.6,15.84,0.0003070267252808597
RGI08,3417,16,2949.103,0.754,0.00025567096164494764
RGI11,3927,24,2092.1459999999997,0.525,0.0002509385100275029
RGI01,27108,33,86725.053,9.77,0.00011265487494138515
RGI18,3537,1,1161.801,0.031,2.668271072240427e-05
RGI07,1615,11,33958.933999999994,0.734,2.1614341604480285e-05
