,cmip,gcm_original,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
CMIP5:2100:CESM1-CAM5:rcp45:RGI05,CMIP5,CESM1-CAM5,CESM1-CAM5,rcp45,RGI05,2101,2000-2019,0.00010185353141173833,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_CESM1-CAM5_rcp45_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:NORESM1-M:rcp45:RGI05,CMIP5,NorESM1-M,NORESM1-M,rcp45,RGI05,2101,2000-2019,0.00010720368407945931,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_NorESM1-M_rcp45_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:IPSL-CM5A-LR:rcp26:RGI05,CMIP5,IPSL-CM5A-LR,IPSL-CM5A-LR,rcp26,RGI05,2101,2000-2019,0.00011060326025374036,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_IPSL-CM5A-LR_rcp26_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:GFDL-ESM2G:rcp26:RGI05,CMIP5,GFDL-ESM2G,GFDL-ESM2G,rcp26,RGI05,2101,2000-2019,0.00011185162920954193,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_GFDL-ESM2G_rcp26_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:CCSM4:rcp85:RGI05,CMIP5,CCSM4,CCSM4,rcp85,RGI05,2101,2000-2019,0.00010317992342727748,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_CCSM4_rcp85_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:GFDL-CM3:rcp85:RGI05,CMIP5,GFDL-CM3,GFDL-CM3,rcp85,RGI05,2101,2000-2019,9.221211045844947e-05,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_GFDL-CM3_rcp85_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:CNRM-CM5:rcp45:RGI05,CMIP5,CNRM-CM5,CNRM-CM5,rcp45,RGI05,2101,2000-2019,0.0008055435071851325,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_CNRM-CM5_rcp45_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:NORESM1-M:rcp85:RGI05,CMIP5,NorESM1-M,NORESM1-M,rcp85,RGI05,2101,2000-2019,0.00010818454540187485,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_NorESM1-M_rcp85_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:CNRM-CM5:rcp85:RGI05,CMIP5,CNRM-CM5,CNRM-CM5,rcp85,RGI05,2101,2000-2019,0.0001617640951388223,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_CNRM-CM5_rcp85_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP5:2100:CSIRO-MK3-6-0:rcp26:RGI05,CMIP5,CSIRO-Mk3-6-0,CSIRO-MK3-6-0,rcp26,RGI05,2101,2000-2019,0.00012070167341406374,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/per_glacier_spinup/CMIP5/2100/RGI05/run_hydro_w5e5_gcm_merged_CSIRO-Mk3-6-0_rcp26_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
