time,IPSL-CM5A-LR,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,GISS-E2-R
2000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0
2021.0,72275100000.0,69093065000.0,72960115000.0,73750660000.0,71070910000.0,73204285000.0,73684750000.0,73174210000.0
2022.0,71149500000.0,67899080000.0,71478820000.0,72879915000.0,68511800000.0,71066616000.0,70996230000.0,72527000000.0
2023.0,67610440000.0,68482310000.0,68807770000.0,71391870000.0,65282430000.0,67629970000.0,70042700000.0,70731320000.0
2024.0,65081094000.0,67540095000.0,65059627000.0,69681790000.0,63558377000.0,65168003000.0,70131300000.0,70436630000.0
2025.0,63203430000.0,65646998000.0,61903753000.0,71665480000.0,59483075000.0,62058310000.0,71305300000.0,68497530000.0
2026.0,61051140000.0,66518827000.0,61452607000.0,72468860000.0,54748905000.0,60814270000.0,70212060000.0,66966385000.0
2027.0,60228280000.0,63934280000.0,59110584000.0,74791990000.0,52809640000.0,58882355000.0,68516413000.0,66785595000.0
2028.0,57976970000.0,59310068000.0,57908460000.0,72605835000.0,49735820000.0,56548897000.0,68888855000.0,65367773000.0
2029.0,56967766000.0,57473712000.0,57418932000.0,69664880000.0,47108743000.0,55378630000.0,67989615000.0,64903620000.0
2030.0,55307985000.0,57117802000.0,54859690000.0,70628690000.0,43494117000.0,54865998000.0,67695440000.0,64230007000.0
2031.0,53498020000.0,55273810000.0,53790100000.0,70728606000.0,42235253000.0,55171154000.0,64947060000.0,61721903000.0
2032.0,52854140000.0,52986800000.0,52386300000.0,68369950000.0,39221002000.0,52467310000.0,63215698000.0,61016190000.0
2033.0,48397640000.0,49967706000.0,53487993000.0,68176100000.0,37584798000.0,52040460000.0,61160145000.0,60860568000.0
2034.0,46740330000.0,50350460000.0,54090047000.0,67382096000.0,35723590000.0,54877078000.0,61290340000.0,59484398000.0
2035.0,45721952000.0,51496673000.0,53372596000.0,66706026000.0,34058457000.0,55456410000.0,60383166000.0,57820627000.0
2036.0,44913700000.0,50809176000.0,52333543000.0,64030847000.0,31947463000.0,55795204000.0,58431377000.0,56592867000.0
2037.0,45237146000.0,49881567000.0,53620660000.0,62287303000.0,32291710000.0,51191630000.0,55023755000.0,54220476000.0
2038.0,43313775000.0,50006720000.0,53069697000.0,59822130000.0,30690556000.0,48026250000.0,54940836000.0,51617358000.0
2039.0,40753197000.0,48194773000.0,52600234000.0,59569890000.0,29507748000.0,44647182000.0,53767803000.0,50112397000.0
2040.0,40792370000.0,44307014000.0,53487387000.0,57623410000.0,27270593000.0,44015264000.0,50173846000.0,49494127000.0
2041.0,41085227000.0,41672393000.0,53778883000.0,56169284000.0,27401015000.0,45165666000.0,49181917000.0,48986804000.0
2042.0,39391953000.0,42000646000.0,53487186000.0,56205345000.0,25990000000.0,45630996000.0,48650957000.0,47551590000.0
2043.0,39666803000.0,41243140000.0,52524245000.0,54537910000.0,23984687000.0,44297974000.0,48153020000.0,47363105000.0
2044.0,37899223000.0,39713337000.0,52913860000.0,53289226000.0,24147304000.0,40483357000.0,47214570000.0,46886855000.0
2045.0,36303495000.0,38241935000.0,52065920000.0,52463300000.0,23696589000.0,38561587000.0,47196390000.0,45834486000.0
2046.0,34474553000.0,36941693000.0,51205580000.0,51614880000.0,23229194000.0,37271130000.0,46129324000.0,44146850000.0
2047.0,30758040000.0,37243230000.0,50032185000.0,46742300000.0,22230108000.0,34234864000.0,43974590000.0,43354284000.0
2048.0,27521386000.0,36622800000.0,46047613000.0,45096292000.0,21307517000.0,32056156000.0,43009420000.0,43059585000.0
2049.0,27081964000.0,34632438000.0,42379993000.0,45332374000.0,20491842000.0,30000964000.0,42244796000.0,41138545000.0
2050.0,26267280000.0,32635770000.0,41156110000.0,45054665000.0,19602975000.0,27852257000.0,41665500000.0,38929183000.0
2051.0,25206086000.0,30880186000.0,41129850000.0,43358573000.0,18147457000.0,24586009000.0,38834213000.0,37746872000.0
2052.0,23646523000.0,30434578000.0,40975250000.0,40018740000.0,18083144000.0,23648817000.0,36293530000.0,38340810000.0
2053.0,22981927000.0,30741100000.0,38915340000.0,41273594000.0,17008370000.0,22923200000.0,36084930000.0,37613355000.0
2054.0,22105842000.0,30658499000.0,37581943000.0,41573822000.0,15829804000.0,22235939000.0,35421940000.0,37271355000.0
2055.0,21769271000.0,29101965000.0,37276025000.0,41546957000.0,14950002000.0,20936251000.0,33746580000.0,36172603000.0
2056.0,22405468000.0,26296764000.0,37212520000.0,41266213000.0,13633932000.0,20151570000.0,32816410000.0,36354660000.0
2057.0,22345732000.0,26464080000.0,35778798000.0,39789486000.0,13174394000.0,19096488000.0,32684167000.0,35495743000.0
2058.0,22561770000.0,27002966000.0,35785270000.0,40483746000.0,12867573000.0,18803534000.0,32622213000.0,34391695000.0
2059.0,21293031000.0,25388230000.0,35364282000.0,39073186000.0,12115584000.0,19019180000.0,32587663000.0,34029451000.0
2060.0,20602376000.0,22804994000.0,35951430000.0,38456136000.0,11895879000.0,19086514000.0,32179382000.0,32899783000.0
2061.0,20344494000.0,22848300000.0,33050065000.0,37834936000.0,11595879000.0,17523210000.0,31699740000.0,33170463000.0
2062.0,19843390000.0,22618501000.0,30942149000.0,36905540000.0,11442502000.0,16900471000.0,31984398000.0,32090542000.0
2063.0,18168984000.0,22165965000.0,30916970000.0,35133680000.0,10758923000.0,17116175000.0,31179936000.0,31044162000.0
2064.0,16825348000.0,21309897000.0,31354167000.0,34734310000.0,10366363000.0,17599212000.0,30528358000.0,30252000000.0
2065.0,15713670000.0,19905645000.0,30345863000.0,34453037000.0,10214294000.0,17390502000.0,30448222000.0,30203253000.0
2066.0,15499593000.0,18111394000.0,29272986000.0,32788517000.0,10284326000.0,16671362000.0,30694535000.0,29529932000.0
2067.0,15471347000.0,17832075000.0,28719075000.0,31538670000.0,9571700000.0,15750423000.0,30599885000.0,28399650000.0
2068.0,15403070000.0,17727080000.0,26780680000.0,29541874000.0,9519880000.0,15829859000.0,29232520000.0,27182766000.0
2069.0,14295286000.0,17178677000.0,25539924000.0,28827726000.0,9443212000.0,15026986000.0,28566313000.0,25946550000.0
2070.0,14364387000.0,16340974000.0,24518693000.0,28254073000.0,9029743000.0,13632251000.0,28332866000.0,25502521000.0
2071.0,13511794000.0,16332419000.0,23905098000.0,28014029000.0,9058296000.0,13493068000.0,28240546000.0,24630004000.0
2072.0,12515689000.0,15259941000.0,23236448000.0,27282410000.0,8665334000.0,13695546000.0,27824840000.0,23481510000.0
2073.0,12560926000.0,13630674000.0,22705138000.0,26881364000.0,7927316500.0,12870411000.0,27394548000.0,23042360000.0
2074.0,12264826000.0,13956210000.0,21383645000.0,25941530000.0,7722674000.0,11750849000.0,25719972000.0,23433253000.0
2075.0,12159745000.0,14197515000.0,21135497000.0,25468514000.0,7330362000.0,11153528000.0,23990473000.0,22833848000.0
2076.0,12833369000.0,13817316000.0,21219695000.0,24802955000.0,6937670700.0,10741246000.0,23692067000.0,21866125000.0
2077.0,12732200000.0,13091505000.0,20259017000.0,24974565000.0,6696903700.0,10317416000.0,23438967000.0,21435910000.0
2078.0,12456310000.0,12457992000.0,19774214000.0,24314840000.0,6319722000.0,9201880000.0,22781750000.0,20596077000.0
2079.0,12113747000.0,11947193000.0,20712490000.0,24091814000.0,6128506400.0,8482703400.0,21796698000.0,19889670000.0
2080.0,11138938000.0,12069579000.0,20910316000.0,22703016000.0,6013614600.0,7988640000.0,20955453000.0,19236213000.0
2081.0,10264188000.0,12004230000.0,21045010000.0,22292822000.0,5875470300.0,7881792500.0,20632187000.0,18824104000.0
2082.0,9717029000.0,11150836000.0,21181241000.0,21536780000.0,5663830000.0,7594704400.0,19942074000.0,18729523000.0
2083.0,8809570000.0,9712332000.0,21167650000.0,20986927000.0,4989728000.0,6803670000.0,19917388000.0,18560352000.0
2084.0,8504527000.0,9890190000.0,20182624000.0,20493165000.0,4655980000.0,6432389000.0,20096880000.0,17782266000.0
2085.0,8135643600.0,9989982000.0,18097033000.0,19527348000.0,4517831000.0,6051493000.0,19572610000.0,17101334000.0
2086.0,8291030000.0,9738952000.0,17363546000.0,18632075000.0,4235158500.0,5523084300.0,18543634000.0,16701575000.0
2087.0,8219641300.0,9292622000.0,18008695000.0,18337352000.0,4230314500.0,5375069000.0,18670275000.0,16221903000.0
2088.0,7846429700.0,8837477000.0,17737044000.0,17801849000.0,4076602000.0,5835750400.0,18139490000.0,15794472000.0
2089.0,7620503000.0,8348856000.0,17134778000.0,17414074000.0,3807475500.0,5759176000.0,17217060000.0,15390875000.0
2090.0,7215454700.0,7925517000.0,16352613000.0,17059729000.0,3743912700.0,5494906400.0,16495089000.0,14735473000.0
2091.0,6863258000.0,7108514300.0,16052560000.0,16687773000.0,3624593700.0,5356199400.0,16247493000.0,14703420000.0
2092.0,6061192000.0,6951292400.0,15800028000.0,15618554000.0,3451520500.0,5279822000.0,15828114000.0,14066360000.0
2093.0,5950511600.0,7174320600.0,15059118000.0,15251693000.0,3368652000.0,5246695000.0,16016973000.0,13927982000.0
2094.0,6155660300.0,7036455000.0,14435818000.0,15192414000.0,3287079200.0,5111851000.0,16156115000.0,14174854000.0
2095.0,6433304600.0,6366335000.0,13753103000.0,14788853000.0,3210745900.0,4941167000.0,15687406000.0,14149633000.0
2096.0,6325802500.0,6366974500.0,13917802000.0,13459312000.0,3051601000.0,4770977300.0,15506811000.0,13785689000.0
2097.0,6336859600.0,6361205000.0,14042764000.0,12497982000.0,2969905000.0,4544102000.0,15183308000.0,13327118000.0
2098.0,6198329300.0,6424593000.0,14236346000.0,12702595000.0,2889041200.0,4742370300.0,14894447000.0,12793657000.0
2099.0,5621382000.0,6158935600.0,14006015000.0,12495726000.0,2851640300.0,4507466000.0,14757842000.0,12189857000.0
2100.0,5296182300.0,5827781000.0,13192682000.0,12447191000.0,2792420000.0,4310815000.0,14334088000.0,12412319000.0
