time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,UKESM1-0-LL
2000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0
2021.0,14551083000000.0,14478463000000.0,14464675000000.0,14489389000000.0,14509808000000.0
2022.0,14534474000000.0,14425765000000.0,14390484000000.0,14392041000000.0,14398003000000.0
2023.0,14421460000000.0,14278080000000.0,14293800000000.0,14294601000000.0,14296022000000.0
2024.0,14316371000000.0,14165591000000.0,14249599000000.0,14099012000000.0,14163821000000.0
2025.0,14207131000000.0,14081257000000.0,14217088000000.0,13908584000000.0,14013066000000.0
2026.0,14156162000000.0,14011802000000.0,14111932000000.0,13806519000000.0,13886986000000.0
2027.0,14035688000000.0,13945324000000.0,14044590000000.0,13714898000000.0,13784180000000.0
2028.0,13918883000000.0,13901200000000.0,13971338000000.0,13556704000000.0,13655150000000.0
2029.0,13790556000000.0,13854146000000.0,13860294000000.0,13420860000000.0,13552911000000.0
2030.0,13772034000000.0,13771872000000.0,13785095000000.0,13345122000000.0,13420457000000.0
2031.0,13678049000000.0,13685256000000.0,13725571000000.0,13229132000000.0,13268877000000.0
2032.0,13579373000000.0,13577134000000.0,13610784000000.0,13046584000000.0,13112934000000.0
2033.0,13478914000000.0,13516871000000.0,13513904000000.0,12899317000000.0,12955629000000.0
2034.0,13362931000000.0,13386532000000.0,13439526000000.0,12743333000000.0,12790384000000.0
2035.0,13269641000000.0,13316526000000.0,13411952000000.0,12623837000000.0,12542629000000.0
2036.0,13190965000000.0,13299189000000.0,13375824000000.0,12459699000000.0,12412291000000.0
2037.0,13048483000000.0,13232168000000.0,13309560000000.0,12335635000000.0,12204953000000.0
2038.0,12999765000000.0,13111652000000.0,13251881000000.0,12224180000000.0,12029733000000.0
2039.0,12898264000000.0,13025381000000.0,13122900000000.0,12123990000000.0,11880667000000.0
2040.0,12831096000000.0,12980500000000.0,13054697000000.0,12019405000000.0,11751963000000.0
