time,IITM-ESM,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,TAIESM1,KACE-1-0-G,CESM2-WACCM,GFDL-ESM4,UKESM1-0-LL
2000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0
2021.0,14514405000000.0,14497510000000.0,14482242000000.0,14412807000000.0,14445942000000.0,14463809000000.0,14472789000000.0,14491514000000.0,14463129000000.0
2022.0,14471909000000.0,14469974000000.0,14415415000000.0,14304598000000.0,14386432000000.0,14344853000000.0,14402722000000.0,14459803000000.0,14360399000000.0
2023.0,14398505000000.0,14389855000000.0,14362422000000.0,14255427000000.0,14268896000000.0,14251027000000.0,14312050000000.0,14386438000000.0,14296411000000.0
2024.0,14355647000000.0,14335465000000.0,14306406000000.0,14169484000000.0,14112271000000.0,14134424000000.0,14229963000000.0,14332317000000.0,14223223000000.0
2025.0,14292915000000.0,14238293000000.0,14250537000000.0,14062814000000.0,14025451000000.0,14045326000000.0,14136028000000.0,14228564000000.0,14091237000000.0
2026.0,14233806000000.0,14225560000000.0,14215935000000.0,13969325000000.0,13876301000000.0,13978806000000.0,14023468000000.0,14153868000000.0,13901819000000.0
2027.0,14182148000000.0,14132817000000.0,14188588000000.0,13891944000000.0,13713443000000.0,13856690000000.0,13931601000000.0,14140036000000.0,13849248000000.0
2028.0,14133481000000.0,14058278000000.0,14096551000000.0,13813393000000.0,13589311000000.0,13779458000000.0,13831624000000.0,14031077000000.0,13727645000000.0
2029.0,14082814000000.0,14009823000000.0,13999354000000.0,13745082000000.0,13472963000000.0,13703373000000.0,13714698000000.0,13961868000000.0,13671863000000.0
2030.0,14009748000000.0,13901557000000.0,13957737000000.0,13666307000000.0,13369821000000.0,13632717000000.0,13568082000000.0,13855933000000.0,13552452000000.0
2031.0,13916784000000.0,13828453000000.0,13897582000000.0,13605896000000.0,13210533000000.0,13591622000000.0,13477932000000.0,13762286000000.0,13461738000000.0
2032.0,13830677000000.0,13720589000000.0,13857807000000.0,13496410000000.0,13065949000000.0,13505429000000.0,13384027000000.0,13651688000000.0,13352377000000.0
2033.0,13769659000000.0,13670492000000.0,13824566000000.0,13409101000000.0,12914528000000.0,13391968000000.0,13254285000000.0,13605196000000.0,13202660000000.0
2034.0,13692427000000.0,13580890000000.0,13762695000000.0,13385349000000.0,12822557000000.0,13300118000000.0,13149099000000.0,13540336000000.0,13076459000000.0
2035.0,13627975000000.0,13545317000000.0,13699286000000.0,13292623000000.0,12668200000000.0,13205501000000.0,13133232000000.0,13457337000000.0,12900169000000.0
2036.0,13548778000000.0,13452412000000.0,13622720000000.0,13202045000000.0,12491673000000.0,13092493000000.0,13069584000000.0,13368804000000.0,12772243000000.0
2037.0,13478774000000.0,13352079000000.0,13544905000000.0,13114843000000.0,12387904000000.0,13034491000000.0,13019884000000.0,13339125000000.0,12663234000000.0
2038.0,13355106000000.0,13232670000000.0,13451390000000.0,12942774000000.0,12225005000000.0,12930659000000.0,12944220000000.0,13293489000000.0,12443827000000.0
2039.0,13312572000000.0,13147182000000.0,13380456000000.0,12851115000000.0,12082883000000.0,12807301000000.0,12827139000000.0,13170341000000.0,12290037000000.0
2040.0,13234157000000.0,13033161000000.0,13321222000000.0,12755366000000.0,11910806000000.0,12629003000000.0,12745177000000.0,13093508000000.0,12096138000000.0
2041.0,13174613000000.0,12974601000000.0,13231481000000.0,12651261000000.0,11742619000000.0,12546215000000.0,12665962000000.0,13013566000000.0,11943149000000.0
