time,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2054.0,21038504000.0,21279926000.0,20403775000.0,21202940000.0,22483522000.0,23412488000.0
2055.0,21277870000.0,21382510000.0,20197964000.0,20992660000.0,22381734000.0,23190403000.0
2056.0,20982254000.0,20932440000.0,20029245000.0,20817316000.0,22273327000.0,22937868000.0
2057.0,20728267000.0,20634421000.0,19810890000.0,20586598000.0,22144758000.0,22737457000.0
2058.0,20627382000.0,20428968000.0,19681820000.0,20406168000.0,22025267000.0,22643920000.0
2059.0,20436212000.0,20273269000.0,19414145000.0,20215167000.0,21948396000.0,22440241000.0
2060.0,20435513000.0,20138125000.0,19190862000.0,20075180000.0,22269630000.0,22299128000.0
2061.0,20259154000.0,19874793000.0,19051010000.0,19937878000.0,21871606000.0,22438396000.0
2062.0,20112398000.0,19660320000.0,18925068000.0,19760003000.0,22297539000.0,22133030000.0
2063.0,20018285000.0,19509303000.0,18754535000.0,19617743000.0,22267408000.0,21891168000.0
2064.0,19875387000.0,19306480000.0,18557210000.0,19550556000.0,21629045000.0,21817401000.0
2065.0,19763923000.0,19140060000.0,18402347000.0,19405646000.0,21495798000.0,21747960000.0
2066.0,19708461000.0,18995220000.0,18224220000.0,19246082000.0,21492777000.0,21630722000.0
2067.0,20849678000.0,18796659000.0,18038665000.0,19085826000.0,21300519000.0,21676737000.0
2068.0,20180310000.0,18651617000.0,17941740000.0,18993211000.0,21223813000.0,21386754000.0
2069.0,19698977000.0,18527277000.0,17863893000.0,18803894000.0,21114907000.0,21251817000.0
2070.0,20129825000.0,18355501000.0,17588849000.0,18669100000.0,21017498000.0,21143980000.0
2071.0,19474483000.0,18235840000.0,17449892000.0,18550184000.0,21357976000.0,21051466000.0
2072.0,19367748000.0,18088729000.0,17422803000.0,18397585000.0,21037058000.0,20855323000.0
2073.0,19256838000.0,17866758000.0,17185532000.0,18319612000.0,20828162000.0,20834548000.0
2074.0,19155935000.0,17721022000.0,17014821000.0,18174370000.0,20932129000.0,20698395000.0
2075.0,19134781000.0,17559505000.0,16934232000.0,18034647000.0,20729393000.0,20586568000.0
2076.0,19058717000.0,17366360000.0,16839132000.0,18011812000.0,20630047000.0,20415517000.0
2077.0,18941970000.0,17220430000.0,16641114000.0,17802160000.0,20531587000.0,20337013000.0
2078.0,19041673000.0,17046406000.0,16545073000.0,17746231000.0,20435763000.0,20417880000.0
2079.0,18780527000.0,17138052000.0,16527226000.0,17640526000.0,20419596000.0,20140743000.0
2080.0,18807138000.0,17029067000.0,16346004000.0,17454359000.0,20271667000.0,20104253000.0
2081.0,18628645000.0,16753341000.0,16183980000.0,17695860000.0,20255894000.0,20009314000.0
2082.0,18494753000.0,17552173000.0,16166687000.0,17277049000.0,20256465000.0,19918080000.0
2083.0,18416870000.0,16831617000.0,16020640000.0,17678598000.0,20526836000.0,19774802000.0
2084.0,18304920000.0,16633160000.0,15968311000.0,17157521000.0,20230947000.0,19755926000.0
2085.0,18248151000.0,16359839000.0,15843174000.0,17218603000.0,20007760000.0,19794252000.0
2086.0,18415976000.0,16323923000.0,15761383000.0,17237856000.0,19933905000.0,20020414000.0
2087.0,18444827000.0,16154546000.0,15717890000.0,17169905000.0,19794397000.0,19627780000.0
2088.0,18172512000.0,15926837000.0,15549631000.0,16996590000.0,19688538000.0,19454452000.0
2089.0,17978335000.0,15804456000.0,15407323000.0,16828398000.0,19600396000.0,19338560000.0
2090.0,17930693000.0,15661496000.0,15673298000.0,16590058000.0,19681604000.0,20270668000.0
2091.0,17821210000.0,15545394000.0,15208873000.0,16448250000.0,19413640000.0,19686967000.0
2092.0,17767018000.0,15628615000.0,15122765000.0,16298886000.0,19377218000.0,19293075000.0
2093.0,17705306000.0,15342366000.0,15344458000.0,16691666000.0,19208702000.0,19513856000.0
2094.0,17622108000.0,15583216000.0,15070650000.0,16734759000.0,19283497000.0,19055407000.0
2095.0,17936198000.0,15225994000.0,14854423000.0,16818269000.0,19438885000.0,18970028000.0
2096.0,18202880000.0,15071522000.0,14826152000.0,16423520000.0,19101297000.0,19329008000.0
2097.0,17551251000.0,14962060000.0,14690506000.0,16062713000.0,18976684000.0,19153095000.0
2098.0,17561166000.0,14867238000.0,14604811000.0,15959506000.0,19015270000.0,19178963000.0
2099.0,17443285000.0,15092925000.0,14907231000.0,16078919000.0,19398205000.0,19348940000.0
2100.0,17333828000.0,15131485000.0,14633437000.0,16104214000.0,18881817000.0,18918280000.0
2101.0,17235749000.0,14677145000.0,14543457000.0,15855813000.0,19016692000.0,18853743000.0
2102.0,17154405000.0,14739770000.0,14409029000.0,15640217000.0,18686941000.0,18767788000.0
2103.0,17221356000.0,14852192000.0,14431966000.0,15539578000.0,18567524000.0,18731690000.0
2104.0,17067637000.0,14646129000.0,14241412000.0,15660868000.0,18774809000.0,18667835000.0
2105.0,18210836000.0,14409329000.0,14170209000.0,16061626000.0,18766754000.0,19608347000.0
2106.0,17182319000.0,14257235000.0,14074465000.0,16558204000.0,18602590000.0,19143690000.0
2107.0,16944819000.0,14494278000.0,14004612000.0,15641004000.0,18375283000.0,19337175000.0
2108.0,16775519000.0,14622991000.0,13908072000.0,15526087000.0,18327464000.0,19025170000.0
2109.0,16829785000.0,14166244000.0,13818555000.0,15413675000.0,18777563000.0,18687490000.0
