time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0
2012.0,10038556000.0,10038556000.0,10038556000.0
2013.0,10036000000.0,10036000000.0,10036000000.0
2014.0,10034335000.0,10034335000.0,10034335000.0
2015.0,10030509000.0,10030509000.0,10030509000.0
2016.0,10029952000.0,10029952000.0,10029952000.0
2017.0,10023407000.0,10023407000.0,10023407000.0
2018.0,10018842000.0,10018842000.0,10018842000.0
2019.0,10017142000.0,10017142000.0,10017142000.0
2020.0,10011598000.0,10011598000.0,10011598000.0
2021.0,10007305000.0,10007218000.0,10008425000.0
2022.0,10000476000.0,10001630000.0,10008934000.0
2023.0,9995585000.0,9997345000.0,10003790000.0
2024.0,9985237000.0,9991148000.0,10006929000.0
2025.0,9981442000.0,9986475000.0,9999087000.0
2026.0,9975453000.0,9979370000.0,9998110000.0
2027.0,9970364000.0,9971148000.0,9995258000.0
2028.0,9961520000.0,9957990000.0,9994054000.0
2029.0,9952036000.0,9948223000.0,9994992000.0
2030.0,9934306000.0,9937037000.0,9988351000.0
2031.0,9924114000.0,9917405000.0,9976792000.0
2032.0,9909008000.0,9902835000.0,9971160000.0
2033.0,9893689000.0,9893672000.0,9964316000.0
2034.0,9880671000.0,9860887000.0,9954237000.0
2035.0,9866841000.0,9849783000.0,9938346000.0
2036.0,9840755000.0,9831733000.0,9933540000.0
2037.0,9817027000.0,9818368000.0,9926734000.0
2038.0,9785384000.0,9792132000.0,9918446000.0
2039.0,9753718000.0,9757404000.0,9901855000.0
2040.0,9726148000.0,9728139000.0,9889816000.0
2041.0,9702294000.0,9716361000.0,9880312000.0
2042.0,9667064000.0,9673246000.0,9857801000.0
2043.0,9644702000.0,9649115000.0,9843421000.0
2044.0,9610087000.0,9627197000.0,9837334000.0
2045.0,9585736000.0,9604156000.0,9810971000.0
2046.0,9559528000.0,9572578000.0,9788410000.0
2047.0,9496196000.0,9533109000.0,9771506000.0
