time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,ACCESS-ESM1-5
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
2021.0,33647288000.0,33719548000.0,33921192000.0,33646293000.0,33599140000.0,33853895000.0
2022.0,33605010000.0,35037580000.0,33641208000.0,33775170000.0,33541173000.0,33679309000.0
2023.0,33494750000.0,33541060000.0,33578047000.0,33704272000.0,33524154000.0,33603004000.0
2024.0,33395542000.0,33401223000.0,33495128000.0,33539041000.0,33403656000.0,33495750000.0
2025.0,33326598000.0,33247437000.0,33454762000.0,33489795000.0,33336926000.0,33426643000.0
2026.0,33283752000.0,33160544000.0,33517701000.0,33395577000.0,33239718000.0,33327487000.0
2027.0,33174120000.0,33052838000.0,33322920000.0,33242837000.0,33088358000.0,33244471000.0
2028.0,33031260000.0,32938928000.0,33199843000.0,33129103000.0,32952010000.0,33156854000.0
2029.0,32903287000.0,32876917000.0,33075444000.0,33063588000.0,32842078000.0,33095390000.0
2030.0,32851626000.0,32674204000.0,32976253000.0,32976955000.0,32951673000.0,33027858000.0
2031.0,32727730000.0,32797925000.0,32843768000.0,32890577000.0,32688245000.0,32930361000.0
2032.0,32605624000.0,33445083000.0,32690990000.0,32735955000.0,32547787000.0,32797815000.0
2033.0,32442620000.0,32909105000.0,32593586000.0,32823040000.0,32391934000.0,32670738000.0
2034.0,32377280000.0,32605735000.0,32471613000.0,32575439000.0,32163475000.0,32530315000.0
2035.0,32201984000.0,32261046000.0,32214032000.0,32500048000.0,32067623000.0,32404138000.0
2036.0,31958426000.0,32004932000.0,31940657000.0,32350431000.0,31886162000.0,32289456000.0
2037.0,31789607000.0,31837483000.0,31865313000.0,32522807000.0,32036868000.0,32135287000.0
2038.0,31597953000.0,31464264000.0,31635960000.0,32134679000.0,31642706000.0,31956042000.0
2039.0,31566545000.0,31445316000.0,31692850000.0,32065171000.0,31482712000.0,31872449000.0
2040.0,31168936000.0,31005678000.0,31288870000.0,31868264000.0,31353047000.0,31698440000.0
2041.0,30897578000.0,30691684000.0,31156875000.0,31657925000.0,31073397000.0,31476462000.0
2042.0,30652360000.0,30376878000.0,31066526000.0,31605682000.0,30884040000.0,31321944000.0
2043.0,31342447000.0,30002303000.0,30726738000.0,31283260000.0,30849827000.0,31046345000.0
2044.0,30779030000.0,29693172000.0,30604235000.0,31109822000.0,30563370000.0,30859637000.0
2045.0,30307322000.0,29159526000.0,30362143000.0,31002206000.0,30358660000.0,30585090000.0
2046.0,30061574000.0,28797374000.0,30292249000.0,30700276000.0,30043010000.0,30411520000.0
2047.0,29771692000.0,28693934000.0,30160722000.0,30588130000.0,29700758000.0,30240117000.0
2048.0,29540743000.0,28124228000.0,29974610000.0,30340696000.0,29446754000.0,29955721000.0
2049.0,29327370000.0,27821343000.0,29748503000.0,30167914000.0,29211496000.0,29714024000.0
2050.0,29024362000.0,27996291000.0,29474600000.0,30012190000.0,28814020000.0,29497991000.0
2051.0,28765958000.0,27312990000.0,29211458000.0,29988934000.0,28434729000.0,29237148000.0
2052.0,28488948000.0,26964754000.0,29105721000.0,29675030000.0,28230578000.0,28968276000.0
2053.0,28194763000.0,26828130000.0,28827746000.0,29436109000.0,27977966000.0,28651110000.0
2054.0,27991405000.0,26404450000.0,28700918000.0,29201700000.0,27696787000.0,28517138000.0
2055.0,27692415000.0,25980703000.0,28458504000.0,29018563000.0,27424588000.0,28174004000.0
2056.0,27515675000.0,25788100000.0,28939140000.0,28935709000.0,27111586000.0,27932150000.0
2057.0,27307958000.0,25487380000.0,28135905000.0,28535196000.0,26988468000.0,27754189000.0
2058.0,27006290000.0,26582405000.0,27765119000.0,28385430000.0,26695592000.0,27540013000.0
2059.0,26877075000.0,25176867000.0,28136241000.0,28093368000.0,26464754000.0,27683062000.0
2060.0,26611763000.0,24628898000.0,27561691000.0,27720016000.0,26016119000.0,27178557000.0
2061.0,26364180000.0,26052934000.0,27227988000.0,27511003000.0,25711067000.0,26925494000.0
2062.0,26976449000.0,24701512000.0,27028271000.0,27297333000.0,25467093000.0,26862197000.0
2063.0,26110175000.0,24091830000.0,26839056000.0,27046603000.0,25281548000.0,26704090000.0
2064.0,25885608000.0,23793426000.0,26566100000.0,27171222000.0,25070735000.0,26422320000.0
2065.0,25769368000.0,23481831000.0,26603305000.0,26768742000.0,24804207000.0,26150515000.0
2066.0,25508342000.0,23301736000.0,26212475000.0,26645072000.0,24490981000.0,26436274000.0
2067.0,25249862000.0,23129336000.0,25963575000.0,26332353000.0,24208845000.0,26029167000.0
2068.0,25166981000.0,22832080000.0,25800350000.0,26201380000.0,24093592000.0,25875149000.0
