,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI12,1888,467,1306.992,170.445,0.13041013257923537
RGI06,568,443,11059.699999999999,995.823,0.09004068826460031
RGI08,3417,1163,2949.103,246.68400000000003,0.08364712931355739
RGI17,15908,145,29429.079999999998,1292.4369999999997,0.04391700318188675
RGI10,5151,254,2410.051,93.64299999999999,0.03885519435065896
RGI05,19306,1656,89717.06599999999,1558.1970000000001,0.01736789965913509
RGI13,54429,1721,49303.41500000001,704.778,0.014294709605815336
RGI15,13119,80,14734.204,161.69,0.010973785893014648
RGI07,1615,52,33958.933999999994,238.61200000000002,0.0070264867560330384
RGI03,4556,202,105110.64199999999,621.8520000000001,0.005916165938744815
RGI14,27988,746,33568.298,172.876,0.005149978113278188
RGI02,18855,1041,14524.224,45.647000000000006,0.0031428185078941225
RGI19,2752,628,132867.219,381.509,0.0028713553491324295
RGI04,7415,326,40888.228,109.488,0.0026777389325847037
RGI09,1069,7,51591.6,31.618000000000002,0.0006128517045410494
RGI11,3927,31,2092.1459999999997,0.8660000000000001,0.0004139290470167953
RGI16,2939,17,2341.036,0.861,0.0003677858862486523
RGI01,27108,56,86725.053,13.339000000000002,0.0001538079198406486
RGI18,3537,2,1161.801,0.06,5.1643956236911485e-05
