time,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134355600000.0,134877230000.0,134443310000.0,134259876000.0
2022.0,134968130000.0,135771660000.0,134207410000.0,134221590000.0
2023.0,134821724000.0,134618006000.0,134273100000.0,134201630000.0
2024.0,134520500000.0,134709760000.0,134308930000.0,134495950000.0
2025.0,134196870000.0,134381150000.0,133833020000.0,133907520000.0
2026.0,133858525000.0,134622460000.0,133890060000.0,133892780000.0
2027.0,133683720000.0,134661145000.0,133541855000.0,134428780000.0
2028.0,133442830000.0,134077740000.0,133272764000.0,133669320000.0
2029.0,133635080000.0,133802600000.0,134005830000.0,133508055000.0
2030.0,133228675000.0,133910920000.0,133602690000.0,133277150000.0
2031.0,133004165000.0,134582380000.0,133409590000.0,133203280000.0
2032.0,133425550000.0,133998030000.0,133118935000.0,132955760000.0
2033.0,133089750000.0,133960606000.0,133236700000.0,132794200000.0
2034.0,132948570000.0,134141440000.0,132728300000.0,132687370000.0
2035.0,133337260000.0,133719930000.0,132533250000.0,132556470000.0
2036.0,133065064000.0,133602525000.0,134112630000.0,132468240000.0
2037.0,132738790000.0,133776340000.0,133329580000.0,132518930000.0
2038.0,132886400000.0,133555150000.0,132502450000.0,132379790000.0
2039.0,132434805000.0,133495370000.0,133020680000.0,132235560000.0
2040.0,132493980000.0,133123460000.0,132337750000.0,132166630000.0
2041.0,132460120000.0,133124650000.0,132104930000.0,131809710000.0
2042.0,132354810000.0,132896550000.0,131776650000.0,131814760000.0
2043.0,132045210000.0,132694040000.0,131933740000.0,131734280000.0
2044.0,131934420000.0,132757890000.0,131794230000.0,131587015000.0
2045.0,131633130000.0,132561290000.0,131528780000.0,131473990000.0
2046.0,131680860000.0,132422470000.0,131699515000.0,131554520000.0
2047.0,131399475000.0,132508600000.0,131331285000.0,131028820000.0
2048.0,131180950000.0,132602266000.0,131379840000.0,130874640000.0
2049.0,130935734000.0,133078245000.0,131456800000.0,130890560000.0
2050.0,131239125000.0,133250515000.0,132214190000.0,130947620000.0
2051.0,131134990000.0,132756850000.0,131015010000.0,130232920000.0
2052.0,131101260000.0,132563750000.0,131022510000.0,129918330000.0
2053.0,130704340000.0,132267655000.0,130714880000.0,129806750000.0
2054.0,130689420000.0,132322116000.0,130430020000.0,129932124000.0
2055.0,130677750000.0,132286010000.0,130170850000.0,129455686000.0
2056.0,130509210000.0,132030500000.0,130048470000.0,129263346000.0
2057.0,130276350000.0,131843680000.0,129754790000.0,128893650000.0
2058.0,130045160000.0,131730735000.0,129717510000.0,128869400000.0
2059.0,129827460000.0,132691630000.0,129568050000.0,128463500000.0
2060.0,129724375000.0,132501170000.0,129613730000.0,128138790000.0
2061.0,129724020000.0,131892450000.0,129437520000.0,127756860000.0
2062.0,129390125000.0,131885150000.0,129245315000.0,128009170000.0
2063.0,129329775000.0,131835540000.0,128842334000.0,127648320000.0
2064.0,129430675000.0,131472540000.0,128828610000.0,127796216000.0
2065.0,129650580000.0,131578490000.0,128461490000.0,127248670000.0
2066.0,129520030000.0,131302450000.0,128412780000.0,127284450000.0
2067.0,129151780000.0,131488810000.0,128263860000.0,127222400000.0
2068.0,129820920000.0,131252920000.0,128107030000.0,126837090000.0
2069.0,129447660000.0,130886255000.0,127902970000.0,126431580000.0
2070.0,129445370000.0,131120420000.0,127682590000.0,126212920000.0
2071.0,129578560000.0,131224084000.0,127262300000.0,126108750000.0
2072.0,128669565000.0,131354940000.0,127144180000.0,126002540000.0
2073.0,128141880000.0,130976250000.0,127162920000.0,125329540000.0
2074.0,127989220000.0,130809680000.0,127695500000.0,125209700000.0
2075.0,129137170000.0,130884630000.0,127356160000.0,125222900000.0
2076.0,127642714000.0,130368550000.0,127553390000.0,124860310000.0
2077.0,127737790000.0,130674330000.0,126778380000.0,124618310000.0
2078.0,127907060000.0,130087250000.0,126308030000.0,125296665000.0
2079.0,127565790000.0,129839980000.0,126223260000.0,124567200000.0
2080.0,128843800000.0,130254870000.0,125842780000.0,124384035000.0
2081.0,127320070000.0,129838280000.0,125243286000.0,123889990000.0
2082.0,127248570000.0,129414210000.0,124954665000.0,123814900000.0
2083.0,127093200000.0,129416760000.0,124745040000.0,123530470000.0
2084.0,126983740000.0,129500490000.0,124716200000.0,123248720000.0
2085.0,126925260000.0,129190610000.0,124383200000.0,123104170000.0
2086.0,126668825000.0,129480050000.0,124167995000.0,122952150000.0
2087.0,126791440000.0,129267384000.0,124016980000.0,123027660000.0
2088.0,126575075000.0,130652530000.0,123883060000.0,122988040000.0
2089.0,126812550000.0,129469760000.0,123772990000.0,122608394000.0
2090.0,127136030000.0,129245585000.0,123206070000.0,122509100000.0
2091.0,126852440000.0,128874200000.0,123021100000.0,122701250000.0
2092.0,127605694000.0,128710975000.0,122650540000.0,122274275000.0
2093.0,126862550000.0,128824540000.0,122480100000.0,122108780000.0
2094.0,125980950000.0,129004814000.0,122114610000.0,121613610000.0
2095.0,125852470000.0,128662544000.0,121907560000.0,121474490000.0
2096.0,126356120000.0,128280674000.0,121449650000.0,120980650000.0
2097.0,125637030000.0,129818990000.0,121430830000.0,120736465000.0
2098.0,125312120000.0,128575070000.0,121120604000.0,120543270000.0
2099.0,125464584000.0,128944970000.0,121008530000.0,119954210000.0
2100.0,126372610000.0,128044830000.0,120812044000.0,119808050000.0
