time,TAIESM1,CESM2-WACCM,NORESM2-MM,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3,CESM2,CMCC-CM2-SR5,INM-CM4-8,EC-EARTH3-VEG,BCC-CSM2-MR,INM-CM5-0,CANESM5,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4,FGOALS-F3-L,MPI-ESM1-2-HR
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134931610000.0,134322000000.0,134933380000.0,134866930000.0,134434680000.0,134380910000.0,135932120000.0,134198730000.0,134325040000.0,134571310000.0,134375735000.0,134549510000.0,134448270000.0,134349930000.0,134869295000.0,134256886000.0,134488870000.0,134728610000.0,134381460000.0
2022.0,134178234000.0,134174820000.0,135175810000.0,134172520000.0,134126010000.0,134630460000.0,134668616000.0,134091130000.0,134072300000.0,134616170000.0,134436020000.0,134247145000.0,134185130000.0,134114240000.0,135058680000.0,134767420000.0,135927415000.0,134348030000.0,134237045000.0
2023.0,134011660000.0,134109420000.0,134686835000.0,134005015000.0,134179600000.0,134305130000.0,134409270000.0,133997630000.0,134691550000.0,134468760000.0,134189890000.0,134111930000.0,134141950000.0,134112200000.0,135287540000.0,134330110000.0,134555970000.0,134090380000.0,134588680000.0
2024.0,134019195000.0,133816240000.0,134186330000.0,134255845000.0,133982265000.0,134388990000.0,134203210000.0,134038266000.0,134687244000.0,134243880000.0,134054960000.0,133809010000.0,134047660000.0,134252470000.0,134728650000.0,134244540000.0,134801690000.0,133846550000.0,134180610000.0
2025.0,133613260000.0,133763240000.0,134448840000.0,133889650000.0,133776040000.0,133968280000.0,134563170000.0,134146340000.0,134196810000.0,134119760000.0,133736300000.0,134113935000.0,134024630000.0,133720570000.0,134037880000.0,133904820000.0,133929574000.0,133717000000.0,134292730000.0
2026.0,133524460000.0,133607520000.0,134011840000.0,133859164000.0,134190300000.0,133661820000.0,134168660000.0,133725330000.0,135585950000.0,134072180000.0,133734650000.0,133540340000.0,133925880000.0,134482590000.0,133827900000.0,133879050000.0,133701790000.0,134065760000.0,133808750000.0
2027.0,133231430000.0,133500930000.0,133921190000.0,133823760000.0,133724810000.0,133853800000.0,133807690000.0,133644435000.0,134170320000.0,133749230000.0,133728450000.0,133327680000.0,133877610000.0,133868700000.0,134008720000.0,133674090000.0,134349220000.0,133579055000.0,134326350000.0
2028.0,133157220000.0,133191390000.0,133954910000.0,133551290000.0,133474640000.0,133768700000.0,133890780000.0,133570690000.0,133610770000.0,133525545000.0,133556220000.0,133192385000.0,133936366000.0,133659610000.0,133704835000.0,133417680000.0,133934645000.0,133211370000.0,133714120000.0
2029.0,133030360000.0,133404000000.0,133627314000.0,133585020000.0,133240316000.0,134058820000.0,133753864000.0,134256040000.0,133582310000.0,133730300000.0,133492650000.0,133029100000.0,133768454000.0,133482684000.0,133435220000.0,133825940000.0,133398900000.0,132994600000.0,134115680000.0
2030.0,132666450000.0,134065500000.0,133479280000.0,134111670000.0,133417390000.0,133878850000.0,133787210000.0,133456960000.0,133782946000.0,133531116000.0,133312760000.0,133140500000.0,134207300000.0,134195945000.0,133676696000.0,133560060000.0,133306430000.0,132814720000.0,133670980000.0
2031.0,132540630000.0,133083870000.0,133502190000.0,133201700000.0,132974000000.0,133087290000.0,133710390000.0,133682210000.0,133977440000.0,133336480000.0,133313495000.0,132851565000.0,133701490000.0,133282530000.0,133592285000.0,133270490000.0,133353780000.0,133363600000.0,133713270000.0
2032.0,132591100000.0,132782930000.0,133740904000.0,133160920000.0,132744970000.0,133079670000.0,133293360000.0,133445320000.0,133443944000.0,133340635000.0,133141260000.0,132668300000.0,133827600000.0,133536480000.0,133711300000.0,133001590000.0,133032760000.0,132847350000.0,133483680000.0
2033.0,132461806000.0,132734170000.0,134110020000.0,133577710000.0,132637320000.0,132978730000.0,133262350000.0,133175800000.0,132916860000.0,133200010000.0,133084010000.0,132574470000.0,135078240000.0,132912230000.0,133623340000.0,132884100000.0,133142710000.0,132484940000.0,133113600000.0
2034.0,132213130000.0,132652830000.0,133316700000.0,133425710000.0,132563000000.0,133427536000.0,132960470000.0,132833430000.0,133214675000.0,133147470000.0,132840810000.0,132333000000.0,134226920000.0,132778020000.0,133712716000.0,132927560000.0,132675560000.0,132340695000.0,132973370000.0
2035.0,131864050000.0,132533270000.0,133045854000.0,133819420000.0,132717085000.0,133150450000.0,132882790000.0,132776490000.0,133019730000.0,133305350000.0,132729120000.0,132205850000.0,133989740000.0,132693820000.0,133822850000.0,133165480000.0,133148800000.0,132372160000.0,132983680000.0
2036.0,131675310000.0,132394934000.0,133248250000.0,133168010000.0,132551710000.0,132765170000.0,132681250000.0,132734345000.0,132870030000.0,133021700000.0,132659360000.0,132049400000.0,133455480000.0,132525780000.0,133866470000.0,132528340000.0,132492616000.0,132666280000.0,133012580000.0
2037.0,131326580000.0,132175225000.0,133483830000.0,133614490000.0,132393470000.0,132539970000.0,132730820000.0,132581990000.0,133621645000.0,132602250000.0,133137160000.0,131837220000.0,134105710000.0,133075500000.0,133203140000.0,132390980000.0,132375260000.0,132039630000.0,133005574000.0
2038.0,131145850000.0,131862700000.0,132857760000.0,132783610000.0,131939300000.0,132436640000.0,132583645000.0,132724250000.0,132589220000.0,132502910000.0,132776845000.0,131611770000.0,133447740000.0,132385650000.0,133168580000.0,132415230000.0,132339570000.0,131596520000.0,132820520000.0
2039.0,130827985000.0,131664630000.0,133158250000.0,132934410000.0,131721036000.0,132073580000.0,132329590000.0,132754180000.0,132345750000.0,132437620000.0,132257170000.0,131316400000.0,133083720000.0,132383250000.0,132908696000.0,132313375000.0,132587995000.0,131298050000.0,132683800000.0
2040.0,130425680000.0,131518360000.0,132922490000.0,132480614000.0,131550134000.0,131973630000.0,132224614000.0,132244914000.0,132242860000.0,132265640000.0,131989390000.0,131120775000.0,133192140000.0,132483370000.0,132763330000.0,132120950000.0,131906020000.0,131288040000.0,132892475000.0
2041.0,129898955000.0,131560100000.0,132665975000.0,132262265000.0,131483640000.0,131822260000.0,132130370000.0,131958596000.0,132084300000.0,132233060000.0,132190585000.0,131039340000.0,132955470000.0,132188070000.0,132684030000.0,131788070000.0,131748690000.0,131016050000.0,132531810000.0
2042.0,129606630000.0,131784260000.0,132338190000.0,132119530000.0,131440710000.0,131326214000.0,131826280000.0,131862390000.0,131733840000.0,132306770000.0,131837755000.0,130813820000.0,132822090000.0,131844870000.0,132851890000.0,131733406000.0,131669295000.0,130673620000.0,132373930000.0
2043.0,129088954000.0,131158655000.0,132740870000.0,132703625000.0,131408085000.0,131195450000.0,131733260000.0,131689540000.0,131660730000.0,131781040000.0,131890550000.0,130472900000.0,133071420000.0,131827606000.0,132377440000.0,131788170000.0,131552470000.0,130403510000.0,132249620000.0
2044.0,128665280000.0,130973420000.0,131951470000.0,132418370000.0,130868680000.0,131039830000.0,131459375000.0,131542335000.0,131727320000.0,131480640000.0,131552660000.0,130326045000.0,132757330000.0,131773920000.0,132480400000.0,131428710000.0,131583360000.0,130287000000.0,132259620000.0
2045.0,128182730000.0,130593490000.0,131850280000.0,131860685000.0,130460340000.0,130743330000.0,131321850000.0,131393540000.0,131382580000.0,131528270000.0,131410485000.0,130386880000.0,132647240000.0,131510750000.0,132156810000.0,131099280000.0,131517340000.0,129761600000.0,132007715000.0
2046.0,127863710000.0,130391340000.0,132061610000.0,131648050000.0,130309570000.0,130486750000.0,131095360000.0,131226330000.0,131311800000.0,131208080000.0,131078390000.0,129991030000.0,132650800000.0,131552280000.0,133371420000.0,130865000000.0,131271500000.0,129647895000.0,131907540000.0
2047.0,127447140000.0,129931715000.0,131676840000.0,131774230000.0,129899110000.0,130201670000.0,130947334000.0,131280140000.0,130980950000.0,131101360000.0,130901970000.0,129436950000.0,132489350000.0,131296840000.0,132707770000.0,130516830000.0,131005520000.0,129246910000.0,131928695000.0
2048.0,127005930000.0,129549720000.0,131682370000.0,131630840000.0,129638080000.0,129886994000.0,130598880000.0,130850350000.0,130784550000.0,131552805000.0,130670230000.0,128945370000.0,132434800000.0,131051030000.0,132665160000.0,130348430000.0,130795410000.0,128907390000.0,131922950000.0
2049.0,126399420000.0,129246960000.0,131694530000.0,131872520000.0,129328300000.0,129703535000.0,130117140000.0,130460090000.0,130538610000.0,131366790000.0,130224260000.0,128703530000.0,132648000000.0,130793690000.0,132145250000.0,130194820000.0,130801530000.0,128701430000.0,131612100000.0
2050.0,125905035000.0,128957110000.0,131471620000.0,131243120000.0,129008090000.0,129032650000.0,129808015000.0,129953540000.0,130120700000.0,131024990000.0,130087770000.0,128296610000.0,132056050000.0,130643290000.0,131898820000.0,129791074000.0,130487575000.0,128763260000.0,131689390000.0
2051.0,125269705000.0,128487160000.0,131371200000.0,130851640000.0,128802810000.0,128649994000.0,129582460000.0,129771580000.0,130032940000.0,130848465000.0,129947000000.0,128181610000.0,132080130000.0,130000690000.0,131826350000.0,129502050000.0,130166990000.0,128507630000.0,131314680000.0
2052.0,124469720000.0,128242870000.0,131069700000.0,130909730000.0,128620720000.0,128296370000.0,129457720000.0,129416040000.0,129434810000.0,130970210000.0,129633620000.0,127620880000.0,132760730000.0,129968910000.0,131492856000.0,129161360000.0,129903380000.0,128214380000.0,131133260000.0
2053.0,123367375000.0,127840690000.0,130947300000.0,130414666000.0,128093290000.0,127933430000.0,129017135000.0,129153950000.0,129415480000.0,130759810000.0,129363255000.0,127141200000.0,132056244000.0,129648410000.0,131600170000.0,128969070000.0,129676570000.0,127690540000.0,130725000000.0
