time,GFDL-ESM4,MPI-ESM1-2-HR,FGOALS-F3-L,CAMS-CSM1-0,INM-CM5-0,MRI-ESM2-0,EC-EARTH3-VEG,BCC-CSM2-MR,INM-CM4-8,CMCC-CM2-SR5,CESM2,EC-EARTH3,CESM2-WACCM,NORESM2-MM
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134396280000.0,134407800000.0,134333964000.0,134477320000.0,134531645000.0,134294030000.0,135140065000.0,134254550000.0,134456795000.0,134463130000.0,134415040000.0,134228030000.0,134853020000.0,134371680000.0
2022.0,134460015000.0,134871280000.0,134192170000.0,134925870000.0,135740130000.0,133994635000.0,134405980000.0,134017300000.0,134284665000.0,134676120000.0,134320325000.0,134131930000.0,134954040000.0,134204280000.0
2023.0,134432890000.0,134927620000.0,134299220000.0,134604370000.0,134378980000.0,134412890000.0,134327770000.0,134004360000.0,134479045000.0,134336300000.0,134181904000.0,134073030000.0,134395070000.0,134018064000.0
2024.0,134445620000.0,134818710000.0,133954720000.0,134564490000.0,134810870000.0,133826994000.0,134121330000.0,133710570000.0,134220554000.0,134484870000.0,134406980000.0,134710690000.0,134450750000.0,133755670000.0
2025.0,134347760000.0,134393310000.0,133728035000.0,134744460000.0,134522300000.0,133688700000.0,133954500000.0,133588795000.0,133819080000.0,134039945000.0,134038130000.0,134275770000.0,134436690000.0,133673430000.0
2026.0,133761820000.0,134252720000.0,133799620000.0,135026600000.0,134337720000.0,134038810000.0,133960160000.0,134018600000.0,133938870000.0,133988295000.0,133770620000.0,134219370000.0,133926890000.0,133627290000.0
2027.0,133688110000.0,134196445000.0,133426400000.0,134399170000.0,134576410000.0,133924900000.0,133738520000.0,133939880000.0,133730040000.0,133679596000.0,133723365000.0,133533700000.0,134317785000.0,134540940000.0
2028.0,133524550000.0,133755530000.0,133559250000.0,134552830000.0,134044890000.0,134138120000.0,133420600000.0,133629714000.0,133624840000.0,133643010000.0,133960830000.0,133310130000.0,133699150000.0,133602220000.0
2029.0,133388255000.0,133520200000.0,133324520000.0,134052330000.0,133851110000.0,133936160000.0,133263440000.0,133139620000.0,133501020000.0,133709595000.0,133654150000.0,133378690000.0,133673345000.0,133698036000.0
2030.0,133271360000.0,133725400000.0,133216215000.0,133870850000.0,133683450000.0,133732350000.0,133138150000.0,133144620000.0,133384315000.0,133488210000.0,133843680000.0,133256640000.0,133487820000.0,133463970000.0
2031.0,133603890000.0,133536825000.0,133283004000.0,133757075000.0,133793340000.0,133545140000.0,133239810000.0,132834490000.0,133299560000.0,133400070000.0,133397810000.0,133250064000.0,133277510000.0,133315670000.0
2032.0,132925645000.0,133533760000.0,132982530000.0,133607750000.0,133514265000.0,133484490000.0,133449890000.0,132728770000.0,133107700000.0,133580230000.0,133166875000.0,133247030000.0,133069020000.0,133105130000.0
2033.0,133026680000.0,133302770000.0,132780470000.0,133743710000.0,133702795000.0,133227710000.0,133219580000.0,132611830000.0,133128405000.0,133732870000.0,132936450000.0,132894340000.0,132910510000.0,133798780000.0
2034.0,132919280000.0,133314950000.0,132847030000.0,133835600000.0,133213240000.0,133058970000.0,132912120000.0,132467155000.0,133372500000.0,133320750000.0,132929810000.0,133031846000.0,132805390000.0,133251100000.0
2035.0,132610450000.0,133023090000.0,132407206000.0,133921590000.0,133206565000.0,132859610000.0,132799780000.0,132357720000.0,132880340000.0,132977290000.0,132794515000.0,133485750000.0,132581450000.0,132980080000.0
2036.0,132487050000.0,132995650000.0,132455590000.0,133283840000.0,133258810000.0,132941670000.0,132651240000.0,132601460000.0,133181150000.0,132786880000.0,132778370000.0,132735850000.0,132597840000.0,132786200000.0
2037.0,132739810000.0,133106150000.0,132138690000.0,133947320000.0,133182850000.0,132866580000.0,132514350000.0,132074840000.0,132783464000.0,132633920000.0,132727220000.0,132595490000.0,132429630000.0,132744410000.0
2038.0,132414595000.0,133297750000.0,132084100000.0,134190990000.0,133036720000.0,132726030000.0,132378510000.0,131799840000.0,132626590000.0,132670770000.0,132613170000.0,132283834000.0,132325450000.0,132599550000.0
2039.0,132450260000.0,132927910000.0,131866520000.0,134117410000.0,133602394000.0,132595720000.0,132487630000.0,131622380000.0,132410970000.0,132825860000.0,132498510000.0,132400860000.0,132284326000.0,132806795000.0
2040.0,132276360000.0,132830270000.0,131713450000.0,134002430000.0,133020790000.0,132568330000.0,132052935000.0,131883020000.0,132505390000.0,132523840000.0,132363270000.0,132076060000.0,131935450000.0,132386690000.0
2041.0,131994930000.0,132701315000.0,131635175000.0,133133860000.0,133429620000.0,132322280000.0,131950640000.0,131254370000.0,132608740000.0,132179550000.0,132223930000.0,131933160000.0,131724720000.0,132351560000.0
2042.0,132023935000.0,132663525000.0,131587330000.0,133041690000.0,132889940000.0,132521310000.0,131783320000.0,131169790000.0,132203460000.0,132833280000.0,132163800000.0,131868900000.0,131572425000.0,132063450000.0
2043.0,131691274000.0,132297430000.0,131426296000.0,132868220000.0,132821870000.0,132295340000.0,132077050000.0,130863920000.0,132596710000.0,132120510000.0,131914965000.0,131852480000.0,131416736000.0,131964310000.0
2044.0,132000720000.0,132451790000.0,131331310000.0,135676900000.0,132876160000.0,131935890000.0,132134010000.0,130573450000.0,131962800000.0,131928720000.0,131848330000.0,131490080000.0,131380970000.0,131907854000.0
2045.0,131794200000.0,131980616000.0,131231120000.0,133565374000.0,132827380000.0,131911880000.0,132209910000.0,130244230000.0,131717840000.0,131614310000.0,131596485000.0,131426206000.0,131025160000.0,132255965000.0
2046.0,131882940000.0,131931380000.0,131393860000.0,132669670000.0,133122730000.0,131778180000.0,131532554000.0,130131330000.0,131706495000.0,131526230000.0,131528150000.0,131194280000.0,130771350000.0,131936050000.0
2047.0,131677120000.0,131674200000.0,131001680000.0,132695710000.0,132746460000.0,131548380000.0,131480480000.0,130078880000.0,131404670000.0,131096980000.0,131435380000.0,131051470000.0,130430100000.0,131577410000.0
2048.0,131219090000.0,131689210000.0,130951930000.0,132279320000.0,132874990000.0,131366216000.0,131138585000.0,129552480000.0,131544020000.0,131203930000.0,131198270000.0,130917155000.0,130261066000.0,131227810000.0
