time,BCC-CSM2-MR,EC-EARTH3-VEG,MRI-ESM2-0,INM-CM5-0,CAMS-CSM1-0,GFDL-ESM4,FGOALS-F3-L,MPI-ESM1-2-HR,NORESM2-MM,CESM2-WACCM,EC-EARTH3,CESM2,INM-CM4-8
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134195000000.0,135322780000.0,134556710000.0,135082795000.0,135077044000.0,134387340000.0,134613156000.0,134355420000.0,134456720000.0,134783660000.0,134198530000.0,134598386000.0,134637036000.0
2022.0,134210360000.0,134449180000.0,134689040000.0,134543160000.0,134654510000.0,134350275000.0,134363420000.0,134349980000.0,134318720000.0,134440060000.0,134221320000.0,134335070000.0,134590620000.0
2023.0,133773450000.0,135023170000.0,134927500000.0,134580600000.0,134320480000.0,134739140000.0,134496166000.0,134267050000.0,134041895000.0,134151930000.0,134333680000.0,134329140000.0,134262780000.0
2024.0,133603340000.0,134323040000.0,134315070000.0,134321560000.0,134353625000.0,134444290000.0,134026740000.0,133848515000.0,134012960000.0,134757515000.0,133853410000.0,134123320000.0,134215850000.0
2025.0,133475450000.0,134112980000.0,133919070000.0,134302750000.0,134071970000.0,133876290000.0,134279684000.0,134444800000.0,134154020000.0,133916110000.0,133764650000.0,133903400000.0,134074300000.0
2026.0,133314560000.0,134122136000.0,134218190000.0,134509220000.0,134160930000.0,134142610000.0,133777440000.0,134396570000.0,133761370000.0,133771040000.0,134051720000.0,133895890000.0,133756320000.0
2027.0,133118990000.0,134022510000.0,134311430000.0,134790770000.0,134853345000.0,133775420000.0,133617030000.0,133828936000.0,133740650000.0,133755580000.0,133866560000.0,133705280000.0,134026650000.0
2028.0,132958280000.0,133702760000.0,134802980000.0,134440215000.0,134129650000.0,134490120000.0,133545550000.0,133971990000.0,133923130000.0,133764375000.0,133987370000.0,133695350000.0,133626650000.0
2029.0,133598760000.0,133723820000.0,134093820000.0,134065750000.0,134055930000.0,133760790000.0,133803704000.0,133525780000.0,133659200000.0,133395220000.0,133448280000.0,133962350000.0,133381000000.0
2030.0,132889670000.0,133426910000.0,134522010000.0,133860970000.0,133775204000.0,133327810000.0,133684920000.0,134088700000.0,133384640000.0,133464100000.0,133513690000.0,133553290000.0,133157410000.0
2031.0,132638600000.0,133772575000.0,133738815000.0,133717860000.0,133680440000.0,133218580000.0,133198184000.0,133550750000.0,133353005000.0,133508420000.0,133945970000.0,133914290000.0,133032200000.0
2032.0,132439750000.0,133553530000.0,133588290000.0,133547600000.0,134440130000.0,133331690000.0,132811190000.0,133361960000.0,133255315000.0,133673296000.0,133354670000.0,133707930000.0,132981604000.0
2033.0,132269290000.0,134283490000.0,133461350000.0,133596220000.0,135025010000.0,134664670000.0,133105820000.0,133106190000.0,134138960000.0,133059340000.0,133228540000.0,133166640000.0,132996640000.0
2034.0,132085750000.0,133070250000.0,133231510000.0,133388665000.0,134188940000.0,133566270000.0,132647354000.0,133060580000.0,133747790000.0,132911270000.0,133078050000.0,133055490000.0,132908020000.0
2035.0,132051935000.0,133082950000.0,133070570000.0,133324290000.0,134613790000.0,133742640000.0,132824340000.0,132978024000.0,133206320000.0,132743580000.0,133548710000.0,132861880000.0,132913635000.0
2036.0,131806440000.0,132880250000.0,133159360000.0,133224464000.0,134512330000.0,132826230000.0,132508790000.0,133303420000.0,132871545000.0,132570380000.0,133075755000.0,132679310000.0,132605624000.0
2037.0,131372130000.0,132622640000.0,133110350000.0,133142725000.0,134392500000.0,132937900000.0,132217510000.0,132778530000.0,133312864000.0,132433850000.0,132748350000.0,133095400000.0,132473890000.0
2038.0,131303145000.0,132453680000.0,132856046000.0,132978980000.0,133467890000.0,132929910000.0,132225840000.0,132762255000.0,133118400000.0,133184180000.0,132515455000.0,133384590000.0,132444920000.0
2039.0,131026940000.0,132430684000.0,132889200000.0,133197230000.0,133416620000.0,132517620000.0,131800105000.0,132860630000.0,133014550000.0,132458455000.0,132513550000.0,132667130000.0,132202180000.0
2040.0,130677890000.0,132299650000.0,132570360000.0,132887360000.0,133011000000.0,132604860000.0,131476480000.0,132553520000.0,132927100000.0,132222580000.0,132173950000.0,132460340000.0,132296670000.0
2041.0,130422325000.0,131980870000.0,132468440000.0,132870960000.0,133047130000.0,132868670000.0,131193940000.0,132460634000.0,132697120000.0,132034855000.0,132065410000.0,132252700000.0,131933830000.0
2042.0,130228350000.0,131923210000.0,132468965000.0,133031540000.0,133125010000.0,132779745000.0,130923440000.0,132237870000.0,132355700000.0,131888620000.0,132074480000.0,131974920000.0,131792400000.0
2043.0,129899470000.0,131753200000.0,132264804000.0,132951740000.0,132812000000.0,132088060000.0,130688660000.0,132070480000.0,132264220000.0,131685966000.0,131762490000.0,131804420000.0,131936950000.0
2044.0,129448670000.0,131885200000.0,131986210000.0,132688945000.0,132641915000.0,132003110000.0,130566580000.0,131879950000.0,132175540000.0,131576190000.0,131596540000.0,131903940000.0,131654210000.0
2045.0,129113030000.0,131624660000.0,131900920000.0,132530390000.0,132517380000.0,132071340000.0,130499625000.0,131916060000.0,132226410000.0,131440930000.0,131683430000.0,131510880000.0,131526140000.0
2046.0,128667886000.0,131360020000.0,131844740000.0,132355990000.0,134563865000.0,131848675000.0,129934250000.0,131850940000.0,132099110000.0,131271040000.0,132039400000.0,131392150000.0,131465126000.0
