time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2000.0,14919741000.0,14919741000.0,14777631000.0
2001.0,14949329000.0,14949329000.0,14806611000.0
2002.0,14959975000.0,14959975000.0,14816653000.0
2003.0,14985912000.0,14985912000.0,14842266000.0
2004.0,14973322000.0,14973322000.0,14829407000.0
2005.0,14978955000.0,14978955000.0,14834892000.0
2006.0,14958559000.0,14958559000.0,14814321000.0
2007.0,14913043000.0,14913043000.0,14768752000.0
2008.0,14866310000.0,14866310000.0,14722146000.0
2009.0,14860156000.0,14860156000.0,14715979000.0
2010.0,14777998000.0,14777998000.0,14634109000.0
2011.0,14736210000.0,14736210000.0,14592426000.0
2012.0,14669479000.0,14669479000.0,14525799000.0
2013.0,14583341000.0,14583341000.0,14439913000.0
2014.0,14552294000.0,14552294000.0,14408879000.0
2015.0,14462127000.0,14462127000.0,14318799000.0
2016.0,14406241000.0,14406241000.0,14262811000.0
2017.0,14314560000.0,14314560000.0,14171433000.0
2018.0,14230169000.0,14230169000.0,14087212000.0
2019.0,14116851000.0,14116851000.0,13974115000.0
2020.0,14066936000.0,14066936000.0,13924346000.0
2021.0,13925708000.0,13912824000.0,13761466000.0
2022.0,13776320000.0,13772878000.0,13722503000.0
2023.0,13605365000.0,13608193000.0,13558031000.0
2024.0,13428760000.0,13435508000.0,13670242000.0
2025.0,13242311000.0,13234764000.0,13414117000.0
2026.0,13072842000.0,13073315000.0,13231475000.0
2027.0,12908638000.0,12970420000.0,13130160000.0
2028.0,12772499000.0,12775956000.0,13069369000.0
2029.0,12501502000.0,12575342000.0,12859623000.0
2030.0,12397006000.0,12405117000.0,12839455000.0
2031.0,12442378000.0,12203735000.0,12841458000.0
2032.0,12367145000.0,11960348000.0,12550494000.0
2033.0,12167956000.0,11814159000.0,12377644000.0
2034.0,11892807000.0,11587866000.0,12241371000.0
2035.0,12014474000.0,11389059000.0,12047435000.0
2036.0,11578940000.0,11223298000.0,12128111000.0
2037.0,11360695000.0,10942172000.0,12074329000.0
2038.0,11197590000.0,10690839000.0,11743789000.0
2039.0,10989649000.0,10460291000.0,11479600000.0
2040.0,10729716000.0,10275616000.0,11330880000.0
2041.0,10520659000.0,10066853000.0,11148264000.0
2042.0,10302740000.0,9840313000.0,10942887000.0
2043.0,10127547000.0,9663174000.0,10701848000.0
2044.0,9963191000.0,9386118000.0,10522391000.0
2045.0,9867578000.0,9170702000.0,10550341000.0
2046.0,9563477000.0,8966926000.0,10173491000.0
2047.0,9308152000.0,8802808000.0,9980153000.0
2048.0,9087754000.0,8605623000.0,9823407000.0
2049.0,8868381000.0,8422434000.0,9602802000.0
2050.0,8657789000.0,8240354300.0,9420152000.0
