time,MPI-ESM-LR,CANESM2,CESM1-CAM5
2000.0,14917804000.0,14919641000.0,14919741000.0
2001.0,14947217000.0,14949229000.0,14949329000.0
2002.0,14957628000.0,14959873000.0,14959975000.0
2003.0,14983535000.0,14985810000.0,14985912000.0
2004.0,14970908000.0,14973218000.0,14973322000.0
2005.0,14976644000.0,14978661000.0,14978955000.0
2006.0,14956242000.0,14958307000.0,14958559000.0
2007.0,14910793000.0,14912883000.0,14913043000.0
2008.0,14864158000.0,14866200000.0,14866310000.0
2009.0,14858035000.0,14860045000.0,14860156000.0
2010.0,14775877000.0,14777888000.0,14777998000.0
2011.0,14734091000.0,14736099000.0,14736210000.0
2012.0,14667418000.0,14669369000.0,14669479000.0
2013.0,14581306000.0,14583230000.0,14583341000.0
2014.0,14550171000.0,14552178000.0,14552294000.0
2015.0,14460029000.0,14462018000.0,14462127000.0
2016.0,14404056000.0,14406125000.0,14406241000.0
2017.0,14312450000.0,14314443000.0,14314560000.0
2018.0,14228131000.0,14230052000.0,14230169000.0
2019.0,14114841000.0,14116734000.0,14116851000.0
2020.0,14064817000.0,14066819000.0,14066936000.0
2021.0,13903638000.0,14000687000.0,13929646000.0
2022.0,13764772000.0,13880580000.0,13868504000.0
2023.0,13688406000.0,13685109000.0,13754957000.0
2024.0,13539723000.0,13635845000.0,13583914000.0
2025.0,13449210000.0,13547612000.0,13425005000.0
2026.0,13292742000.0,13358785000.0,13308918000.0
2027.0,13119675000.0,13292784000.0,13102991000.0
2028.0,12954096000.0,13139879000.0,13012726000.0
2029.0,12732098000.0,12936321000.0,12839690000.0
2030.0,12527468000.0,12730353000.0,12768191000.0
2031.0,12416097000.0,12634230000.0,12567342000.0
2032.0,12177343000.0,12512261000.0,12373107000.0
2033.0,11988060000.0,12336754000.0,12169041000.0
2034.0,11954544000.0,12219053000.0,12027515000.0
2035.0,11882577000.0,12005423000.0,11877118000.0
2036.0,11641626000.0,11801859000.0,11659929000.0
2037.0,11504674000.0,11664246000.0,11502372000.0
2038.0,11388831000.0,11461874000.0,11278212000.0
2039.0,11144040000.0,11297704000.0,11094648000.0
2040.0,10939408000.0,11453850000.0,10933640000.0
2041.0,10833794000.0,11180496000.0,10892271000.0
2042.0,10669040000.0,10896666000.0,10665016000.0
2043.0,10576496000.0,10710846000.0,10394873000.0
2044.0,10674235000.0,10537809000.0,10226430000.0
2045.0,10333361000.0,10485759000.0,10024999000.0
2046.0,10265430000.0,10261475000.0,9984169000.0
2047.0,10000551000.0,10066567000.0,9702029000.0
2048.0,9824590000.0,9963696000.0,9713376000.0
2049.0,9658226000.0,9819977000.0,9527838000.0
2050.0,9561336000.0,9704251000.0,9337203000.0
2051.0,9991849000.0,9709113000.0,9262487000.0
2052.0,9474130000.0,9411091000.0,9114377000.0
2053.0,9384574000.0,9266676000.0,9393749000.0
2054.0,9447338000.0,9150384000.0,8907997000.0
2055.0,9285115000.0,9077311000.0,8783028000.0
2056.0,9489209000.0,8870129000.0,8659920000.0
2057.0,9095265000.0,8804189000.0,9136102000.0
2058.0,8938690000.0,9051698000.0,8466153000.0
2059.0,9235633000.0,8607184000.0,8304478700.0
2060.0,8906111000.0,8448184300.0,8336328000.0
2061.0,8814799000.0,8318726700.0,8078409700.0
2062.0,8822263000.0,8200379400.0,8008298000.0
2063.0,8711139000.0,8076358000.0,8063304700.0
2064.0,8919590000.0,7962197500.0,7801831000.0
2065.0,8598289000.0,7837733400.0,7694712000.0
2066.0,8542991400.0,7740624400.0,7644849700.0
2067.0,8833916000.0,7608571400.0,8135476000.0
2068.0,8626016000.0,7642346500.0,7550703000.0
2069.0,8512625700.0,7428763600.0,7410309600.0
2070.0,8362647000.0,7292952600.0,7311492600.0
2071.0,8362727000.0,7275207700.0,7222487600.0
2072.0,8397302300.0,7139542500.0,7145496000.0
2073.0,8215339000.0,7055091000.0,7022926300.0
2074.0,8494138400.0,6967880000.0,6948193300.0
2075.0,8376707600.0,7273965000.0,6910095000.0
2076.0,8490874400.0,6889025000.0,7258774000.0
2077.0,8245573000.0,6937432000.0,7072315000.0
2078.0,8460171300.0,6928161000.0,6794760000.0
2079.0,8455495000.0,6786871300.0,6745380000.0
2080.0,8129286700.0,6729054700.0,6633639000.0
2081.0,8499774500.0,6850302500.0,6601214000.0
2082.0,8435365000.0,6859202000.0,6525886000.0
2083.0,8299714000.0,6701820000.0,6499795500.0
2084.0,8059438600.0,7096251000.0,6573171700.0
2085.0,8088341500.0,7916494000.0,6438049000.0
2086.0,8725655000.0,7363554000.0,6388970500.0
2087.0,8105583000.0,7059242000.0,6366346000.0
2088.0,8863734000.0,7991797000.0,6813933600.0
2089.0,8529088500.0,7543278600.0,6364919300.0
2090.0,8066676000.0,7076174300.0,6262482000.0
2091.0,8217862000.0,7448405500.0,6314428000.0
2092.0,8011260000.0,8085619700.0,7105063400.0
2093.0,8428228600.0,7873408000.0,6501645300.0
2094.0,8120046600.0,7437558300.0,6236866600.0
2095.0,8478374400.0,7592016400.0,6822411000.0
2096.0,8251604000.0,7345814000.0,6304306700.0
2097.0,8085303300.0,7283131000.0,6248187000.0
2098.0,8066431000.0,7230855700.0,6398015000.0
2099.0,8046670000.0,7150379000.0,6295973400.0
2100.0,8024461000.0,7114127400.0,6327901000.0
2101.0,8682207000.0,7218718700.0,6145393700.0
2102.0,8980243000.0,7676553000.0,6177444400.0
2103.0,8452261000.0,8230762500.0,6165586400.0
2104.0,8205828600.0,7569835500.0,6456973300.0
2105.0,8349161500.0,7393329700.0,6353585700.0
2106.0,8354952000.0,7276796400.0,6119888400.0
2107.0,8415635500.0,7162533400.0,6093655000.0
2108.0,8559011000.0,7241981400.0,6134771700.0
2109.0,8382141000.0,7264775000.0,6146883600.0
2110.0,8194691600.0,7235317000.0,6322081000.0
2111.0,8452022000.0,7124845000.0,6180571600.0
2112.0,8210509300.0,7126283000.0,6137329000.0
2113.0,8362466000.0,7093360000.0,6053597000.0
2114.0,8585493000.0,7020178400.0,6035128000.0
2115.0,8253825500.0,7782718000.0,6002562600.0
2116.0,8306126000.0,7083475500.0,6058361300.0
2117.0,8506333000.0,7082333000.0,6051884500.0
2118.0,8208689000.0,7011011000.0,5980060700.0
2119.0,8565281000.0,7468244000.0,5920051700.0
2120.0,8757777000.0,7356161500.0,6563794000.0
2121.0,9017162000.0,7046359600.0,6290129000.0
