time,CSIRO-MK3-6-0,CESM1-CAM5,MPI-ESM-LR,NORESM1-M
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3022101700000.0,3023716700000.0,3033715700000.0,3007039700000.0
2022.0,2985790000000.0,3011335700000.0,3016658300000.0,2986313500000.0
2023.0,2956232800000.0,2988934000000.0,2982658200000.0,2953284200000.0
2024.0,2924080500000.0,2981931500000.0,2953458700000.0,2933192000000.0
2025.0,2918393300000.0,2969924800000.0,2919095900000.0,2900576000000.0
2026.0,2881629500000.0,2963923500000.0,2893345700000.0,2872661500000.0
2027.0,2847675300000.0,2938457800000.0,2861556800000.0,2826467300000.0
2028.0,2820378200000.0,2921447800000.0,2830121000000.0,2803128000000.0
2029.0,2796807300000.0,2901984000000.0,2801279000000.0,2776393600000.0
2030.0,2768449800000.0,2882429300000.0,2784211000000.0,2745820300000.0
2031.0,2738843800000.0,2857892600000.0,2762730600000.0,2722572000000.0
2032.0,2712006300000.0,2830660800000.0,2748338000000.0,2680364200000.0
2033.0,2685406500000.0,2796725000000.0,2721478600000.0,2649887900000.0
2034.0,2643848000000.0,2777569800000.0,2710189400000.0,2615314700000.0
2035.0,2598087400000.0,2759234000000.0,2661935200000.0,2567315700000.0
2036.0,2562117300000.0,2745749000000.0,2628527000000.0,2532332300000.0
2037.0,2516662400000.0,2702485000000.0,2604249000000.0,2510285700000.0
2038.0,2497502000000.0,2689524600000.0,2602165300000.0,2478455700000.0
2039.0,2458554200000.0,2658651000000.0,2558446800000.0,2437010400000.0
2040.0,2409989000000.0,2629621000000.0,2537700200000.0,2408044000000.0
2041.0,2377195500000.0,2600227300000.0,2486624300000.0,2375270500000.0
2042.0,2328023500000.0,2558462300000.0,2444954000000.0,2327707600000.0
2043.0,2292191000000.0,2521045400000.0,2410078800000.0,2292389000000.0
2044.0,2238054400000.0,2484706200000.0,2386548200000.0,2265636000000.0
2045.0,2193496200000.0,2452953500000.0,2380645000000.0,2252829600000.0
2046.0,2147137900000.0,2406203500000.0,2334476500000.0,2221980000000.0
2047.0,2094942800000.0,2370266000000.0,2291448000000.0,2172746000000.0
2048.0,2047520800000.0,2351641000000.0,2258691700000.0,2142303400000.0
2049.0,2002944800000.0,2322799300000.0,2219694000000.0,2107851100000.0
2050.0,1968060100000.0,2286272400000.0,2192970600000.0,2065371100000.0
2051.0,1928506500000.0,2254393000000.0,2149656600000.0,2022614400000.0
2052.0,1901837400000.0,2243827000000.0,2129778200000.0,1984017600000.0
2053.0,1866489700000.0,2223176000000.0,2097579300000.0,1955138600000.0
2054.0,1839017900000.0,2191008200000.0,2053966900000.0,1931665300000.0
2055.0,1813527000000.0,2156279400000.0,2025451400000.0,1886421000000.0
2056.0,1767674000000.0,2128072500000.0,1992244000000.0,1851930800000.0
2057.0,1717600800000.0,2095500800000.0,1944153900000.0,1808996100000.0
2058.0,1670755800000.0,2070840600000.0,1912563800000.0,1782266200000.0
2059.0,1633429600000.0,2051023000000.0,1910046700000.0,1742419900000.0
2060.0,1608243200000.0,2008981800000.0,1855555900000.0,1715696700000.0
2061.0,1582792000000.0,1990865500000.0,1836798600000.0,1693543600000.0
2062.0,1542283700000.0,1952751800000.0,1818347800000.0,1662238900000.0
2063.0,1502954100000.0,1909976900000.0,1811488200000.0,1636829600000.0
2064.0,1471995800000.0,1871281000000.0,1790145900000.0,1608194200000.0
2065.0,1442418400000.0,1845132300000.0,1765334500000.0,1579027000000.0
2066.0,1406860400000.0,1835151700000.0,1727477300000.0,1550358400000.0
2067.0,1372478500000.0,1816754300000.0,1700767200000.0,1518102600000.0
2068.0,1338894800000.0,1789823000000.0,1672004900000.0,1499225700000.0
2069.0,1307646500000.0,1761790700000.0,1638897400000.0,1459462700000.0
2070.0,1276147900000.0,1742680800000.0,1630431600000.0,1434935600000.0
2071.0,1246239000000.0,1710397600000.0,1621951800000.0,1408819900000.0
2072.0,1208825200000.0,1682803400000.0,1580275000000.0,1388646400000.0
2073.0,1190221000000.0,1665173600000.0,1560189600000.0,1363837300000.0
2074.0,1162309500000.0,1648796400000.0,1528516400000.0,1341591400000.0
2075.0,1132455500000.0,1625573000000.0,1504325100000.0,1320128000000.0
2076.0,1113228300000.0,1597545000000.0,1469566700000.0,1297249000000.0
2077.0,1085094700000.0,1567030400000.0,1452272900000.0,1274123500000.0
2078.0,1066367000000.0,1537569300000.0,1436773000000.0,1243332300000.0
2079.0,1045735340000.0,1530721200000.0,1425971100000.0,1212845700000.0
2080.0,1025019600000.0,1498320000000.0,1405082000000.0,1192911700000.0
2081.0,996904300000.0,1478114800000.0,1390801500000.0,1171255100000.0
2082.0,985885000000.0,1451015700000.0,1390851700000.0,1146991700000.0
2083.0,975747900000.0,1429392200000.0,1374640700000.0,1120236200000.0
2084.0,953518060000.0,1409512900000.0,1339800700000.0,1095955450000.0
2085.0,934163900000.0,1385753200000.0,1329808000000.0,1085195940000.0
2086.0,922253000000.0,1361156600000.0,1314624500000.0,1063518670000.0
2087.0,905209400000.0,1338408200000.0,1300613700000.0,1038117600000.0
2088.0,888498300000.0,1307319500000.0,1280742500000.0,1019612100000.0
2089.0,879445400000.0,1282674700000.0,1270113000000.0,999832200000.0
2090.0,863220400000.0,1256360500000.0,1248825300000.0,991265950000.0
2091.0,847927300000.0,1240780900000.0,1223684300000.0,978298860000.0
2092.0,831523060000.0,1215179300000.0,1203255600000.0,962243660000.0
2093.0,820874400000.0,1203831600000.0,1175628500000.0,947974000000.0
2094.0,809143900000.0,1190956000000.0,1161808700000.0,928357100000.0
2095.0,794783700000.0,1169236000000.0,1152025800000.0,911589640000.0
2096.0,784164850000.0,1148216500000.0,1150219700000.0,894979300000.0
2097.0,778001840000.0,1133299100000.0,1138410700000.0,891287040000.0
2098.0,767086900000.0,1123592200000.0,1125448000000.0,873989100000.0
2099.0,753268200000.0,1107661200000.0,1111578000000.0,861199400000.0
2100.0,743431700000.0,1091974800000.0,1099318200000.0,850040400000.0
2101.0,729743160000.0,1080132800000.0,1098695100000.0,840422700000.0
2102.0,715230100000.0,1074673900000.0,1090338100000.0,829003200000.0
2103.0,708159100000.0,1059594440000.0,1086628300000.0,813585860000.0
2104.0,701536340000.0,1041117900000.0,1087452100000.0,801661600000.0
2105.0,691580200000.0,1028961300000.0,1079782000000.0,790375760000.0
2106.0,684679500000.0,1013754760000.0,1076997900000.0,782615640000.0
2107.0,672952200000.0,1011095400000.0,1068010050000.0,773908600000.0
2108.0,666782100000.0,999678900000.0,1069984200000.0,758001900000.0
2109.0,654763360000.0,990319800000.0,1058379200000.0,753708760000.0
2110.0,646534900000.0,978860050000.0,1049235800000.0,750706950000.0
2111.0,637374700000.0,969855400000.0,1032453900000.0,746061100000.0
2112.0,630023900000.0,956012500000.0,1026528050000.0,739049300000.0
2113.0,625049670000.0,940076300000.0,1014559400000.0,730459800000.0
2114.0,615311200000.0,923440400000.0,1004276000000.0,723359300000.0
2115.0,606605340000.0,921391860000.0,1005599060000.0,715479650000.0
2116.0,595007200000.0,909139700000.0,994088200000.0,711443200000.0
2117.0,587151840000.0,902361840000.0,981855000000.0,701158500000.0
2118.0,578632900000.0,886702500000.0,982421600000.0,694722400000.0
2119.0,571853900000.0,887965400000.0,979811960000.0,685816700000.0
2120.0,562848500000.0,871450350000.0,972389350000.0,682273500000.0
2121.0,553191100000.0,856482500000.0,964095050000.0,669071400000.0
2122.0,548618630000.0,843789800000.0,955834240000.0,659965700000.0
2123.0,542650040000.0,835364900000.0,943819200000.0,649865200000.0
2124.0,541313500000.0,820129000000.0,935685650000.0,640290100000.0
2125.0,532045230000.0,821400440000.0,934748750000.0,636129700000.0
2126.0,524685050000.0,826011600000.0,914769800000.0,626686160000.0
2127.0,522144780000.0,818341740000.0,905115000000.0,620531900000.0
2128.0,517998200000.0,807779240000.0,892332200000.0,612374740000.0
2129.0,508348000000.0,800478700000.0,890702000000.0,606468100000.0
2130.0,496963980000.0,789605500000.0,887710200000.0,597996200000.0
