time,CANESM5,MRI-ESM2-0,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
2012.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0
2013.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0
2014.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0
2015.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4678829500000.0,4670164000000.0,4633303000000.0,4676054400000.0,4656247300000.0
2022.0,4636332000000.0,4641344000000.0,4577461500000.0,4656167600000.0,4619308600000.0
2023.0,4609509000000.0,4625557000000.0,4529697000000.0,4636534600000.0,4597276500000.0
2024.0,4564694600000.0,4614282300000.0,4496887000000.0,4598786400000.0,4591337300000.0
2025.0,4534114500000.0,4589935400000.0,4456699000000.0,4581742300000.0,4560753000000.0
2026.0,4509000500000.0,4568491000000.0,4407416600000.0,4563654400000.0,4508196300000.0
2027.0,4458460000000.0,4544393000000.0,4369941800000.0,4524312000000.0,4475893300000.0
2028.0,4406560400000.0,4493015000000.0,4349915600000.0,4484180000000.0,4448103400000.0
2029.0,4376151500000.0,4472386000000.0,4313698000000.0,4451255500000.0,4406680500000.0
2030.0,4364525600000.0,4436774600000.0,4287339400000.0,4440758700000.0,4343244800000.0
2031.0,4334945600000.0,4415143000000.0,4248340500000.0,4393778800000.0,4303603400000.0
2032.0,4287995000000.0,4387841000000.0,4213722800000.0,4362769300000.0,4257084000000.0
2033.0,4255802700000.0,4374110700000.0,4188759000000.0,4342209800000.0,4213610600000.0
2034.0,4226185700000.0,4352430000000.0,4156718300000.0,4303994500000.0,4194570900000.0
2035.0,4194495000000.0,4333698300000.0,4095617300000.0,4264761500000.0,4158320800000.0
2036.0,4167774800000.0,4312382800000.0,4032594200000.0,4238318800000.0,4123063500000.0
2037.0,4141051000000.0,4285648900000.0,3991291600000.0,4216388300000.0,4094475000000.0
2038.0,4095156700000.0,4250479000000.0,3952997300000.0,4200197800000.0,4050917000000.0
2039.0,4054561600000.0,4210186000000.0,3907053400000.0,4182382000000.0,4023323000000.0
2040.0,4016644000000.0,4175493300000.0,3857590000000.0,4156944300000.0,4005708000000.0
2041.0,3983147500000.0,4139222600000.0,3800216600000.0,4105211000000.0,3983931300000.0
2042.0,3944192400000.0,4117697400000.0,3741502100000.0,4074756400000.0,3953359300000.0
2043.0,3906528300000.0,4073606600000.0,3682815200000.0,4025388000000.0,3906128000000.0
2044.0,3877885700000.0,4050792500000.0,3624147000000.0,4008098400000.0,3868615800000.0
