time,TAIESM1,CESM2-WACCM,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,KACE-1-0-G,IITM-ESM,UKESM1-0-LL
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
2012.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0
2013.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0
2014.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0
2015.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4661181400000.0,4671352000000.0,4652059300000.0,4668141300000.0,4648072000000.0,4703499000000.0,4678268000000.0,4634923000000.0,4658244000000.0
2022.0,4639869000000.0,4642009000000.0,4636172000000.0,4657812300000.0,4623388600000.0,4693705000000.0,4666983000000.0,4569968400000.0,4616873000000.0
2023.0,4621537400000.0,4604064400000.0,4597764600000.0,4622873000000.0,4612881400000.0,4670773300000.0,4615455000000.0,4487781500000.0,4600647600000.0
2024.0,4590525000000.0,4551486000000.0,4560060000000.0,4598649000000.0,4576998000000.0,4635869000000.0,4580584000000.0,4440200000000.0,4569295000000.0
2025.0,4549753400000.0,4522181700000.0,4532817400000.0,4566625600000.0,4531014300000.0,4638116400000.0,4550480600000.0,4397410800000.0,4533686000000.0
2026.0,4522510000000.0,4489562600000.0,4527108000000.0,4530532500000.0,4498009000000.0,4623065000000.0,4502776000000.0,4332329000000.0,4484834500000.0
2027.0,4478583000000.0,4431216600000.0,4508440600000.0,4470110000000.0,4452452000000.0,4617252000000.0,4473543500000.0,4269876400000.0,4431970600000.0
2028.0,4431340000000.0,4381209800000.0,4497476700000.0,4430264500000.0,4435500600000.0,4573663600000.0,4400761000000.0,4232410000000.0,4399785600000.0
2029.0,4406853000000.0,4338172000000.0,4477531700000.0,4388434700000.0,4403007300000.0,4532896000000.0,4381180200000.0,4185478100000.0,4329838200000.0
2030.0,4366573800000.0,4283727000000.0,4466932000000.0,4378729000000.0,4379805000000.0,4492804000000.0,4360201800000.0,4145893000000.0,4268810000000.0
2031.0,4315143500000.0,4254649000000.0,4455619600000.0,4355296600000.0,4350972000000.0,4465954400000.0,4342529400000.0,4095286400000.0,4224942600000.0
2032.0,4260774800000.0,4239812500000.0,4452459000000.0,4325868600000.0,4329382000000.0,4455760700000.0,4313181000000.0,4046257700000.0,4161488800000.0
2033.0,4202672000000.0,4177241000000.0,4435135700000.0,4297476300000.0,4294603000000.0,4437687400000.0,4250645600000.0,3989745400000.0,4118429300000.0
2034.0,4154310800000.0,4136556600000.0,4409596600000.0,4281026000000.0,4281036700000.0,4423815000000.0,4217347500000.0,3942264300000.0,4057860400000.0
2035.0,4118041900000.0,4079262000000.0,4382370600000.0,4257214000000.0,4265127200000.0,4419061000000.0,4212847500000.0,3893487700000.0,4020543000000.0
2036.0,4062410400000.0,4003880800000.0,4374079000000.0,4200504800000.0,4235023000000.0,4396643500000.0,4186220800000.0,3841884200000.0,3983948000000.0
2037.0,4018133000000.0,3962896400000.0,4346481700000.0,4160596500000.0,4195357000000.0,4372191800000.0,4158954000000.0,3790449700000.0,3943699600000.0
2038.0,3967851200000.0,3951239000000.0,4335462800000.0,4122121600000.0,4181157000000.0,4333256800000.0,4138054000000.0,3754020600000.0,3913462300000.0
2039.0,3934220000000.0,3894557500000.0,4326801800000.0,4103740900000.0,4161737300000.0,4305565800000.0,4114888000000.0,3718804400000.0,3884843300000.0
2040.0,3911564000000.0,3858822000000.0,4329008800000.0,4048032000000.0,4134803000000.0,4281411600000.0,4075104200000.0,3659081000000.0,3852426800000.0
2041.0,3878844600000.0,3809847300000.0,4297919600000.0,3994660600000.0,4134434800000.0,4270112600000.0,4029101000000.0,3611497000000.0,3815014400000.0
2042.0,3840663400000.0,3785317200000.0,4288598200000.0,3940435000000.0,4113326700000.0,4259492100000.0,3992322600000.0,3570985000000.0,3766485800000.0
2043.0,3796097800000.0,3778216500000.0,4251323200000.0,3912518300000.0,4093554200000.0,4244987700000.0,3962966000000.0,3541878400000.0,3722188000000.0
2044.0,3743361300000.0,3755728700000.0,4215071000000.0,3877141200000.0,4061453000000.0,4212513600000.0,3918760000000.0,3479247500000.0,3689713800000.0
2045.0,3713679800000.0,3704273000000.0,4188282600000.0,3827136700000.0,4031227000000.0,4176089400000.0,3878424200000.0,3422350200000.0,3653698600000.0
2046.0,3663972800000.0,3670572300000.0,4155637800000.0,3801485000000.0,4022027200000.0,4147505800000.0,3846288400000.0,3367588000000.0,3612883800000.0
2047.0,3620812000000.0,3612730700000.0,4129421500000.0,3767490000000.0,3996666800000.0,4131650300000.0,3816925200000.0,3328382900000.0,3570639800000.0
2048.0,3571442000000.0,3578577600000.0,4088722600000.0,3731674600000.0,3978577000000.0,4106268700000.0,3792611300000.0,3247552600000.0,3523550000000.0
2049.0,3537033800000.0,3523976600000.0,4046916000000.0,3693155000000.0,3943350400000.0,4081700300000.0,3772021200000.0,3203460800000.0,3486895000000.0
2050.0,3506437000000.0,3466129800000.0,4034453800000.0,3657651500000.0,3908517500000.0,4052874400000.0,3734860200000.0,3147148800000.0,3431691200000.0
2051.0,3463403800000.0,3432203700000.0,4009241300000.0,3643930300000.0,3892820600000.0,4023804000000.0,3715498000000.0,3099036700000.0,3389924800000.0
2052.0,3416003200000.0,3400966900000.0,3970038500000.0,3612524400000.0,3881249500000.0,3982949000000.0,3674500500000.0,3044560000000.0,3366671600000.0
2053.0,3378082700000.0,3364834800000.0,3955138500000.0,3584800600000.0,3861168300000.0,3946112600000.0,3648042000000.0,2999690200000.0,3329715900000.0
2054.0,3350132200000.0,3337648600000.0,3956130400000.0,3554254300000.0,3830106300000.0,3946189200000.0,3625310200000.0,2961678500000.0,3272317000000.0
2055.0,3311802500000.0,3302612800000.0,3953276700000.0,3527141200000.0,3796840500000.0,3933562000000.0,3579848400000.0,2934628400000.0,3213871000000.0
2056.0,3277135300000.0,3255396200000.0,3936959000000.0,3485338200000.0,3768900400000.0,3903000700000.0,3544318000000.0,2888506500000.0,3180127800000.0
2057.0,3243057600000.0,3187914600000.0,3897439300000.0,3456340600000.0,3748033000000.0,3877009400000.0,3526676000000.0,2848585000000.0,3139418500000.0
2058.0,3185277700000.0,3154013000000.0,3863538800000.0,3424003800000.0,3724553200000.0,3841017000000.0,3512520400000.0,2799733300000.0,3110692000000.0
2059.0,3160292200000.0,3133287000000.0,3828783300000.0,3407311800000.0,3698054000000.0,3794789500000.0,3482285500000.0,2765429100000.0,3078294900000.0
