time,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM5-0,IPSL-CM6A-LR,CMCC-CM2-SR5,CESM2-WACCM,TAIESM1,GFDL-ESM4,EC-EARTH3-VEG,CESM2,ACCESS-CM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,ACCESS-ESM1-5,CANESM5,CAMS-CSM1-0
2000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0
2001.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0
2002.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0
2003.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0
2004.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0
2005.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0
2006.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0
2007.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0
2008.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0
2009.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0
2010.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0
2011.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0
2012.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0
2013.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0
2014.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0
2015.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0
2016.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0
2017.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0
2018.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0
2019.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0
2020.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0
2021.0,33489381000.0,33613652000.0,33524046000.0,33589096000.0,33809830000.0,33543750000.0,33830144000.0,33529623000.0,33544550000.0,33510572000.0,33706720000.0,33770502000.0,33619288000.0,33553758000.0,33674236000.0,33525250000.0,33554650000.0,33656445000.0,33613101000.0
2022.0,33695638000.0,33588472000.0,33429980000.0,33830197000.0,33650622000.0,33478394000.0,33531654000.0,33638775000.0,33476830000.0,33410595000.0,33803290000.0,33733900000.0,33822170000.0,33483174000.0,33548138000.0,33355887000.0,33527702000.0,33420292000.0,33569182000.0
2023.0,33483846000.0,33419944000.0,33480987000.0,33920870000.0,33517660000.0,33373526000.0,33405970000.0,33483538000.0,33524950000.0,33339757000.0,33488843000.0,33593469000.0,33507492000.0,33439502000.0,33439599000.0,33260448000.0,33384251000.0,33278448000.0,33636735000.0
2024.0,33341570000.0,33335693000.0,33517450000.0,33553180000.0,33392286000.0,33293292000.0,34048810000.0,33392294000.0,33732750000.0,33279494000.0,33384495000.0,33512468000.0,33496734000.0,33411164000.0,33546023000.0,33090138000.0,33323930000.0,33142286000.0,33944652000.0
2025.0,33257340000.0,33275218000.0,33409083000.0,33447307000.0,33309985000.0,33243193000.0,33547966000.0,33325093000.0,33484308000.0,33267732000.0,33366018000.0,33454125000.0,33401020000.0,33317310000.0,33353026000.0,32951454000.0,33237530000.0,32980384000.0,33742662000.0
2026.0,33117848000.0,33201700000.0,33460543000.0,33330629000.0,33552445000.0,33103411000.0,33332074000.0,33314914000.0,33341553000.0,33149188000.0,34734653000.0,33395452000.0,33382808000.0,33292743000.0,33283398000.0,32987974000.0,33147083000.0,32777410000.0,33570193000.0
2027.0,32999760000.0,33054747000.0,33296749000.0,33250228000.0,33560343000.0,33041592000.0,33283030000.0,33255880000.0,33186277000.0,33064667000.0,33660695000.0,33307700000.0,33269524000.0,33225271000.0,33280303000.0,32770163000.0,33063090000.0,33593207000.0,33422885000.0
2028.0,32929622000.0,32938410000.0,33143976000.0,33180447000.0,33183540000.0,32923519000.0,33146638000.0,33169992000.0,33181410000.0,33063012000.0,33661297000.0,33416856000.0,33197414000.0,33093206000.0,33180707000.0,32613788000.0,32930597000.0,32653785000.0,33382440000.0
2029.0,32826366000.0,32864825000.0,33047702000.0,33036982000.0,33103088000.0,32961567000.0,33322486000.0,33275961000.0,32989712000.0,32925016000.0,33325394000.0,33221890000.0,33114771000.0,33063160000.0,33169250000.0,32404804000.0,32836966000.0,32366295000.0,33274080000.0
2030.0,32705417000.0,32788160000.0,32919310000.0,32964035000.0,33173922000.0,32706947000.0,32927169000.0,33015577000.0,32908724000.0,32920766000.0,33189106000.0,33094418000.0,33008160000.0,32884625000.0,33065871000.0,32115845000.0,32783354000.0,32103285000.0,33173800000.0
2031.0,32935334000.0,32656992000.0,32736147000.0,32886757000.0,33196997000.0,32643156000.0,32767160000.0,32955726000.0,32713775000.0,32707248000.0,33084154000.0,33071639000.0,32869405000.0,33033478000.0,33028397000.0,31815315000.0,32693625000.0,31814180000.0,33502087000.0
2032.0,32599185000.0,32586463000.0,32544483000.0,32753592000.0,33227172000.0,32530192000.0,32576588000.0,32869362000.0,32932735000.0,32548923000.0,33030457000.0,33006875000.0,32805396000.0,32752669000.0,32983351000.0,31522050000.0,32546417000.0,31557673000.0,33120830000.0
2033.0,32430318000.0,32382611000.0,32362136000.0,32633276000.0,32933900000.0,32320612000.0,32371880000.0,32778238000.0,32659374000.0,32427594000.0,32857524000.0,32912658000.0,32704918000.0,32601545000.0,32920320000.0,31316360000.0,32381325000.0,31224865000.0,32999217000.0
2034.0,32290083000.0,32197026000.0,32237859000.0,32461763000.0,32772856000.0,32260661000.0,32271925000.0,32872413000.0,32612260000.0,32188484000.0,32797168000.0,32761970000.0,32534106000.0,32463192000.0,32776890000.0,30999054000.0,32203483000.0,31027044000.0,32901806000.0
2035.0,32231533000.0,32038350000.0,32109447000.0,32292760000.0,32683985000.0,32666020000.0,32185076000.0,32610240000.0,32337836000.0,32058192000.0,32616905000.0,32613382000.0,32424198000.0,32342553000.0,32955777000.0,30551710000.0,31954954000.0,30458010000.0,32830466000.0
2036.0,32099020000.0,31854795000.0,31851526000.0,32191236000.0,32482250000.0,32385440000.0,31890225000.0,32485590000.0,32238307000.0,31937272000.0,32408056000.0,32403945000.0,32383943000.0,32180937000.0,32744673000.0,30140244000.0,31772803000.0,30080438000.0,32764408000.0
2037.0,31934730000.0,31671564000.0,31632947000.0,32031960000.0,32298428000.0,32019409000.0,31595008000.0,32391160000.0,32099803000.0,31692833000.0,32279440000.0,32187527000.0,32095540000.0,32076448000.0,32685850000.0,29797380000.0,31529578000.0,29652982000.0,33455352000.0
2038.0,31731310000.0,31389336000.0,31448404000.0,31885507000.0,32137642000.0,31792894000.0,31259136000.0,32341866000.0,31920138000.0,31488162000.0,32210272000.0,32042815000.0,31973284000.0,32018465000.0,32530942000.0,29267102000.0,31340913000.0,29279099000.0,32801092000.0
2039.0,31656950000.0,31084200000.0,31194028000.0,31628532000.0,31983290000.0,31545889000.0,30954301000.0,32109212000.0,31696425000.0,31359506000.0,31992015000.0,31932625000.0,31791340000.0,31710382000.0,32367387000.0,28816249000.0,31376646000.0,28597795000.0,32561828000.0
2040.0,31340397000.0,30932120000.0,30982136000.0,31379003000.0,31755024000.0,31266160000.0,30640568000.0,31979446000.0,31273347000.0,31113478000.0,31704541000.0,31756806000.0,31620960000.0,31443790000.0,32229007000.0,28258077000.0,30988940000.0,29211382000.0,32591573000.0
2041.0,31100658000.0,30592647000.0,30696077000.0,31052126000.0,31562693000.0,30920935000.0,30422462000.0,31820614000.0,31062577000.0,30845082000.0,31533226000.0,31729576000.0,31488412000.0,31272850000.0,32065507000.0,27863222000.0,30778309000.0,28181891000.0,32473930000.0
2042.0,31011365000.0,30292433000.0,30461920000.0,30765887000.0,31326863000.0,30730117000.0,30506047000.0,31657808000.0,30728829000.0,30593660000.0,31284775000.0,31549813000.0,31333034000.0,30982617000.0,31892990000.0,27500770000.0,30604186000.0,27543658000.0,32384300000.0
2043.0,30785400000.0,29996093000.0,30147115000.0,30465987000.0,31768426000.0,30433081000.0,29971364000.0,31447982000.0,30391370000.0,30312671000.0,30986105000.0,31305361000.0,31056177000.0,30688477000.0,31740050000.0,26819721000.0,30255802000.0,26969640000.0,32180031000.0
