time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0
2001.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0
2002.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0
2003.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0
2004.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0
2005.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0
2006.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0
2007.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0
2008.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0
2009.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0
2010.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0
2011.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0
2012.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0
2013.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0
2014.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0
2015.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0
2016.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0
2017.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0
2018.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0
2019.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0
2020.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0
2021.0,33656445000.0,33543750000.0,33589096000.0,33613652000.0
2022.0,33420292000.0,33478394000.0,33830197000.0,33588472000.0
2023.0,33278448000.0,33373526000.0,33920870000.0,33419944000.0
2024.0,33142286000.0,33293292000.0,33553180000.0,33335693000.0
2025.0,32980384000.0,33243193000.0,33447307000.0,33275218000.0
2026.0,32777410000.0,33103411000.0,33330629000.0,33201700000.0
2027.0,33593207000.0,33041592000.0,33250228000.0,33054747000.0
2028.0,32653785000.0,32923519000.0,33180447000.0,32938410000.0
2029.0,32366295000.0,32961567000.0,33036982000.0,32864825000.0
2030.0,32103285000.0,32706947000.0,32964035000.0,32788160000.0
2031.0,31813863000.0,32643180000.0,32885348000.0,32655677000.0
2032.0,31559193000.0,32529646000.0,32752693000.0,32585935000.0
2033.0,31223642000.0,32319402000.0,32633647000.0,32378302000.0
2034.0,31019241000.0,32258960000.0,32460495000.0,32187783000.0
2035.0,30445790000.0,32661080000.0,32290505000.0,32026356000.0
2036.0,30056677000.0,32372960000.0,32184780000.0,31838673000.0
2037.0,29616420000.0,32007850000.0,32020908000.0,31651023000.0
2038.0,29231313000.0,31780155000.0,31872784000.0,31362648000.0
2039.0,28537778000.0,31530084000.0,31613047000.0,31048765000.0
2040.0,29120463000.0,31246055000.0,31355441000.0,30887571000.0
2041.0,27955444000.0,30955887000.0,30995857000.0,30505021000.0
2042.0,27635580000.0,30736855000.0,30767827000.0,30221410000.0
2043.0,26785090000.0,30411878000.0,30465767000.0,29823433000.0
2044.0,26177548000.0,30141325000.0,30177940000.0,29351625000.0
2045.0,25749730000.0,29816457000.0,29878612000.0,28998644000.0
2046.0,25263370000.0,29368291000.0,29593678000.0,28566757000.0
2047.0,24684167000.0,29094270000.0,29310198000.0,28204597000.0
2048.0,24332400000.0,28747848000.0,28921640000.0,27630300000.0
2049.0,23774360000.0,28528603000.0,28647127000.0,27180906000.0
2050.0,23228873000.0,28124086000.0,28302840000.0,26747406000.0
2051.0,23268196000.0,27737074000.0,28013175000.0,26402015000.0
2052.0,22800781000.0,27458736000.0,27736297000.0,25922347000.0
2053.0,22298229000.0,27127593000.0,27383812000.0,25478072000.0
2054.0,22168304000.0,26855150000.0,27116421000.0,25221814000.0
2055.0,21474333000.0,26527625000.0,26795890000.0,24749330000.0
2056.0,20866114000.0,26449486000.0,26556800000.0,24458713000.0
