time,CESM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,CESM2-WACCM,GFDL-ESM4,EC-EARTH3-VEG
2000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0
2001.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0
2002.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0
2003.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0
2004.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0
2005.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0
2006.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0
2007.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0
2008.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0
2009.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0
2010.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0
2011.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0
2012.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0
2013.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0
2014.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0,33702970000.0
2015.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0,33745750000.0
2016.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0,34770596000.0
2017.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0,33738908000.0
2018.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0,33740567000.0
2019.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0,33702191000.0
2020.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0,33882059000.0
2021.0,33679337000.0,33602208000.0,33642040000.0,33606849000.0,33546435000.0,33502855000.0,33806140000.0,33530640000.0,33651278000.0,33570744000.0,33541487000.0,33581040000.0,33662798000.0
2022.0,33525823000.0,33461790000.0,33498372000.0,33652244000.0,33511817000.0,33335431000.0,33645978000.0,33501018000.0,33514370000.0,33540520000.0,33624041000.0,33641660000.0,33645850000.0
2023.0,33455450000.0,33371863000.0,33402163000.0,33490405000.0,33773695000.0,33215290000.0,33505217000.0,33389296000.0,33423135000.0,33453455000.0,33518742000.0,33553893000.0,33502792000.0
2024.0,33547774000.0,33396527000.0,33390390000.0,33522842000.0,33467116000.0,33182351000.0,34334175000.0,33315867000.0,33327950000.0,33476264000.0,33470090000.0,33332978000.0,33498675000.0
2025.0,33362608000.0,33259379000.0,33351145000.0,33431513000.0,33701110000.0,32990728000.0,33699200000.0,33269471000.0,33229040000.0,33349296000.0,33414490000.0,33414955000.0,33530794000.0
2026.0,33436248000.0,33109428000.0,33267284000.0,33720515000.0,33491083000.0,32849498000.0,33448272000.0,33258883000.0,33211940000.0,33281782000.0,33268568000.0,33358914000.0,34690093000.0
2027.0,33278706000.0,32999168000.0,33684034000.0,33496185000.0,33357623000.0,32680335000.0,33341960000.0,33146513000.0,33108939000.0,33537034000.0,33202178000.0,33301887000.0,33646957000.0
2028.0,33180660000.0,32948865000.0,33455223000.0,33300697000.0,33339197000.0,32566745000.0,33310350000.0,33040450000.0,33001095000.0,33226838000.0,33165130000.0,33163014000.0,33487012000.0
2029.0,33115562000.0,32767273000.0,33350873000.0,33233304000.0,33222523000.0,32367884000.0,33311760000.0,32903090000.0,32896680000.0,33184297000.0,33194023000.0,33092751000.0,33321500000.0
2030.0,33276758000.0,32598755000.0,33234342000.0,33191289000.0,33107536000.0,32122876000.0,33177050000.0,32875553000.0,32790276000.0,32975262000.0,33047441000.0,33203843000.0,33324286000.0
2031.0,33029808000.0,32475040000.0,33126423000.0,33063820000.0,33010067000.0,31867429000.0,33104667000.0,32717371000.0,32960526000.0,32898015000.0,32915612000.0,33015996000.0,33180959000.0
2032.0,32864754000.0,32333021000.0,33059844000.0,32981727000.0,32916079000.0,31557708000.0,33424437000.0,32582916000.0,32952068000.0,32899887000.0,33066664000.0,32911038000.0,33101769000.0
2033.0,32773675000.0,32179104000.0,33019218000.0,32867414000.0,32911920000.0,31276036000.0,33398028000.0,32568190000.0,32649394000.0,32695085000.0,33076122000.0,32879161000.0,33482926000.0
2034.0,32670499000.0,32028740000.0,32874564000.0,32742572000.0,32949787000.0,30943582000.0,33075218000.0,32376891000.0,32584937000.0,32589187000.0,32773464000.0,32783081000.0,32943477000.0
2035.0,32595845000.0,31728005000.0,32754170000.0,32595380000.0,32712094000.0,30582006000.0,33031000000.0,32240644000.0,32552636000.0,32430895000.0,32638984000.0,32657402000.0,32827974000.0
2036.0,32445751000.0,31585350000.0,32708866000.0,32439742000.0,32601129000.0,30163309000.0,33013310000.0,32079882000.0,32538590000.0,32263370000.0,32560540000.0,32568846000.0,32931910000.0
2037.0,32285958000.0,31335340000.0,33107024000.0,32293229000.0,32674680000.0,29662517000.0,32778620000.0,31943100000.0,32354173000.0,32121858000.0,32390015000.0,32582860000.0,33317868000.0
2038.0,32210100000.0,31036477000.0,32552913000.0,32180754000.0,32653097000.0,29331427000.0,32676014000.0,31772731000.0,32121590000.0,31938521000.0,32288578000.0,32436361000.0,32695683000.0
2039.0,32142373000.0,30827870000.0,32378460000.0,32025836000.0,32440273000.0,28983978000.0,32614880000.0,31573539000.0,32190206000.0,31778167000.0,32216678000.0,32257202000.0,32571468000.0
2040.0,31883866000.0,30639610000.0,32260248000.0,31774155000.0,32258048000.0,28640885000.0,32537000000.0,31374289000.0,32240058000.0,31533429000.0,32156563000.0,32268863000.0,32585257000.0
2041.0,31713284000.0,30268977000.0,32115270000.0,31542366000.0,32128156000.0,28124920000.0,32490109000.0,31166747000.0,31887444000.0,31238566000.0,32090427000.0,32206828000.0,32889385000.0
2042.0,31480037000.0,29973684000.0,31937292000.0,31356700000.0,31968635000.0,27736250000.0,32308110000.0,30894948000.0,31632181000.0,30930186000.0,31862940000.0,32143680000.0,32370864000.0
2043.0,31227967000.0,29739467000.0,31866038000.0,31144088000.0,31863146000.0,27330310000.0,32261319000.0,30602805000.0,31463401000.0,30685098000.0,31760273000.0,31985189000.0,32216783000.0
2044.0,31091907000.0,29357881000.0,31811193000.0,30853681000.0,31645008000.0,26803266000.0,32031465000.0,30369730000.0,31919730000.0,30491398000.0,31500329000.0,31823448000.0,32092025000.0
2045.0,30885000000.0,28998355000.0,31622568000.0,30613748000.0,31565797000.0,26300285000.0,31929817000.0,30085208000.0,31291218000.0,30295126000.0,31225969000.0,31660016000.0,31909763000.0
2046.0,30687427000.0,28785785000.0,31462928000.0,30362382000.0,31357032000.0,25921080000.0,31766310000.0,29797122000.0,31069684000.0,30020708000.0,31060236000.0,31497763000.0,31732826000.0
2047.0,30408270000.0,28495310000.0,31383845000.0,30061418000.0,31173145000.0,25524500000.0,31621421000.0,29677478000.0,30931474000.0,29742537000.0,30856989000.0,31328131000.0,31530695000.0
2048.0,30060956000.0,28070644000.0,31163814000.0,29845051000.0,31033150000.0,25118347000.0,31420774000.0,29408401000.0,30707474000.0,29558698000.0,30553180000.0,31183704000.0,31445062000.0
2049.0,29787654000.0,28135756000.0,30928110000.0,29552124000.0,30836417000.0,24666534000.0,31252048000.0,29124805000.0,30366430000.0,29270977000.0,30306020000.0,30998570000.0,31194233000.0
2050.0,29740290000.0,28153514000.0,30634426000.0,29184640000.0,31047698000.0,24404484000.0,31034434000.0,28918276000.0,30167190000.0,28964240000.0,30045106000.0,30798359000.0,30931216000.0
2051.0,29380868000.0,27405361000.0,30428402000.0,28936692000.0,30631030000.0,23824950000.0,30740863000.0,28581040000.0,30296617000.0,28629774000.0,29692189000.0,30566183000.0,30706006000.0
2052.0,29069770000.0,27055763000.0,30387247000.0,28568388000.0,30426250000.0,23374156000.0,30481914000.0,28327657000.0,29883007000.0,28369367000.0,29589901000.0,30524000000.0,30380655000.0
2053.0,28753672000.0,26667176000.0,30023944000.0,28242741000.0,30202872000.0,22971347000.0,30307810000.0,28024408000.0,29653380000.0,28234592000.0,29308109000.0,30043148000.0,30106600000.0
2054.0,28494367000.0,26265324000.0,29770130000.0,27939504000.0,29936720000.0,22801523000.0,30508315000.0,27759428000.0,29387727000.0,27914780000.0,28982428000.0,29808517000.0,29864830000.0
2055.0,28255185000.0,25981708000.0,29478515000.0,27616723000.0,29806184000.0,22277570000.0,30592571000.0,27444533000.0,29067268000.0,27618040000.0,28585450000.0,29494330000.0,29503922000.0
2056.0,28247171000.0,25638140000.0,29218898000.0,27116950000.0,29890925000.0,21791433000.0,30016602000.0,27042030000.0,28843815000.0,27390286000.0,28373530000.0,29194120000.0,29185452000.0
2057.0,27859400000.0,25225816000.0,29049436000.0,26832873000.0,29368190000.0,21219052000.0,29723670000.0,26739700000.0,28560908000.0,27054764000.0,28093288000.0,28961274000.0,28988174000.0
2058.0,27556254000.0,24941068000.0,28776454000.0,26351854000.0,29078559000.0,20853336000.0,29451555000.0,26410992000.0,28368350000.0,26818048000.0,27707857000.0,28752562000.0,28633274000.0
2059.0,27483150000.0,24630070000.0,28304150000.0,25980396000.0,28806918000.0,20558270000.0,29255780000.0,26034733000.0,28132553000.0,26529815000.0,27375624000.0,28384416000.0,28378812000.0
2060.0,27145832000.0,24223440000.0,27869350000.0,25440573000.0,28606538000.0,20036792000.0,28979747000.0,25747978000.0,27811041000.0,26198620000.0,27179684000.0,28326631000.0,29079960000.0
2061.0,26780856000.0,23886750000.0,27664728000.0,24973957000.0,28313256000.0,19642012000.0,28701809000.0,25351135000.0,27555600000.0,25750843000.0,26838665000.0,27726010000.0,28160375000.0
2062.0,26469140000.0,23595106000.0,27273360000.0,24516819000.0,28054809000.0,19293364000.0,28608039000.0,25111097000.0,27191857000.0,25505591000.0,26543495000.0,27283356000.0,27591762000.0
2063.0,26326944000.0,23192693000.0,26821913000.0,24041372000.0,27925694000.0,18943492000.0,28315634000.0,24798929000.0,26980076000.0,25216301000.0,26233651000.0,26978146000.0,27231666000.0
2064.0,25927680000.0,22809950000.0,26421873000.0,23533564000.0,27861346000.0,18481603000.0,27951366000.0,24379935000.0,26922180000.0,24936240000.0,25807610000.0,26489737000.0,26741006000.0
2065.0,25582674000.0,22421527000.0,26112248000.0,23026407000.0,27494146000.0,18070751000.0,27806544000.0,24174879000.0,26446422000.0,24626051000.0,25380989000.0,26138390000.0,26411809000.0
2066.0,25414173000.0,22088663000.0,25777040000.0,22497692000.0,27223757000.0,17713211000.0,27599540000.0,23706847000.0,26167407000.0,24340947000.0,25028614000.0,25718254000.0,25916380000.0
2067.0,25056295000.0,21852699000.0,25539226000.0,22019460000.0,26952292000.0,17282980000.0,27243268000.0,23337122000.0,25893825000.0,24170785000.0,24729678000.0,25346116000.0,25491986000.0
2068.0,24754555000.0,21512622000.0,25269199000.0,21531144000.0,26744306000.0,16871598000.0,27062878000.0,23017180000.0,25622376000.0,23964040000.0,24464572000.0,24901958000.0,25183631000.0
2069.0,24502098000.0,21217581000.0,24990112000.0,21043810000.0,26700510000.0,16473527000.0,26866006000.0,22782814000.0,25360226000.0,23762268000.0,24074537000.0,24441070000.0,24773642000.0
2070.0,24179090000.0,20867056000.0,24635830000.0,20585054000.0,26435131000.0,16091796000.0,26579036000.0,22445535000.0,25042018000.0,23550317000.0,23797109000.0,24207649000.0,24295987000.0
2071.0,23918800000.0,20534708000.0,24318527000.0,20034028000.0,26129930000.0,15711658000.0,26320420000.0,21973395000.0,24694407000.0,23295332000.0,23495860000.0,23828457000.0,23955266000.0
