time,FGOALS-F3-L,NORESM2-MM,CESM2,ACCESS-CM2,EC-EARTH3,CANESM5,ACCESS-ESM1-5,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,GFDL-ESM4
2000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0,34125609000.0
2001.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0,33798777000.0
2002.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0,33667377000.0
2003.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0,33672258000.0
2004.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0,34173856000.0
2005.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0,34133800000.0
2006.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0,34307420000.0
2007.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0,34032871000.0
2008.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0,33765505000.0
2009.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0,33825667000.0
2010.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0,33962654000.0
2011.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0,34355857000.0
2012.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0,33841605000.0
2013.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0,33727193000.0
