time,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,ACCESS-CM2,INM-CM5-0,CESM2,TAIESM1,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3,CANESM5,CESM2-WACCM,INM-CM4-8
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3033884300000.0,3028868700000.0,3033332400000.0,3027692000000.0,3026122400000.0,3025369800000.0,3028554000000.0,3019610300000.0,3028919300000.0,3020384000000.0,3011464000000.0,3038037700000.0,3027842000000.0,3020179400000.0,3042220700000.0,3009247200000.0,3011161400000.0,3026969000000.0,3019629700000.0
2022.0,3011611700000.0,3000041500000.0,3022171000000.0,2990825500000.0,2996524800000.0,2993588800000.0,2997611700000.0,3007326500000.0,3020760500000.0,2997670600000.0,3004254400000.0,3016066000000.0,2992784800000.0,2999555700000.0,3026398000000.0,2997939300000.0,2966947600000.0,2992192600000.0,2990886600000.0
2023.0,2982493300000.0,2971325700000.0,3013650700000.0,2956607000000.0,2985350100000.0,2957278000000.0,2956102500000.0,2974099200000.0,3013182200000.0,2982051800000.0,2977874000000.0,2992973300000.0,2949458000000.0,2950679200000.0,3019754400000.0,2975659200000.0,2908766900000.0,2950953400000.0,2956079100000.0
2024.0,2966167700000.0,2945216200000.0,3024256200000.0,2923531600000.0,2956269000000.0,2939218000000.0,2943649600000.0,2939010700000.0,2993763000000.0,2964635800000.0,2951632400000.0,2977532500000.0,2926149600000.0,2912822800000.0,2988017000000.0,2942838800000.0,2851133200000.0,2917756000000.0,2953074700000.0
2025.0,2947164400000.0,2902310000000.0,3018465000000.0,2881362900000.0,2922821700000.0,2913668700000.0,2907880800000.0,2901956000000.0,2991428500000.0,2935277500000.0,2934733300000.0,2962755000000.0,2890218300000.0,2873407800000.0,2970580000000.0,2907059300000.0,2796406700000.0,2885737800000.0,2916329500000.0
2026.0,2922566400000.0,2869208800000.0,2981921800000.0,2848164400000.0,2898596700000.0,2884956300000.0,2872248000000.0,2874962600000.0,2977173900000.0,2908554300000.0,2920019400000.0,2966676800000.0,2850196000000.0,2847440600000.0,2948443400000.0,2888490500000.0,2725493000000.0,2842000400000.0,2889217700000.0
2027.0,2890890200000.0,2832155300000.0,2937443000000.0,2811945300000.0,2862826700000.0,2844125300000.0,2857268000000.0,2839130100000.0,2949289600000.0,2885936000000.0,2899727400000.0,2950522000000.0,2801811800000.0,2802813200000.0,2919431700000.0,2863828600000.0,2672341800000.0,2821601600000.0,2861101200000.0
2028.0,2880773800000.0,2798726000000.0,2924517800000.0,2802310200000.0,2826001400000.0,2807018800000.0,2831862000000.0,2808141300000.0,2925195000000.0,2862624300000.0,2875701900000.0,2906286200000.0,2751905700000.0,2766258800000.0,2903219000000.0,2831076300000.0,2623288000000.0,2779742700000.0,2834131000000.0
2029.0,2861589600000.0,2768142600000.0,2887224400000.0,2748400800000.0,2793103000000.0,2765947100000.0,2800374000000.0,2767351700000.0,2897156200000.0,2857909400000.0,2860851000000.0,2871485300000.0,2712150200000.0,2719756600000.0,2877219000000.0,2791240600000.0,2557843900000.0,2751638500000.0,2790392900000.0
2030.0,2806465200000.0,2738126300000.0,2863276200000.0,2709255400000.0,2741892300000.0,2723551000000.0,2756589000000.0,2744735000000.0,2864273700000.0,2826795200000.0,2820695000000.0,2846439000000.0,2689512200000.0,2684617000000.0,2852210600000.0,2725190800000.0,2497171700000.0,2711558800000.0,2755632300000.0
2031.0,2781532700000.0,2695747900000.0,2818283400000.0,2666371000000.0,2680455400000.0,2678891700000.0,2712577000000.0,2741957600000.0,2852790500000.0,2808674300000.0,2802682000000.0,2824058200000.0,2645506000000.0,2654581000000.0,2834950000000.0,2681974800000.0,2430304800000.0,2691040000000.0,2724275700000.0
2032.0,2762599300000.0,2668361400000.0,2797482800000.0,2620098300000.0,2627516800000.0,2642921700000.0,2661064600000.0,2702093600000.0,2832746200000.0,2795764200000.0,2769645000000.0,2801176400000.0,2601445200000.0,2621943600000.0,2806280600000.0,2652869000000.0,2374550400000.0,2659820500000.0,2697728000000.0
2033.0,2743236000000.0,2628739100000.0,2765199200000.0,2582816800000.0,2582164800000.0,2600478000000.0,2615604200000.0,2671310000000.0,2791341800000.0,2773730500000.0,2735772500000.0,2780149300000.0,2549346200000.0,2576363600000.0,2761723500000.0,2624211400000.0,2315942600000.0,2619825000000.0,2677963500000.0
2034.0,2702041200000.0,2592631700000.0,2739189300000.0,2557614200000.0,2549653000000.0,2549585800000.0,2577806700000.0,2627468500000.0,2756221600000.0,2741339700000.0,2706960500000.0,2744271200000.0,2498352600000.0,2536351700000.0,2713501000000.0,2577512500000.0,2257636600000.0,2596592000000.0,2633763400000.0
2035.0,2656279500000.0,2568229700000.0,2711152000000.0,2522024800000.0,2525289800000.0,2511719000000.0,2552728400000.0,2620064000000.0,2743117000000.0,2718101400000.0,2665815200000.0,2700639700000.0,2444517200000.0,2494503600000.0,2672207900000.0,2527604200000.0,2189385700000.0,2568502400000.0,2623632800000.0
2036.0,2602931800000.0,2535978400000.0,2683441300000.0,2480381400000.0,2479424000000.0,2459825600000.0,2499876700000.0,2601108000000.0,2718511000000.0,2675424400000.0,2627548000000.0,2662513800000.0,2402608500000.0,2448867700000.0,2638197300000.0,2465640200000.0,2142884100000.0,2537081300000.0,2595322300000.0
2037.0,2550856200000.0,2483849800000.0,2661136200000.0,2442299400000.0,2427794500000.0,2401125800000.0,2439664000000.0,2570241400000.0,2709021500000.0,2653604800000.0,2595547000000.0,2610961600000.0,2362931700000.0,2405836300000.0,2613683400000.0,2421075500000.0,2072464500000.0,2507905700000.0,2555536500000.0
2038.0,2513136800000.0,2444433800000.0,2629685700000.0,2397283500000.0,2380863600000.0,2357335200000.0,2381673100000.0,2530276800000.0,2681255800000.0,2624845500000.0,2571212200000.0,2562651300000.0,2308735000000.0,2355912800000.0,2591635300000.0,2373601200000.0,2011910800000.0,2469351400000.0,2530973300000.0
2039.0,2490617300000.0,2410348000000.0,2606528500000.0,2353843100000.0,2346608800000.0,2316650700000.0,2329609200000.0,2515443400000.0,2645148300000.0,2590873700000.0,2529547800000.0,2529613600000.0,2276319800000.0,2290074500000.0,2547059300000.0,2317055700000.0,1940622400000.0,2422082000000.0,2490362000000.0
2040.0,2462610600000.0,2363388300000.0,2548437000000.0,2315375300000.0,2305254800000.0,2272529700000.0,2277649400000.0,2478686900000.0,2637342400000.0,2548566300000.0,2500834600000.0,2478391400000.0,2228667300000.0,2250933500000.0,2507691300000.0,2255197600000.0,1896517300000.0,2372668800000.0,2459428200000.0
2041.0,2429493200000.0,2335983000000.0,2500673700000.0,2281408000000.0,2264578000000.0,2225284300000.0,2234785000000.0,2431587700000.0,2615032400000.0,2521961000000.0,2471060000000.0,2447593400000.0,2180267600000.0,2206220700000.0,2461371200000.0,2216531600000.0,1836415300000.0,2316062400000.0,2424523200000.0
2042.0,2405565000000.0,2301414600000.0,2460535000000.0,2238985500000.0,2225951200000.0,2181707100000.0,2203735300000.0,2408703900000.0,2586017000000.0,2470917400000.0,2434977500000.0,2405471400000.0,2132534000000.0,2176064000000.0,2422549800000.0,2172265700000.0,1776520500000.0,2284756400000.0,2381906200000.0
2043.0,2358640000000.0,2257547400000.0,2428268200000.0,2189534600000.0,2191357500000.0,2143194400000.0,2153510500000.0,2377930000000.0,2548542500000.0,2430454000000.0,2407883600000.0,2391388200000.0,2074121000000.0,2125022100000.0,2378468200000.0,2106657300000.0,1712998000000.0,2236962300000.0,2343953800000.0
2044.0,2307708200000.0,2215206200000.0,2411575400000.0,2148508900000.0,2144839000000.0,2093185800000.0,2098591000000.0,2347759000000.0,2529974300000.0,2386838200000.0,2374909800000.0,2363701000000.0,2024175600000.0,2080680000000.0,2297873800000.0,2054715300000.0,1647089400000.0,2188932000000.0,2305023500000.0
2045.0,2254939600000.0,2177554800000.0,2386419800000.0,2102218300000.0,2107960300000.0,2048129800000.0,2051853500000.0,2321852000000.0,2492335400000.0,2348573800000.0,2350455700000.0,2329083400000.0,1977399200000.0,2033616700000.0,2227754800000.0,1997956000000.0,1601614000000.0,2146990000000.0,2270982300000.0
