time,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
2020.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0
2021.0,7312042400000.0,7248686400000.0,7304087000000.0,7287283400000.0,7296290000000.0
2022.0,7301031000000.0,7158945500000.0,7310109000000.0,7275526000000.0,7288542000000.0
2023.0,7265954300000.0,7056883000000.0,7279380000000.0,7255119400000.0,7294429400000.0
2024.0,7253398000000.0,6921002700000.0,7250120000000.0,7234304600000.0,7295068000000.0
2025.0,7248087000000.0,6832325700000.0,7246129000000.0,7181450000000.0,7280831500000.0
2026.0,7229514000000.0,6712708000000.0,7229915000000.0,7178894000000.0,7263229000000.0
2027.0,7195489000000.0,6615778000000.0,7233850000000.0,7145574600000.0,7213321000000.0
2028.0,7157742300000.0,6499959600000.0,7161522000000.0,7130663000000.0,7180347500000.0
2029.0,7137705000000.0,6391004700000.0,7101619000000.0,7084633000000.0,7151274000000.0
2030.0,7137433500000.0,6242439300000.0,7062533700000.0,7071502000000.0,7130483500000.0
2031.0,7118368300000.0,6126840600000.0,7031174000000.0,7036123000000.0,7119607000000.0
2032.0,7106734000000.0,5987022000000.0,6934110400000.0,7032304000000.0,7121524500000.0
2033.0,7093599300000.0,5842857000000.0,6936478600000.0,7020820300000.0,7121777000000.0
2034.0,7043326000000.0,5689503600000.0,6894999000000.0,6976876600000.0,7070655000000.0
2035.0,7026613000000.0,5539267000000.0,6833478600000.0,6895479300000.0,7057112000000.0
2036.0,7017182300000.0,5433079600000.0,6809337000000.0,6828964000000.0,7067875000000.0
2037.0,6993810000000.0,5273240500000.0,6772923300000.0,6742941400000.0,7053476600000.0
2038.0,6979939500000.0,5148600000000.0,6674512000000.0,6668479400000.0,7044252000000.0
2039.0,6944110700000.0,5005216600000.0,6644373000000.0,6582441000000.0,7016112000000.0
2040.0,6921322500000.0,4874300000000.0,6576089000000.0,6526962500000.0,6997112500000.0
2041.0,6869498000000.0,4772552000000.0,6524343700000.0,6484166000000.0,6973637000000.0
2042.0,6822779000000.0,4663630000000.0,6483822000000.0,6452599000000.0,6951852300000.0
2043.0,6767796000000.0,4538387000000.0,6424281000000.0,6395039600000.0,6925175000000.0
2044.0,6757931000000.0,4407504000000.0,6368199000000.0,6366298000000.0,6920150700000.0
2045.0,6708470000000.0,4296224300000.0,6319378500000.0,6291868600000.0,6881692000000.0
2046.0,6651674400000.0,4179730400000.0,6280371500000.0,6266985400000.0,6854892000000.0
2047.0,6607008000000.0,4032070200000.0,6173387400000.0,6203429000000.0,6808738000000.0
2048.0,6560862400000.0,3921756800000.0,6108733000000.0,6088773000000.0,6763884600000.0
2049.0,6533187000000.0,3779206000000.0,6015896500000.0,5988465000000.0,6727575500000.0
2050.0,6502729400000.0,3630006500000.0,5925704300000.0,5957322500000.0,6701109500000.0
2051.0,6447442700000.0,3477175800000.0,5864953500000.0,5925149600000.0,6691000000000.0
2052.0,6404842700000.0,3350663800000.0,5783024600000.0,5887379400000.0,6628807500000.0
2053.0,6368449000000.0,3169377000000.0,5668801600000.0,5842212500000.0,6561437600000.0
2054.0,6297982000000.0,3001493500000.0,5596869000000.0,5762172000000.0,6500377000000.0
2055.0,6239935300000.0,2812942000000.0,5507665000000.0,5714465000000.0,6469612700000.0
2056.0,6217112500000.0,2616807400000.0,5422925000000.0,5620410400000.0,6450076000000.0
2057.0,6137171700000.0,2448443800000.0,5314065700000.0,5544240000000.0,6464424000000.0
2058.0,6058506500000.0,2278779300000.0,5188826000000.0,5484375400000.0,6423939000000.0
2059.0,6029585700000.0,2111538000000.0,5074032000000.0,5420644600000.0,6375277000000.0
2060.0,5983551000000.0,1938992400000.0,4990572700000.0,5303626600000.0,6342995000000.0
2061.0,5925893600000.0,1789076400000.0,4870024700000.0,5233079000000.0,6292130000000.0
2062.0,5855960400000.0,1668420900000.0,4800985000000.0,5175013000000.0,6249373000000.0
2063.0,5824844000000.0,1535020800000.0,4707630700000.0,5091125000000.0,6192640000000.0
2064.0,5785735700000.0,1417446400000.0,4634164300000.0,5004066000000.0,6156489600000.0
2065.0,5732828000000.0,1319618500000.0,4514122300000.0,4948888000000.0,6127761000000.0
2066.0,5694537300000.0,1215573300000.0,4409721000000.0,4876113300000.0,6064385000000.0
2067.0,5656152600000.0,1107888300000.0,4361282400000.0,4796736600000.0,6030682500000.0
2068.0,5602432500000.0,978207500000.0,4260088000000.0,4743331000000.0,5969574000000.0
2069.0,5554740000000.0,856807830000.0,4158177400000.0,4667370000000.0,5931673000000.0
2070.0,5499086000000.0,732875700000.0,4035726300000.0,4575799500000.0,5864996000000.0
2071.0,5444056600000.0,630393730000.0,3912699700000.0,4532572000000.0,5796094000000.0
2072.0,5391081500000.0,546813380000.0,3831300000000.0,4470382000000.0,5743081700000.0
2073.0,5346896000000.0,476549800000.0,3743747700000.0,4403910700000.0,5694085400000.0
2074.0,5308358300000.0,419306300000.0,3620162200000.0,4324238000000.0,5624206700000.0
2075.0,5264064400000.0,363632260000.0,3558285000000.0,4249498400000.0,5554914700000.0
2076.0,5219656000000.0,312837800000.0,3421948600000.0,4179652000000.0,5469108000000.0
2077.0,5158834500000.0,269343700000.0,3297738800000.0,4111156600000.0,5370432000000.0
2078.0,5112883300000.0,236005520000.0,3193038200000.0,4038923400000.0,5294006500000.0
2079.0,5083024600000.0,200719430000.0,3105710000000.0,3962261200000.0,5234173000000.0
2080.0,5052959000000.0,170700060000.0,2990040200000.0,3897548300000.0,5198495400000.0
2081.0,5011350000000.0,140240580000.0,2868577800000.0,3801412300000.0,5115259000000.0
2082.0,4965298300000.0,114334310000.0,2772816600000.0,3738959000000.0,5064490500000.0
2083.0,4930526000000.0,90303324000.0,2671948600000.0,3673481300000.0,4999637000000.0
2084.0,4887338300000.0,69430075000.0,2580036200000.0,3614492900000.0,4932874000000.0
2085.0,4828976600000.0,51999785000.0,2507374000000.0,3528707500000.0,4905377000000.0
2086.0,4755074600000.0,39527318000.0,2419248000000.0,3437988700000.0,4858037400000.0
2087.0,4707944000000.0,29377446000.0,2347318600000.0,3344959500000.0,4805502700000.0
2088.0,4640761400000.0,21477951000.0,2305244800000.0,3253125000000.0,4720152300000.0
2089.0,4588571700000.0,15966727000.0,2235847700000.0,3176904000000.0,4665486300000.0
2090.0,4492781000000.0,11881971000.0,2172753000000.0,3075599500000.0,4605059000000.0
2091.0,4421532500000.0,8170961000.0,2082498000000.0,3002531000000.0,4526484000000.0
2092.0,4362124400000.0,5341088000.0,2022203700000.0,2927291000000.0,4440482000000.0
2093.0,4311763400000.0,3521186300.0,1953462700000.0,2876345200000.0,4378328600000.0
2094.0,4266086400000.0,2389970200.0,1907123800000.0,2803799000000.0,4308582300000.0
2095.0,4225009500000.0,1357204700.0,1871057900000.0,2719053800000.0,4268831000000.0
2096.0,4178654800000.0,579655040.0,1828193800000.0,2648809100000.0,4194682500000.0
2097.0,4136407700000.0,321113470.0,1774758000000.0,2583040600000.0,4160616000000.0
2098.0,4064880600000.0,299175970.0,1712547000000.0,2501352600000.0,4113764700000.0
2099.0,4021727800000.0,279335000.0,1649950500000.0,2441997200000.0,4038594700000.0
2100.0,3960616300000.0,260578130.0,1607950800000.0,2387533400000.0,3999196800000.0
