time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
2020.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0
2021.0,7243614000000.0,7313333000000.0,7292127000000.0,7253340000000.0,7308422700000.0
2022.0,7176800700000.0,7300574600000.0,7276813000000.0,7219725000000.0,7289814000000.0
2023.0,7068002500000.0,7281172000000.0,7291773000000.0,7224834000000.0,7278001400000.0
2024.0,6947078000000.0,7269675000000.0,7250574000000.0,7186646000000.0,7272588000000.0
2025.0,6852134300000.0,7251918000000.0,7221944500000.0,7160717600000.0,7265295000000.0
2026.0,6727604000000.0,7198270300000.0,7184057000000.0,7139200300000.0,7237403000000.0
2027.0,6633220500000.0,7151517400000.0,7158495700000.0,7084809000000.0,7210806000000.0
2028.0,6570589600000.0,7101353600000.0,7121607300000.0,7033848300000.0,7186643700000.0
2029.0,6454374300000.0,7071568000000.0,7125721000000.0,7009613600000.0,7159432000000.0
2030.0,6342808000000.0,6991607000000.0,7106098400000.0,6991910500000.0,7144348300000.0
2031.0,6231728000000.0,6959424000000.0,7103501600000.0,6918809600000.0,7125420500000.0
2032.0,6099689000000.0,6927538000000.0,7078479400000.0,6877777000000.0,7052941300000.0
2033.0,6008937600000.0,6881368600000.0,7039557000000.0,6849625600000.0,7037765300000.0
2034.0,5919563300000.0,6799951000000.0,7040605400000.0,6833712000000.0,7023125000000.0
2035.0,5781641000000.0,6731520300000.0,7041505000000.0,6773286000000.0,6989736300000.0
2036.0,5711395000000.0,6662026400000.0,7022871300000.0,6736125000000.0,6965186000000.0
2037.0,5606829700000.0,6626953700000.0,7008360000000.0,6660359700000.0,6954650400000.0
2038.0,5477191000000.0,6583705700000.0,6998931000000.0,6598133500000.0,6945601000000.0
2039.0,5369057000000.0,6486881700000.0,6991349000000.0,6542006400000.0,6905814000000.0
2040.0,5208631000000.0,6402909000000.0,6960285500000.0,6518182000000.0,6901866700000.0
2041.0,5047844000000.0,6353292000000.0,6955515500000.0,6461415500000.0,6891186400000.0
2042.0,4880761000000.0,6331141500000.0,6947719000000.0,6361667000000.0,6880468000000.0
2043.0,4732674000000.0,6309012300000.0,6928754300000.0,6319461000000.0,6862417000000.0
2044.0,4568727400000.0,6240163000000.0,6862236000000.0,6276955000000.0,6835036000000.0
2045.0,4396912500000.0,6188359000000.0,6837182700000.0,6246939000000.0,6816490600000.0
2046.0,4238219700000.0,6111339500000.0,6822885300000.0,6185790500000.0,6792315000000.0
2047.0,4113707800000.0,6017423000000.0,6795765500000.0,6118462500000.0,6768290700000.0
2048.0,4029381000000.0,5922784000000.0,6746623400000.0,6100442700000.0,6755467000000.0
2049.0,3928933800000.0,5828063500000.0,6736308000000.0,6039270000000.0,6744590000000.0
2050.0,3796117200000.0,5739524400000.0,6747631000000.0,6031252000000.0,6731872600000.0
2051.0,3635964500000.0,5714385300000.0,6730165000000.0,5978343300000.0,6703760000000.0
2052.0,3512560500000.0,5602419400000.0,6698863000000.0,5922525000000.0,6686072400000.0
2053.0,3374586000000.0,5513870300000.0,6676457000000.0,5849800500000.0,6644197500000.0
2054.0,3201342600000.0,5430428300000.0,6653946000000.0,5776224000000.0,6620021500000.0
2055.0,3029826800000.0,5392246500000.0,6633568600000.0,5759921000000.0,6610211600000.0
2056.0,2858782800000.0,5312672000000.0,6604445000000.0,5756364000000.0,6562161600000.0
2057.0,2711313400000.0,5203990000000.0,6587693400000.0,5690418000000.0,6541842000000.0
2058.0,2567501000000.0,5116138000000.0,6569186600000.0,5601405000000.0,6531943000000.0
2059.0,2455554200000.0,5005084000000.0,6537160000000.0,5537386000000.0,6495006000000.0
2060.0,2325702000000.0,4913414000000.0,6489670400000.0,5501110000000.0,6492702400000.0
2061.0,2203111000000.0,4838427000000.0,6469616000000.0,5484958400000.0,6487567000000.0
2062.0,2068283500000.0,4764545300000.0,6451441400000.0,5461241000000.0,6466090600000.0
2063.0,1951025700000.0,4701346000000.0,6416794400000.0,5405439700000.0,6458215000000.0
2064.0,1817855800000.0,4597967000000.0,6402119000000.0,5383611000000.0,6432370000000.0
2065.0,1697580800000.0,4515816000000.0,6351962000000.0,5354976400000.0,6389259300000.0
2066.0,1598749000000.0,4410959700000.0,6326252000000.0,5297098000000.0,6318884700000.0
2067.0,1502560600000.0,4314091200000.0,6288906400000.0,5276016000000.0,6282810000000.0
2068.0,1377813700000.0,4237290000000.0,6236151000000.0,5216691300000.0,6266124500000.0
2069.0,1310319700000.0,4157439200000.0,6200248000000.0,5206200000000.0,6253117000000.0
2070.0,1236011300000.0,4058334000000.0,6176375300000.0,5146075000000.0,6214446000000.0
2071.0,1145610300000.0,3955175000000.0,6152455700000.0,5097963700000.0,6189678000000.0
2072.0,1046654350000.0,3893676700000.0,6137535500000.0,5012643600000.0,6188864000000.0
2073.0,941503400000.0,3790133500000.0,6120333600000.0,4949197500000.0,6174871700000.0
2074.0,849906200000.0,3736626300000.0,6096251000000.0,4920001400000.0,6168207000000.0
2075.0,760102600000.0,3692367700000.0,6044026000000.0,4863223700000.0,6161198000000.0
2076.0,688067200000.0,3629296600000.0,6026113300000.0,4830941700000.0,6137820000000.0
2077.0,617149500000.0,3571926400000.0,5973956600000.0,4757927000000.0,6108513600000.0
2078.0,552727150000.0,3527661800000.0,5940274300000.0,4715492000000.0,6096149000000.0
2079.0,499472760000.0,3448647700000.0,5895453000000.0,4659166000000.0,6072829500000.0
2080.0,450314670000.0,3383549800000.0,5889805000000.0,4584944000000.0,6061879000000.0
2081.0,409539800000.0,3341121000000.0,5874922000000.0,4542349000000.0,6044616500000.0
2082.0,379057440000.0,3294757400000.0,5834602000000.0,4486627600000.0,5988796600000.0
2083.0,350941540000.0,3253986400000.0,5770207000000.0,4459870600000.0,5957572600000.0
2084.0,319590730000.0,3216377600000.0,5734840000000.0,4410945000000.0,5924799400000.0
2085.0,295492650000.0,3187154600000.0,5698000000000.0,4379663700000.0,5892908500000.0
2086.0,267151000000.0,3143679000000.0,5676286300000.0,4351777600000.0,5866127400000.0
2087.0,247759900000.0,3077212000000.0,5646501500000.0,4287995600000.0,5843931000000.0
2088.0,226540780000.0,3037061700000.0,5616574700000.0,4241637200000.0,5814167300000.0
2089.0,207489990000.0,2987358400000.0,5597085300000.0,4197264400000.0,5799603600000.0
2090.0,186838270000.0,2963746600000.0,5546238000000.0,4160921800000.0,5786096000000.0
2091.0,170215060000.0,2915417200000.0,5513762300000.0,4123497000000.0,5751600300000.0
2092.0,156071540000.0,2892559000000.0,5484393300000.0,4080556300000.0,5722866700000.0
2093.0,139727010000.0,2870402000000.0,5445874400000.0,4026410700000.0,5706470700000.0
2094.0,125796510000.0,2832250400000.0,5445226300000.0,3979357500000.0,5680278000000.0
2095.0,110898690000.0,2806405000000.0,5444569400000.0,3946633500000.0,5661343600000.0
2096.0,95895410000.0,2760150600000.0,5409524000000.0,3916316300000.0,5638012300000.0
2097.0,84065570000.0,2705765000000.0,5392207700000.0,3870730000000.0,5640334000000.0
2098.0,74887140000.0,2675885500000.0,5367095000000.0,3837454200000.0,5615561000000.0
2099.0,66936440000.0,2642060800000.0,5345418700000.0,3820230800000.0,5601464700000.0
2100.0,58866442000.0,2602044000000.0,5312033000000.0,3783748000000.0,5584058300000.0
