time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2000.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0
2021.0,1079598800.0,1073736060.0,1081772300.0,1077767600.0,1086264300.0,1090515100.0
2022.0,1075294600.0,1064427100.0,1067589300.0,1067059400.0,1073348300.0,1073444000.0
2023.0,1055764860.0,1056912830.0,1056827200.0,1043102140.0,1053835700.0,1061026750.0
2024.0,1051570940.0,1033146700.0,1034173440.0,1024259260.0,1044796300.0,1044504200.0
2025.0,1044323840.0,1011326800.0,1031513800.0,1009695550.0,1024166600.0,1022675600.0
2026.0,1025563200.0,993814500.0,999701500.0,978714560.0,1011112300.0,1012646300.0
2027.0,1001064600.0,991876600.0,975409100.0,956020500.0,979836160.0,993384200.0
2028.0,980632700.0,957910100.0,959031200.0,941516800.0,967179300.0,966644860.0
2029.0,969351800.0,940786370.0,945931700.0,923128400.0,952211800.0,933782340.0
2030.0,974094100.0,917036740.0,926131460.0,905064400.0,934656000.0,922357100.0
2031.0,939494200.0,888401000.0,894294460.0,904311500.0,910757570.0,898142700.0
2032.0,923147200.0,912966800.0,868562200.0,872397900.0,892276700.0,892352960.0
2033.0,914389700.0,861749600.0,841659800.0,851560260.0,871367940.0,858688300.0
2034.0,890178700.0,839102600.0,820787260.0,836913900.0,867252000.0,841990100.0
2035.0,866161340.0,821053630.0,808681100.0,826101900.0,837607000.0,838797600.0
2036.0,849087000.0,804509200.0,781959500.0,797682600.0,816054850.0,798836000.0
2037.0,831431400.0,782502000.0,764152640.0,770532300.0,821703200.0,762032260.0
2038.0,811251300.0,759738700.0,743242300.0,757598500.0,800747970.0,746712800.0
2039.0,783797500.0,746973400.0,750631550.0,736852700.0,789894850.0,732988200.0
2040.0,768945340.0,755007700.0,729458900.0,721902460.0,769570300.0,719959230.0
2041.0,759139500.0,717849200.0,718811970.0,720550700.0,747932700.0,714064450.0
2042.0,740038460.0,702274100.0,690811650.0,689950500.0,735723460.0,687988400.0
2043.0,718051700.0,682177000.0,674698750.0,679271600.0,716895600.0,669354200.0
2044.0,701123650.0,668487400.0,654226560.0,658251650.0,696349400.0,649858750.0
2045.0,683630900.0,662341950.0,643227840.0,658082240.0,684254500.0,634554900.0
2046.0,661920200.0,638155650.0,642924200.0,628831600.0,666379800.0,614249540.0
2047.0,641781500.0,610480900.0,623024700.0,617024300.0,647412000.0,590738050.0
2048.0,624882600.0,602124800.0,602220300.0,610854800.0,627306430.0,575594940.0
2049.0,613905200.0,583186900.0,599223800.0,596214200.0,613942700.0,557725500.0
2050.0,595205000.0,577785150.0,598846000.0,579516700.0,603525600.0,555868540.0
2051.0,577907200.0,553833800.0,590122430.0,567469440.0,593737000.0,540876000.0
2052.0,557835460.0,536482080.0,600959740.0,551466600.0,583092400.0,520459650.0
2053.0,540013950.0,519218050.0,653633200.0,539026600.0,569036500.0,498495260.0
2054.0,521837340.0,504451260.0,568570600.0,545900540.0,551092600.0,511530050.0
2055.0,511804540.0,487122940.0,561721700.0,522399200.0,586878300.0,479400030.0
2056.0,503984000.0,474579620.0,571248300.0,567054400.0,536595500.0,473152700.0
2057.0,501192930.0,473476320.0,556700300.0,516585730.0,519218270.0,477288200.0
2058.0,488134800.0,487659070.0,546478200.0,509716670.0,499444500.0,446807230.0
2059.0,477730660.0,452801760.0,535099780.0,492061470.0,484288670.0,437749400.0
2060.0,464211550.0,429370430.0,525494850.0,484339460.0,487425470.0,428830820.0
2061.0,461665300.0,417703740.0,534860640.0,470103520.0,469660670.0,421525600.0
2062.0,453000930.0,407142660.0,522925700.0,463052220.0,457047420.0,417026600.0
2063.0,434871780.0,393155620.0,512489400.0,453485000.0,448847260.0,401726900.0
2064.0,427212350.0,413253730.0,505843550.0,441362530.0,434860130.0,397679840.0
2065.0,417752960.0,439492160.0,537162050.0,430825700.0,425282080.0,392250980.0
2066.0,417598270.0,401408300.0,501963140.0,426245440.0,414149540.0,392101060.0
2067.0,407175260.0,377295700.0,499362900.0,417589060.0,425630940.0,380806370.0
2068.0,425117150.0,370204830.0,504018940.0,407666200.0,464145300.0,373248540.0
