time,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0
2051.0,2000558300.0,1038573800.0,1954738300.0,1761674800.0,1500787700.0
2052.0,1943590900.0,977336260.0,1891905400.0,1697823500.0,1432665500.0
2053.0,1882058400.0,921437400.0,1828953600.0,1637098100.0,1389651600.0
2054.0,1849007500.0,871085250.0,1794426000.0,1586819200.0,1336666100.0
2055.0,1799065000.0,829984500.0,1742687000.0,1526067800.0,1288594800.0
2056.0,1774317700.0,772577300.0,1712365800.0,1461030000.0,1242974300.0
2057.0,1736614500.0,729554100.0,1672204200.0,1409162100.0,1218597000.0
2058.0,1740987500.0,675133760.0,1631806500.0,1342769400.0,1165397800.0
2059.0,1801350900.0,629570940.0,1592794500.0,1290127900.0,1154162800.0
2060.0,1656944000.0,599230660.0,1535121400.0,1241906800.0,1092429700.0
2061.0,1620403500.0,562436900.0,1503118200.0,1185099300.0,1055755700.0
2062.0,1598543000.0,525880600.0,1504986900.0,1142089000.0,1051418560.0
2063.0,1558668900.0,498096640.0,1657023200.0,1075084900.0,1024222200.0
2064.0,1535047200.0,461984500.0,1453106300.0,1009911040.0,987246500.0
2065.0,1485007500.0,438187940.0,1424303200.0,963752800.0,948060540.0
2066.0,1457947500.0,406606500.0,1382936200.0,927715300.0,929920450.0
2067.0,1425573000.0,373914530.0,1355677000.0,889238000.0,904457340.0
2068.0,1381383700.0,339036640.0,1325134300.0,858124500.0,1631551000.0
2069.0,1341833300.0,315037120.0,1309599000.0,818728700.0,899383940.0
2070.0,1299054200.0,284622620.0,1270472300.0,786653700.0,848582700.0
2071.0,1265015700.0,256657280.0,1245029500.0,754407740.0,820803200.0
2072.0,1221284100.0,233790740.0,1191477600.0,711147140.0,787951300.0
2073.0,1184476000.0,214365760.0,1158496900.0,669308500.0,755336060.0
2074.0,1139035500.0,191335040.0,1116672300.0,645831100.0,736349000.0
2075.0,1101291100.0,173085950.0,1089524600.0,607166800.0,706889500.0
2076.0,1065467400.0,158675780.0,1066379970.0,568200260.0,684762430.0
2077.0,1022448300.0,142203680.0,1055283140.0,541537660.0,662691260.0
2078.0,975094700.0,130535496.0,1024810400.0,509549400.0,648905700.0
2079.0,943549400.0,113185710.0,995281800.0,473469900.0,628530200.0
2080.0,907240600.0,98890130.0,979828200.0,446315070.0,612830100.0
2081.0,872956300.0,79891544.0,952483300.0,421582140.0,601363000.0
2082.0,838914050.0,68897890.0,920991170.0,392200960.0,1079766700.0
2083.0,800420600.0,59479730.0,884749200.0,361850940.0,589627900.0
2084.0,771660600.0,46825536.0,863515970.0,352324960.0,598813250.0
2085.0,752142460.0,41385810.0,840229760.0,329003840.0,576881200.0
2086.0,720839200.0,35105464.0,804098600.0,302953600.0,549039940.0
2087.0,704893200.0,28500750.0,785222400.0,285741920.0,534848500.0
2088.0,670937100.0,26000256.0,758852160.0,259352670.0,513348130.0
2089.0,629183500.0,20550374.0,726604160.0,243431120.0,489342100.0
2090.0,611044600.0,12491635.0,710544640.0,223385810.0,471070180.0
2091.0,589353900.0,8279212.5,689821400.0,204048560.0,457484200.0
2092.0,568366000.0,4165690.5,660393100.0,182623680.0,446669980.0
2093.0,540321150.0,2581247.0,623076160.0,167578380.0,433452320.0
2094.0,517084160.0,900775.9,593727940.0,154877800.0,421151700.0
2095.0,499504540.0,547680.25,568517100.0,143855470.0,405613020.0
2096.0,483087140.0,548012.8,554515900.0,122226880.0,875402100.0
2097.0,461971650.0,547333.3,536183580.0,106466590.0,398927420.0
2098.0,443477120.0,528532.25,519896320.0,96800440.0,379067230.0
2099.0,426525540.0,500886.56,501771460.0,82263480.0,374550400.0
2100.0,405165300.0,426011.2,478593950.0,67411870.0,358926660.0
