time,GFDL-ESM2G,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CCSM4,IPSL-CM5A-LR,GISS-E2-R,CANESM2,GFDL-CM3
2023.0,13785419000.0,13737938000.0,13784212000.0,13733809000.0,13831767000.0,13872189000.0,13944697000.0,13849327000.0,13808002000.0,13742628000.0
2024.0,13817616000.0,13694006000.0,13693537000.0,13829250000.0,13703010000.0,13735568000.0,13874203000.0,13741343000.0,13598112000.0,13555445000.0
2025.0,13725293000.0,13734034000.0,13581451000.0,13635328000.0,13577524000.0,13600751000.0,13679947000.0,13701381000.0,13510452000.0,13414698000.0
2026.0,13500816000.0,13431848000.0,13506711000.0,13560541000.0,13487668000.0,13664629000.0,13496445000.0,13505206000.0,13327983000.0,13193213000.0
2027.0,13623793000.0,13341683000.0,13380468000.0,13895567000.0,13700628000.0,13415972000.0,13324965000.0,13528890000.0,13239108000.0,13069963000.0
2028.0,13550142000.0,13119138000.0,13188347000.0,13534121000.0,13316088000.0,13256297000.0,13168780000.0,13292396000.0,13100363000.0,12857726000.0
2029.0,13416216000.0,13038730000.0,13201111000.0,13391342000.0,13153101000.0,13202407000.0,13051727000.0,13183656000.0,12909132000.0,12641606000.0
2030.0,13258132000.0,12966178000.0,12987761000.0,13166706000.0,13030038000.0,13021476000.0,12888266000.0,13035730000.0,12652540000.0,12450765000.0
2031.0,13166358000.0,12678242000.0,12845964000.0,13106328000.0,12792666000.0,12884737000.0,12727724000.0,12838852000.0,12353434000.0,12178685000.0
2032.0,13048833000.0,12574161000.0,12722934000.0,13046183000.0,12693523000.0,12720901000.0,12555836000.0,12679864000.0,12148041000.0,11827581000.0
2033.0,12893912000.0,12501047000.0,12480551000.0,12903149000.0,12469608000.0,12518154000.0,12302300000.0,12525820000.0,11973787000.0,11692632000.0
2034.0,12999448000.0,12297886000.0,12323073000.0,12724237000.0,12247420000.0,12331187000.0,12105322000.0,12243497000.0,11666258000.0,11303360000.0
2035.0,12859962000.0,12068082000.0,12058516000.0,12550461000.0,12036217000.0,12203286000.0,11916234000.0,12089494000.0,11470790000.0,11061234000.0
2036.0,12664763000.0,11816197000.0,11926304000.0,12383910000.0,11855036000.0,12131453000.0,11651440000.0,11930884000.0,11181457000.0,10825504000.0
2037.0,12467905000.0,11582503000.0,11717552000.0,12196113000.0,11701911000.0,11893702000.0,11427631000.0,11703487000.0,10873933000.0,10497653000.0
2038.0,12355586000.0,11390805000.0,11532835000.0,11942822000.0,11292480000.0,11776815000.0,11177626000.0,11526278000.0,10606928000.0,10157703000.0
2039.0,12166381000.0,11174073000.0,11351180000.0,11840981000.0,11052776000.0,11777410000.0,10881071000.0,11280427000.0,10224891000.0,9967639000.0
2040.0,12056426000.0,10950959000.0,11081934000.0,11604751000.0,10809568000.0,11540666000.0,10621146000.0,11170354000.0,10093182000.0,9676016000.0
2041.0,12041546000.0,10814889000.0,10907027000.0,11360458000.0,10560081000.0,11485768000.0,10310492000.0,10980493000.0,9847960000.0,9337290000.0
2042.0,12273202000.0,10505404000.0,10755994000.0,11129972000.0,10280318000.0,11291051000.0,9986618000.0,11204341000.0,9437751000.0,8904851000.0
2043.0,11971316000.0,10253076000.0,10623819000.0,10908207000.0,9988636000.0,11205949000.0,9695557000.0,10678585000.0,9175583000.0,8622171000.0
2044.0,11765218000.0,10042199000.0,10386161000.0,10662012000.0,9731863000.0,11130335000.0,9465117000.0,10659309000.0,8948896000.0,8311901700.0
2045.0,11599297000.0,9953140000.0,10200774000.0,10467003000.0,9413854000.0,10860662000.0,9135973000.0,10404262000.0,8685984000.0,7869704700.0
2046.0,11425255000.0,9788187000.0,10063305000.0,10200963000.0,9161119000.0,10627344000.0,8812375000.0,10291700000.0,8272553500.0,7617943600.0
2047.0,11297878000.0,9600461000.0,9873839000.0,9968712000.0,9229869000.0,10855674000.0,8605736000.0,9976302000.0,8084629500.0,7219897300.0
2048.0,11172985000.0,9434736000.0,9690018000.0,9709812000.0,8697519000.0,10285320000.0,8243691000.0,9793057000.0,7770633700.0,6961351700.0
2049.0,10887922000.0,9183089000.0,9914567000.0,9472853000.0,8439514600.0,10094363000.0,8016607700.0,9689191000.0,7434443000.0,6632282000.0
2050.0,10782056000.0,8962410000.0,9763528000.0,9177447000.0,7987250700.0,9936598000.0,7771261000.0,9498825000.0,7223719400.0,6306628000.0
2051.0,10639276000.0,8665099000.0,9325247000.0,8824537000.0,7786117600.0,9811083000.0,7491262000.0,9383566000.0,7057623000.0,6038110000.0
2052.0,10455888000.0,8447419000.0,9133730000.0,8425215500.0,7321870000.0,9598323000.0,7176792600.0,9204009000.0,6761336000.0,5786361000.0
2053.0,10316368000.0,8417577500.0,9019109000.0,8140748300.0,7031190500.0,9429985000.0,6825982000.0,8945138000.0,6430600000.0,5506198500.0
2054.0,10056682000.0,8003694600.0,8830516000.0,7836222500.0,6844408000.0,9237731000.0,6623053000.0,8758221000.0,6240474000.0,5268578000.0
2055.0,9886593000.0,8226188000.0,8645558000.0,7533413000.0,6597680600.0,9245002000.0,6561962500.0,8589546500.0,6027685400.0,4965910500.0
2056.0,9788109000.0,7828707300.0,8456840700.0,7324769300.0,6360338000.0,8965240000.0,6207419000.0,8429793000.0,5822571000.0,4713588000.0
2057.0,9508220000.0,7677657600.0,8288372700.0,7114487000.0,6033179000.0,8834438000.0,5917615600.0,8218859500.0,5585595000.0,4487569400.0
2058.0,9316061000.0,7441573400.0,8123098000.0,6857733600.0,5760078000.0,8715923000.0,6155735600.0,7993567000.0,5312370700.0,4322634000.0
2059.0,9140428000.0,7182613500.0,7858995700.0,6601385000.0,5566637000.0,8574934500.0,5613618700.0,7844082700.0,5115993600.0,4199609000.0
2060.0,9043094000.0,7134819000.0,7685966300.0,6251565600.0,5391372000.0,8510566400.0,5439875000.0,8077954600.0,4891716000.0,4033134000.0
2061.0,8788125000.0,6835562000.0,7479943000.0,6083547000.0,5278629000.0,8245424000.0,5320497000.0,7761389600.0,4762201600.0,3851284200.0
2062.0,8562774500.0,6670088000.0,7534069000.0,5803191000.0,5095147500.0,8192979000.0,5089145000.0,7512121300.0,4492582000.0,3754202400.0
2063.0,8381247500.0,6522725000.0,7221074000.0,5479315500.0,4935320600.0,7967414000.0,4857356300.0,7871937500.0,4335375000.0,3571133700.0
2064.0,8231484000.0,6289705500.0,7050720000.0,5281222000.0,4817228300.0,7836645000.0,4675949600.0,7304814000.0,4227008800.0,3392316000.0
2065.0,8021491700.0,6066259000.0,6834679300.0,5164044300.0,4648170000.0,7644587500.0,4588824000.0,7197730300.0,4086868700.0,3257142000.0
2066.0,7874368500.0,5962786300.0,6726252000.0,4954743300.0,4534550500.0,7498792000.0,4440908300.0,7135935000.0,3989617200.0,3149884000.0
2067.0,7652106000.0,5693209600.0,6600929300.0,4721105000.0,4414475300.0,7331670000.0,4310777300.0,7181907000.0,3893679000.0,3035142100.0
2068.0,7333496000.0,5548282400.0,6666643500.0,4513005600.0,4351950300.0,7221929000.0,4227596000.0,6930695700.0,3779317200.0,2942406000.0
2069.0,7079010000.0,5406334500.0,6355744000.0,4346361000.0,4326735000.0,7084087300.0,4139270700.0,6858002400.0,3515246800.0,2801962200.0
2070.0,7005614600.0,5207796000.0,6278713000.0,4189888300.0,4126105000.0,6924873000.0,4053997000.0,6828812300.0,3380184300.0,2695713000.0
2071.0,6798511600.0,5094636000.0,6098175500.0,4099277600.0,4031221000.0,6745968600.0,3929198600.0,6779694600.0,3284131800.0,2592472000.0
2072.0,6597615000.0,4887815700.0,5879617500.0,3887350500.0,3931949600.0,6566400500.0,3795707600.0,6620740000.0,3145245400.0,2481377800.0
2073.0,6425384000.0,4777857500.0,6522390000.0,3729181200.0,3861183200.0,6409509000.0,3689387300.0,6527133000.0,3023417600.0,2374042600.0
2074.0,6447310000.0,4685008000.0,5987490000.0,3572729600.0,3818625500.0,6285339600.0,3558958300.0,6362908000.0,2887277600.0,2266721500.0
2075.0,6490017000.0,4522278000.0,5768516000.0,3398492000.0,3705115000.0,6101612500.0,3441772500.0,6280971000.0,2748577000.0,2174311700.0
2076.0,6009451000.0,4334487000.0,6376335000.0,3335490600.0,3726672100.0,5905134600.0,3967318300.0,6256974000.0,2644494000.0,2106435700.0
2077.0,5871999500.0,4142978300.0,6285803000.0,3178926300.0,3587735800.0,5815345000.0,3324909000.0,6122402300.0,2545636000.0,2031882900.0
2078.0,5850902000.0,4083563800.0,5644582000.0,3050977000.0,3450945800.0,5686450700.0,3216556300.0,6100503000.0,2434514000.0,1909420300.0
2079.0,5580282000.0,4675842600.0,5514115000.0,2940686300.0,3343779000.0,5556038700.0,3074254600.0,6130769000.0,2338175000.0,2032930600.0
2080.0,5356214300.0,4009383700.0,5365657600.0,2853974800.0,3212649700.0,5438235600.0,2984840400.0,5880587300.0,2249175300.0,1787068900.0
2081.0,5180607000.0,4396340000.0,5229705000.0,2827201500.0,3079811300.0,5227782700.0,2895696400.0,6236634000.0,2216504800.0,1677622500.0
2082.0,5081870300.0,3825029000.0,5271307300.0,2702513400.0,3023223800.0,5126651400.0,2819060200.0,5797197300.0,2113894800.0,1569988500.0
2083.0,5044022000.0,3843410700.0,5171328000.0,2628367600.0,3001634600.0,5065462000.0,2751701800.0,5657878000.0,2060159900.0,1484397000.0
2084.0,4992832000.0,3684152000.0,4999273500.0,2515683000.0,2920059400.0,5215087600.0,2671206400.0,5786637000.0,2033914500.0,1431551000.0
2085.0,4779484000.0,3790130200.0,4894047700.0,2558469400.0,2977535200.0,4870579000.0,2563684400.0,5619595000.0,1903502800.0,1365856100.0
2086.0,4654613500.0,3572886800.0,4818771000.0,2333792300.0,2774270700.0,4768823000.0,2490461200.0,5471491000.0,1758995300.0,1293569300.0
2087.0,4632589000.0,3444297700.0,4754666000.0,2214852000.0,2666456000.0,4646978000.0,2422064400.0,5390403000.0,1665907000.0,1212580500.0
2088.0,4461975600.0,3324318700.0,4678127000.0,2133258900.0,2607638300.0,4558533600.0,2341960400.0,5294081500.0,1590120400.0,1169054200.0
2089.0,4384426500.0,3237949700.0,4709200000.0,2067239200.0,2556513300.0,4471924000.0,2258312000.0,5197965300.0,1461333800.0,1141024800.0
2090.0,4322569700.0,3256747800.0,4593716700.0,1972532400.0,2569647000.0,4550817300.0,2176739800.0,5124567600.0,1391213700.0,1096513200.0
2091.0,4201906400.0,3113301200.0,4500555000.0,1883437200.0,2416551400.0,4333947400.0,2049339000.0,5434912300.0,1309948000.0,1016027900.0
2092.0,4116351000.0,3044771800.0,4990100500.0,1807389800.0,2346732300.0,4246291200.0,1996037600.0,5107426000.0,1246283500.0,978554800.0
2093.0,4199129000.0,2939051300.0,4442855400.0,1720363100.0,2344974800.0,4152287700.0,1943290200.0,5027478500.0,1202529500.0,931903200.0
2094.0,3962687000.0,2815484400.0,4439672000.0,2001744800.0,2266731800.0,4116388900.0,1899531800.0,5083852300.0,1139277800.0,900525500.0
2095.0,3861524200.0,2798111200.0,4699310000.0,1603991900.0,2166322400.0,3941811000.0,1938610300.0,5140414500.0,1097656000.0,850318300.0
2096.0,3778128600.0,2631696400.0,4709905400.0,1512494500.0,2101484700.0,3839761000.0,1805483300.0,4909658000.0,1072074400.0,835914000.0
2097.0,3691141000.0,2485992400.0,4363403300.0,1428338700.0,1959267500.0,3727673600.0,1735587700.0,5260581400.0,1017129900.0,767387600.0
2098.0,3843215000.0,2519223600.0,4292556300.0,1370951200.0,1866483300.0,3845448700.0,1664628200.0,4849632000.0,1028247230.0,746424960.0
2099.0,3557425000.0,2349816800.0,4523849700.0,1347980500.0,1800285200.0,3636766200.0,1608743000.0,4745108000.0,963705700.0,723457900.0
2100.0,3472895200.0,2297192700.0,4184938800.0,1339052500.0,1755867500.0,3471026200.0,1579353300.0,4702417000.0,935758100.0,693080600.0
