time,CCSM4,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,CANESM2,IPSL-CM5A-LR
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
2012.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0
2013.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0
2014.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0
2015.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0
2016.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0
2017.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0
2018.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0
2019.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0
2020.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0
2021.0,13997864000.0,14071443000.0,13963480000.0,14577633000.0,13944180000.0,14003061000.0,13946853000.0,14041475000.0,13976309000.0,13946577000.0
2022.0,13918509000.0,13907614000.0,13890876000.0,14086742000.0,13866815000.0,14044891000.0,13815370000.0,13976400000.0,13916114000.0,13904682000.0
