time,MPI-ESM-LR,GISS-E2-R,CANESM2,IPSL-CM5A-LR,CCSM4,CESM1-CAM5,GFDL-CM3,CNRM-CM5,NORESM1-M,GFDL-ESM2G,CSIRO-MK3-6-0
2070.0,35096424000.0,25549294000.0,14681981000.0,15172342000.0,17205643000.0,15441919000.0,3552419000.0,20539060000.0,16478896000.0,34474537000.0,10070876000.0
2071.0,35154110000.0,23743031000.0,14225780000.0,14968517000.0,16704071000.0,14793288000.0,3508400600.0,20488567000.0,15851525000.0,33633657000.0,9005326000.0
2072.0,33888807000.0,23012764000.0,13944821000.0,14586139000.0,15820824000.0,14021416000.0,3151920000.0,19579090000.0,15671065000.0,33367405000.0,8667860000.0
2073.0,33650172000.0,22669937000.0,13569905000.0,14048723000.0,15256497000.0,13659727000.0,2933260000.0,18656897000.0,15258670000.0,32910365000.0,8303876600.0
2074.0,33215734000.0,22098846000.0,12746229000.0,13450743000.0,15163304000.0,13309977000.0,2808154000.0,18304727000.0,14799883000.0,32656695000.0,7606108000.0
2075.0,31644787000.0,21920838000.0,12500127000.0,12999003000.0,14703869000.0,12549561000.0,2779902000.0,18152677000.0,14723208000.0,32166457000.0,7399223000.0
2076.0,31483533000.0,20809714000.0,11501616000.0,12462302000.0,14118519000.0,11727202000.0,2648497400.0,17394627000.0,14263008000.0,31965520000.0,7578950000.0
2077.0,32024621000.0,20385080000.0,11341245000.0,12249553000.0,13905354000.0,11582271000.0,2708869000.0,17148134000.0,14293497000.0,32422680000.0,7625505300.0
2078.0,31219702000.0,20112001000.0,11300901000.0,12126903000.0,13959427000.0,11550215000.0,2599901400.0,17226040000.0,14146058000.0,32498710000.0,7672312300.0
2079.0,30540982000.0,20727906000.0,11140147000.0,12108235000.0,13717468000.0,10742295000.0,2437103000.0,17520142000.0,14375297000.0,33377667000.0,7095976000.0
2080.0,31284908000.0,20448512000.0,10352598000.0,12303260000.0,12932863000.0,11101991000.0,2312299500.0,17165412000.0,14205437000.0,32771030000.0,7160118000.0
2081.0,30364557000.0,19867515000.0,10263244000.0,12277057000.0,13202142000.0,10639916000.0,2238758000.0,17234807000.0,14023706000.0,32758817000.0,6877991000.0
2082.0,29353390000.0,19039425000.0,9850181000.0,11602993000.0,13116879000.0,10949288000.0,2151538200.0,16496655000.0,13721916000.0,32749042000.0,6534295600.0
2083.0,29045700000.0,19104485000.0,9317019000.0,11176549000.0,13024103000.0,11376615000.0,2248711200.0,16838257000.0,13652538000.0,32003144000.0,6216457000.0
2084.0,28723397000.0,19124599000.0,8849792000.0,11222880000.0,13316064000.0,11161557000.0,2215551500.0,16919003000.0,13635228000.0,31801958000.0,6368850000.0
2085.0,28909370000.0,18468810000.0,8887299000.0,10944498000.0,13231061000.0,10700568000.0,2239815700.0,16653408000.0,13353501000.0,32013187000.0,6153789400.0
2086.0,28480700000.0,18260540000.0,8562072000.0,10824544000.0,13142124000.0,11369310000.0,2244583000.0,16651833000.0,13322395000.0,32437993000.0,5736932400.0
2087.0,26838378000.0,18875350000.0,8272420400.0,10517134000.0,12813026000.0,11176326000.0,2225764000.0,16275155000.0,13144942000.0,31064705000.0,5401714000.0
2088.0,26764495000.0,19069684000.0,8017843000.0,10329791000.0,12551728000.0,11228348000.0,2187811000.0,15538997000.0,12267881000.0,30610205000.0,5105208300.0
2089.0,25052772000.0,18944147000.0,8052038700.0,10157336000.0,12618826000.0,10576151000.0,2215533800.0,15282227000.0,12131171000.0,30591451000.0,5022573000.0
2090.0,24224422000.0,19347520000.0,8137499600.0,10064900000.0,12454962000.0,10738216000.0,2238674200.0,15276600000.0,11969485000.0,31308106000.0,4747828000.0
2091.0,23429780000.0,18392916000.0,8424177000.0,10837243000.0,12547750000.0,10166837000.0,2163895300.0,15189004000.0,12251749000.0,31792611000.0,4333798000.0
2092.0,21947677000.0,17840680000.0,8328862700.0,10674333000.0,12326648000.0,9617077000.0,2193313000.0,15546824000.0,12113422000.0,30290674000.0,4583238000.0
2093.0,20582554000.0,17268093000.0,7716088300.0,10551419000.0,12441973000.0,9634703000.0,2226220300.0,15072993000.0,11577530000.0,29446664000.0,4492103000.0
2094.0,20299133000.0,16930629000.0,7726651400.0,10081550000.0,12578720000.0,9762682000.0,2132911500.0,14273880000.0,11345288000.0,29451794000.0,4610217000.0
2095.0,19708994000.0,16750962000.0,7615587300.0,10097290000.0,12729169000.0,9734702000.0,2212142000.0,13408227000.0,11143755000.0,29909600000.0,4554428000.0
2096.0,19720577000.0,16848155000.0,7456473600.0,9513665000.0,12580114000.0,9246743000.0,2250725600.0,13166210000.0,10876174000.0,30082927000.0,4245285400.0
2097.0,19235887000.0,16990895000.0,7250424000.0,8745813000.0,12048524000.0,8976724000.0,2291154700.0,12940936000.0,10357134000.0,30910036000.0,4033694700.0
2098.0,18390830000.0,16937624000.0,6981879000.0,9070509000.0,11739538000.0,8555519000.0,2251917000.0,13181858000.0,10228947000.0,31134435000.0,4033580500.0
2099.0,18462996000.0,16878630000.0,7010610000.0,8952382000.0,12084053000.0,8355774000.0,2248665900.0,13087156000.0,10550650000.0,30656380000.0,3760463600.0
2100.0,17014001000.0,17085179000.0,7102505000.0,8469073400.0,11597040000.0,8260927500.0,2185429200.0,13244500000.0,10257475000.0,31613553000.0,3490060500.0
