time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2045.0,140068237569000.0,135083169242000.0,132345424945000.0,140375710213000.0,138417028043000.0,136594134328000.0,136775440147000.0,140035913851000.0
2046.0,139732906687000.0,134467125443000.0,131548685868000.0,140094392833000.0,137825912753000.0,135849286472000.0,136109964040000.0,139495364646000.0
2047.0,139265966829000.0,133784513614000.0,130503195252000.0,139797304776000.0,137240071386000.0,135019551816000.0,135594171518000.0,138914468672000.0
2048.0,138761041380000.0,133112770408000.0,129674068004000.0,139337424668000.0,136657436630000.0,134310446142000.0,134817476284000.0,138404636720000.0
2049.0,138150249117000.0,132248523667000.0,128999771311000.0,138990157963000.0,135888236480000.0,133675406107000.0,134239734023000.0,137903524309000.0
2050.0,137630332361000.0,131641191269000.0,127915384617000.0,138544931848000.0,135227216430000.0,132889395766000.0,133599848939000.0,137455113303000.0
2051.0,137151559083000.0,130958909962000.0,126815601818000.0,138228219353000.0,134611904452000.0,132193934706000.0,132898448915000.0,136945718461000.0
2052.0,136812106736000.0,130334686311000.0,125813273629000.0,137878028770000.0,133952554238000.0,131441530524000.0,132297803549000.0,136280803718000.0
2053.0,136238210385000.0,129421677756000.0,124734170795000.0,137416657065000.0,133389903397000.0,130669183708000.0,131532327238000.0,135669355690000.0
2054.0,135618705086000.0,128575956057000.0,124003451401000.0,137016623383000.0,132619592807000.0,129934292243000.0,130975985037000.0,135073256704000.0
2055.0,135202047566000.0,127742091386000.0,123120916040000.0,136680950555000.0,131912029230000.0,129220042317000.0,130138433896000.0,134458643207000.0
2056.0,134867089532000.0,126801781103000.0,122173338474000.0,136209908186000.0,131218190527000.0,128379014402000.0,129324025821000.0,133925209676000.0
2057.0,134332373671000.0,126064959794000.0,121163818344000.0,135806415631000.0,130540726551000.0,127703092567000.0,128374919398000.0,133399783316000.0
2058.0,133731261661000.0,125369901370000.0,120321279488000.0,135281327472000.0,129913205090000.0,127069670107000.0,127726222420000.0,132778224701000.0
2059.0,133282405614000.0,124471835315000.0,119165309964000.0,134774662154000.0,129191097213000.0,126234510683000.0,127043238503000.0,132264493495000.0
2060.0,132911324044000.0,123778433709000.0,117712106819000.0,134334576970000.0,128623955398000.0,125138871816000.0,126378883937000.0,131698212183000.0
2061.0,132469869024000.0,123066948140000.0,116668150516000.0,133975988825000.0,127883205136000.0,124332762562000.0,125570445861000.0,130928436900000.0
2062.0,131834015400000.0,122424882778000.0,115611819292000.0,133458885673000.0,127033428044000.0,123732312137000.0,124822037011000.0,130366210774000.0
2063.0,131137042441000.0,121569185192000.0,114618136333000.0,132881588690000.0,126255448318000.0,122738441753000.0,124066695870000.0,129812949046000.0
2064.0,130765081394000.0,120859295236000.0,113437129586000.0,132501544232000.0,125513438455000.0,121827689973000.0,123284492789000.0,129184181932000.0
2065.0,130225110149000.0,119979690632000.0,112187961433000.0,132075394334000.0,124770810707000.0,121111969757000.0,122582634741000.0,128648135836000.0
2066.0,129869220531000.0,119457740212000.0,110793068877000.0,131484061437000.0,124129028078000.0,120371271239000.0,121739718054000.0,127927003020000.0
2067.0,129373792613000.0,118684182700000.0,109519837165000.0,131121687487000.0,123514712607000.0,119440524686000.0,120877051980000.0,127272657983000.0
2068.0,128929964431000.0,117966619928700.0,108378092003000.0,130595384767000.0,122749222625000.0,118771331395000.0,120084477048000.0,126699784557000.0
2069.0,128372950923000.0,117277122836000.0,107141800203000.0,129982443854000.0,121957012380000.0,118000054612000.0,119338079389000.0,126130976861000.0
2070.0,127724120275000.0,116455205326400.0,105934043348000.0,129438559166000.0,121119036826000.0,117226497551000.0,118606776214000.0,125332721584000.0
2071.0,127143222116000.0,115773693841300.0,104787381818000.0,128914202899000.0,120346525960000.0,116375399657000.0,117601171930000.0,124623714197000.0
2072.0,126717736157000.0,115047566696300.0,103522154564000.0,128519988587000.0,119590047500000.0,115470673321000.0,116794201396000.0,124012945794000.0
2073.0,126262841285000.0,114125627937600.0,102445696102000.0,127779560045000.0,118747695762000.0,114618774339000.0,116152398941000.0,123443724811000.0
2074.0,125945909248000.0,113099209258700.0,101329838220000.0,127179829363000.0,117874093635000.0,113773893825000.0,115215310753000.0,122839948742000.0
2075.0,125490699848000.0,112237562851500.0,100107289618000.0,126708887656000.0,116943489091000.0,112922302354000.0,114421742236000.0,121969505141000.0
2076.0,125032085779000.0,111523680554700.0,98848531247000.0,126084115793000.0,116026494175000.0,112109370157000.0,113430085857000.0,121220583851000.0
2077.0,124358801691000.0,110701161946500.0,97419376680000.0,125391959654000.0,115110756334000.0,111425849905000.0,112542582484000.0,120565069782000.0
2078.0,123783859031000.0,109912044251300.0,96254777544000.0,124891475067000.0,114241111258000.0,110825197997000.0,111732646496000.0,119719816359000.0
2079.0,123206977977000.0,109153155137000.0,95056365583000.0,124402446644000.0,113363844491000.0,109880485268000.0,111122725761000.0,118836417200700.0
2080.0,122916775934000.0,108414246310800.0,93727943610000.0,123999414314000.0,112644061951000.0,109012189092000.0,110283446470000.0,117975513534000.0
2081.0,122333193988000.0,107694321091900.0,92451464267000.0,123508933317000.0,112034702198000.0,108368450734000.0,109485979311000.0,117076228200000.0
2082.0,121725639892000.0,106881995755400.0,91197729293000.0,122984317368000.0,111020504641000.0,107530915217000.0,108737102229000.0,116251582233400.0
2083.0,121342573268000.0,106007119292000.0,89899903247000.0,122479327771000.0,110163570943000.0,106768283778000.0,107881959615000.0,115423426575300.0
2084.0,120895263890000.0,105108605501100.0,88460492754000.0,122097015898000.0,109195892159000.0,106056780540000.0,106838757433000.0,114733036964000.0
2085.0,120447578532000.0,104144613427700.0,87163373488000.0,121603944327000.0,108314925558000.0,105217161909000.0,105892781497000.0,113894272532600.0
2086.0,119853073997000.0,103361032030500.0,85881936904000.0,121183632342000.0,107597393718000.0,104497909665600.0,104915614982000.0,113034550843700.0
2087.0,119382596074000.0,102572970232900.0,84461846434000.0,120593420477000.0,106685717610000.0,103635536700500.0,104211900116000.0,112126634526600.0
2088.0,118772465305000.0,101848957591200.0,82995798416000.0,120034681705000.0,105727412753000.0,102873156408500.0,103453959084000.0,111289044458400.0
2089.0,118420412600000.0,100976502602400.0,81674398407300.0,119558102498000.0,104859939271000.0,102242619038500.0,102565489900000.0,110353708517900.0
2090.0,117905253351000.0,100253222336100.0,80585565286000.0,119152135343000.0,103942774258000.0,101458791358800.0,101666731020300.0,109365967499300.0
2091.0,117297120748000.0,99387187480500.0,79196485014600.0,118619919894000.0,102863314693000.0,100655930624400.0,100716962288400.0,108326132213300.0
2092.0,116802271358000.0,98422429926400.0,77953894208700.0,118117485601000.0,101880642463000.0,99854173800700.0,99675086830600.0,107498585740000.0
2093.0,116282114922000.0,97632031723600.0,76782535425400.0,117617504503000.0,100896001408000.0,99227966086500.0,98707778428500.0,106602341229500.0
2094.0,115717869380000.0,96787280940700.0,75622607174700.0,117186701008000.0,99851818981000.0,98489142005200.0,97806599996700.0,105682985694300.0
2095.0,115236656954000.0,96092339259300.0,74350974775100.0,116811537265000.0,99009751343000.0,97706144444500.0,96901351054700.0,104947847357400.0
2096.0,114763136197000.0,95363774037900.0,73252152142200.0,116389908966000.0,98051954866000.0,97029065010300.0,96071146778300.0,104147586900000.0
2097.0,114344324842000.0,94634627949000.0,71946299771100.0,115761638445000.0,97107879353000.0,96425951144200.0,95111031574300.0,103338341246400.0
2098.0,113836666159000.0,93900568275900.0,70593921305000.0,115201532362000.0,96102915332000.0,95804743219400.0,94278815161000.0,102216075160100.0
2099.0,113174977218000.0,93178349861300.0,69371589247500.0,114639979471000.0,95280888004000.0,95036470599500.0,93511084601600.0,101334503219500.0
2100.0,112814206804000.0,92474075874600.0,68020688503400.0,114097666570000.0,94445166918000.0,94416805074100.0,92660239220000.0,100491436483500.0
