time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0
2057.0,786139900.0,757317760.0,757386200.0,1000936000.0,757869250.0,765380540.0,1060002200.0,586432450.0,948520300.0,604400700.0,797309900.0,870334700.0,1100778100.0,1198001500.0
2058.0,758987300.0,729915800.0,743757600.0,960346000.0,737586100.0,741746400.0,1026219400.0,571108800.0,919490240.0,576765500.0,784147140.0,839369150.0,1085482000.0,1188348900.0
2059.0,732506700.0,703982200.0,736143200.0,953833660.0,713540160.0,720226300.0,980294340.0,556474600.0,877503600.0,551564350.0,757511000.0,814990460.0,1067757250.0,1166403000.0
2060.0,710869760.0,686344900.0,725782100.0,924182460.0,698235100.0,691831740.0,951880600.0,536642940.0,842591400.0,533298750.0,734112100.0,784338560.0,1051033100.0,1142885100.0
2061.0,679509800.0,657208400.0,711054800.0,884861000.0,687534300.0,670383300.0,936652600.0,520048800.0,824659400.0,511105300.0,709605100.0,746616800.0,1027607740.0,1131795800.0
2062.0,667205700.0,641087550.0,701287000.0,858318460.0,673424400.0,646352800.0,909758900.0,494924320.0,814554300.0,498264800.0,694109200.0,731039000.0,1007110000.0,1119950000.0
2063.0,658603600.0,658187840.0,695230660.0,841787400.0,659572540.0,617002560.0,885639800.0,480946530.0,806226050.0,481321700.0,669373200.0,707316160.0,980251700.0,1100254300.0
2064.0,638101600.0,624482600.0,679601500.0,820914000.0,645676160.0,584707700.0,872202300.0,465449340.0,784171800.0,470854820.0,660553600.0,673277760.0,960327000.0,1096215400.0
2065.0,621731400.0,612256300.0,669028030.0,791069950.0,628894340.0,556144830.0,851877800.0,457053250.0,763570100.0,457831000.0,653391170.0,647272200.0,944098200.0,1089185400.0
2066.0,600765400.0,601707700.0,660011600.0,784134500.0,609046460.0,523845000.0,836310800.0,445462980.0,747977660.0,443709470.0,649846660.0,626574100.0,922079940.0,1064934700.0
2067.0,583222400.0,588900700.0,648359040.0,767251100.0,599985200.0,505816740.0,815253250.0,449811460.0,726633150.0,431479650.0,741832260.0,590545200.0,892690370.0,1045984900.0
2068.0,572124000.0,581276000.0,639642800.0,751668740.0,589326900.0,492009800.0,795509900.0,441266430.0,713642240.0,420470530.0,687562240.0,571143940.0,869425540.0,1038017000.0
2069.0,558957700.0,574317500.0,625307970.0,734836400.0,574498200.0,478577100.0,782137200.0,425403800.0,708901950.0,409603170.0,679452400.0,553482430.0,848957440.0,1030346600.0
2070.0,544309250.0,559800500.0,607230500.0,722404160.0,555591400.0,473059330.0,767879800.0,430310820.0,705500000.0,400612580.0,659255000.0,539193340.0,831452860.0,1027163460.0
