time,GFDL-ESM2G,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0,IPSL-CM5A-LR,CCSM4,NORESM1-M
2000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0
2001.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0
2002.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0
2003.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0
2004.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0
2005.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0
2006.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0
2007.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0
2008.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0
2009.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0
2010.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0
2011.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0
2012.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0
2013.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0
2014.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0
2015.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0
2016.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0
2017.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0
2018.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0
2019.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0
2020.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0
2021.0,44323425000000.0,44413470000000.0,44341423000000.0,44257690000000.0,44295100000000.0,44240067000000.0,44329037000000.0,44326508000000.0
2022.0,44293350000000.0,44431076000000.0,44277660000000.0,44248350000000.0,44281104000000.0,44200733000000.0,44266085000000.0,44311120000000.0
2023.0,44265367000000.0,44438870000000.0,44195784000000.0,44102704000000.0,44282700000000.0,44154583000000.0,44114300000000.0,44243972000000.0
2024.0,44211130000000.0,44431720000000.0,44069630000000.0,44082005000000.0,44224825000000.0,44080740000000.0,44117334000000.0,44197646000000.0
2025.0,44225693000000.0,44392840000000.0,43909745000000.0,44086400000000.0,44212456000000.0,43924513000000.0,44032395000000.0,44180567000000.0
2026.0,44171943000000.0,44426706000000.0,43808900000000.0,44037105000000.0,44100833000000.0,43652265000000.0,43935204000000.0,44057523000000.0
2027.0,44168466000000.0,44496897000000.0,43728180000000.0,43904292000000.0,44028370000000.0,43411120000000.0,43867387000000.0,43985444000000.0
2028.0,44142357000000.0,44573984000000.0,43721375000000.0,43837934000000.0,43866586000000.0,43257774000000.0,43774424000000.0,43925770000000.0
2029.0,44181420000000.0,44601688000000.0,43652953000000.0,43691364000000.0,43708494000000.0,43233080000000.0,43714357000000.0,43781070000000.0
2030.0,44163250000000.0,44640456000000.0,43638495000000.0,43560166000000.0,43657575000000.0,43112270000000.0,43557850000000.0,43585966000000.0
2031.0,44124254000000.0,44714628000000.0,43563360000000.0,43451220000000.0,43574863000000.0,43106326000000.0,43455160000000.0,43555660000000.0
2032.0,44034700000000.0,44710540000000.0,43502323000000.0,43434710000000.0,43467170000000.0,43068760000000.0,43430432000000.0,43514070000000.0
