time,CSIRO-MK3-6-0,IPSL-CM5A-LR,CANESM2,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CCSM4,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2000.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0
2001.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0
2002.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0
2003.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0
2004.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0
2005.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0
2006.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0
2007.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0
2008.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0
2009.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0
2010.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0
2011.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0
2012.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0
2013.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0
2014.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0
2015.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0
2016.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0
2017.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0
2018.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0
2019.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0
2020.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0
2021.0,1092346100.0,1092171800.0,1095896300.0,1090150500.0,1095147000.0,1093438100.0,1093773300.0,1096497700.0,1098004600.0,1105186400.0,1115607000.0
2022.0,1101774600.0,1086984000.0,1078274700.0,1083556500.0,1171529600.0,1083244500.0,1084458000.0,1081890300.0,1086304300.0,1091307600.0,1145475300.0
2023.0,1078653200.0,1079166300.0,1066267300.0,1140377000.0,1105321900.0,1069960450.0,1068760200.0,1057616830.0,1116776400.0,1077511400.0,1108596100.0
2024.0,1070731300.0,1065486460.0,1037930200.0,1110401700.0,1078426900.0,1055960300.0,1048301950.0,1038813200.0,1148633900.0,1056697400.0,1096228100.0
2025.0,1093653900.0,1058762750.0,1028076200.0,1143462300.0,1071623040.0,1086089300.0,1038375400.0,1020183740.0,1170824800.0,1036715800.0,1090942800.0
2026.0,1063514100.0,1057699600.0,1023810050.0,1105787900.0,1064340000.0,1042072960.0,1033457700.0,1000179100.0,1138148400.0,1025672060.0,1077068700.0
2027.0,1046568450.0,1059227000.0,1011306240.0,1087320700.0,1086687600.0,1029225860.0,1016503000.0,977595460.0,1116710900.0,1034827460.0,1065381950.0
2028.0,1031354900.0,1041268160.0,997517700.0,1120676000.0,1050321100.0,1009559500.0,997929700.0,969084800.0,1102349200.0,1010506560.0,1051414300.0
2029.0,1012706100.0,1030385540.0,976509700.0,1080225200.0,1041973800.0,992920400.0,977533000.0,947038100.0,1097774200.0,988678400.0,1035842800.0
2030.0,999718100.0,1025766400.0,962402500.0,1073446400.0,1034518700.0,986516800.0,957955260.0,941353200.0,1123263700.0,969672900.0,1023452200.0
2031.0,984787460.0,1012508540.0,975057500.0,1067785150.0,1023760100.0,979171000.0,942575740.0,917686100.0,1141871500.0,954332900.0,1017583800.0
