time,GISS-E2-R,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CCSM4,CNRM-CM5
2032.0,990260500.0,964558460.0,1010846200.0,993103600.0,931502850.0,963569600.0,981332700.0,1021911940.0,1184896000.0,993397440.0,1008221630.0
2033.0,976497500.0,948022660.0,1009204030.0,1076144000.0,917819700.0,957747600.0,975397100.0,1001852300.0,1113152500.0,1036118300.0,1001790340.0
2034.0,1080496900.0,927225100.0,1018421600.0,1049952700.0,891428500.0,960533600.0,970032100.0,994205500.0,1081557400.0,1007447550.0,1090395400.0
2035.0,1002675900.0,922963650.0,998679740.0,996985200.0,872877950.0,938620740.0,960422140.0,1007232800.0,1070149760.0,977939900.0,1047997760.0
2036.0,961580000.0,910246660.0,986820540.0,999996700.0,852140000.0,920020200.0,946959360.0,984762750.0,1095823700.0,983835260.0,1015523400.0
2037.0,945821000.0,898303040.0,977267100.0,1209801500.0,823074500.0,903489900.0,942750200.0,980997250.0,1090514000.0,947585700.0,996657860.0
2038.0,938462000.0,881786050.0,960211400.0,1038974400.0,796450500.0,927584700.0,936922600.0,1039426000.0,1073019900.0,932127550.0,986192830.0
2039.0,931324800.0,882810800.0,950151900.0,1007045100.0,774088900.0,914917440.0,927392400.0,988496500.0,1078093700.0,916927040.0,974575400.0
2040.0,924281500.0,870536960.0,973040800.0,997290560.0,743071400.0,885349600.0,922382850.0,976913600.0,1107767700.0,922208830.0,970317200.0
2041.0,924911500.0,857532350.0,939950460.0,1009341300.0,717225540.0,882669630.0,916298600.0,973276540.0,1063072300.0,915198900.0,960680900.0
2042.0,908581100.0,849740300.0,935136100.0,1038077060.0,690999740.0,871562750.0,905868740.0,973810370.0,1063173800.0,901609660.0,949686140.0
2043.0,903879100.0,843000450.0,921453630.0,999856200.0,672124800.0,864507500.0,910181250.0,978927040.0,1076820600.0,901725600.0,934707260.0
2044.0,902449150.0,834980500.0,896848640.0,1001177600.0,711001400.0,894539200.0,891537700.0,973674100.0,1069671200.0,893729000.0,952705540.0
2045.0,937958340.0,823110600.0,887901400.0,997419650.0,660805900.0,888801300.0,950151040.0,969103000.0,1095673000.0,882569150.0,922412740.0
2046.0,894432500.0,809647700.0,875651700.0,1024463400.0,641724500.0,873478100.0,887194600.0,969014660.0,1075124200.0,894792060.0,913600200.0
2047.0,885456260.0,792767300.0,864378500.0,1010718100.0,627452540.0,853530560.0,874806600.0,969614200.0,1062229060.0,880061760.0,905957600.0
2048.0,880380100.0,784117950.0,853112300.0,988837760.0,615348740.0,846584500.0,956267840.0,965176640.0,1069156900.0,867631360.0,901842560.0
2049.0,873457100.0,775496450.0,842925760.0,991854600.0,601621000.0,845134100.0,905506750.0,962997950.0,1056073500.0,855150800.0,934999230.0
2050.0,1009336770.0,762587800.0,836103940.0,989777800.0,584210000.0,850928600.0,914405300.0,954343500.0,1051141440.0,852957000.0,935518600.0
2051.0,964372800.0,750811000.0,819269200.0,1037313860.0,574102400.0,839092860.0,876229950.0,972795300.0,1048703900.0,864186400.0,950251900.0
2052.0,956532900.0,756374900.0,797573060.0,992521300.0,567592500.0,836228300.0,900737500.0,972814900.0,1040825200.0,844915000.0,887797300.0
2053.0,896346900.0,809972900.0,784951900.0,1085806100.0,567316740.0,827114200.0,913691700.0,948386560.0,1030563650.0,842641000.0,871992640.0
2054.0,883584260.0,730751100.0,770171300.0,1025592900.0,556593000.0,822179900.0,969889800.0,946440260.0,1027602500.0,846121500.0,871990400.0
2055.0,885880300.0,731137300.0,797311700.0,1011663600.0,545057700.0,828713500.0,903661950.0,946351900.0,1023037600.0,828235700.0,859394050.0
2056.0,902100000.0,747307840.0,783292500.0,1000530000.0,534586140.0,822390900.0,942773900.0,1001682560.0,1021533400.0,827837100.0,847710700.0
2057.0,881143600.0,718118800.0,757765500.0,998270600.0,527216130.0,812575360.0,906555100.0,944237600.0,1017939000.0,839229000.0,858077100.0
2058.0,894578900.0,711201300.0,737894400.0,1015633660.0,515724100.0,814370700.0,926107300.0,989876700.0,1012048400.0,836482600.0,853083900.0
2059.0,871813440.0,708151100.0,727672300.0,1004556800.0,510555200.0,805151360.0,912486460.0,987842750.0,1001305800.0,820217540.0,936255600.0
2060.0,869249900.0,699346600.0,719964800.0,1109894000.0,505480100.0,816621250.0,932492900.0,960952060.0,1002069760.0,813974850.0,892049400.0
2061.0,1000893630.0,694097540.0,753064770.0,1060052200.0,498648350.0,801465100.0,979282000.0,1002165400.0,1025002560.0,807338700.0,849909950.0
2062.0,1076132600.0,683536800.0,714588400.0,1012155650.0,492906940.0,792357760.0,918593000.0,964556800.0,1001928500.0,837777600.0,838378100.0
2063.0,1003577300.0,684284860.0,736526800.0,1022066750.0,486648640.0,786323400.0,921732030.0,1028148900.0,988478800.0,810142100.0,838218940.0
2064.0,956013900.0,678335360.0,711963460.0,1023240700.0,479566200.0,790261500.0,976010800.0,1018677000.0,979567940.0,795787900.0,828177800.0
2065.0,916227400.0,672238400.0,707136400.0,1020287740.0,477179100.0,780419460.0,933866700.0,997321500.0,976514370.0,791155650.0,829600300.0
2066.0,900342340.0,663486340.0,710933700.0,1017904400.0,471589020.0,804276900.0,927490940.0,984487360.0,973748700.0,842486100.0,822462400.0
2067.0,908474900.0,653909000.0,694541630.0,1029249100.0,466843970.0,799460100.0,924047300.0,982635200.0,977521400.0,788567100.0,833251140.0
2068.0,900318660.0,647547200.0,690609600.0,1112883500.0,466503520.0,777252030.0,928123600.0,998327500.0,1078420000.0,786732100.0,840130100.0
2069.0,900534200.0,639322560.0,795540160.0,1065785000.0,460800480.0,769129340.0,921025700.0,1009382460.0,1014044800.0,828987500.0,818198660.0
2070.0,919693950.0,635041100.0,710509200.0,1026905300.0,458546750.0,778161100.0,918927400.0,995148400.0,973481600.0,817068500.0,811829600.0
2071.0,906467840.0,631326400.0,696207740.0,1018494460.0,453718600.0,818004900.0,909465700.0,999679800.0,957984260.0,788449660.0,810085400.0
2072.0,921465200.0,641016640.0,698452900.0,1021988500.0,482024960.0,786553150.0,923727740.0,1131773800.0,945142140.0,780189060.0,802148160.0
2073.0,910672200.0,623903100.0,700593660.0,1043496600.0,491116480.0,779259400.0,907874400.0,1041322560.0,933129600.0,776869100.0,795057700.0
2074.0,897905000.0,614066900.0,691345000.0,1047962300.0,474451260.0,846149440.0,923073000.0,1071902700.0,924937700.0,770142460.0,790868100.0
2075.0,893199550.0,620032000.0,686280200.0,1023040060.0,470212220.0,886550900.0,918566000.0,1088928300.0,925314050.0,810255100.0,790703700.0
2076.0,888558340.0,609961000.0,687538560.0,1079016600.0,460222700.0,807186100.0,926936770.0,1104262800.0,925985200.0,787039500.0,788190300.0
2077.0,939187460.0,601271500.0,681593400.0,1110576300.0,456857060.0,777651000.0,908297600.0,1135054300.0,912982900.0,765044160.0,785663550.0
2078.0,914112200.0,595070400.0,675427600.0,1043692300.0,462314180.0,791177400.0,897798000.0,1100224900.0,928215500.0,764182140.0,784512500.0
2079.0,882395460.0,605773250.0,760790100.0,1032176500.0,456957380.0,779727300.0,890864060.0,1092430700.0,982872770.0,759801200.0,801123500.0
2080.0,882476300.0,587762400.0,673495000.0,1024608300.0,451776640.0,772183740.0,886629500.0,1070663740.0,947840450.0,754342500.0,803933760.0
2081.0,879177000.0,583321900.0,663310700.0,1045250600.0,555347800.0,769466300.0,883168640.0,1059538900.0,929197760.0,749668600.0,782689700.0
2082.0,888872960.0,574344000.0,657973300.0,1179076200.0,485765730.0,767833500.0,879539140.0,1080763800.0,974160100.0,882869060.0,785551360.0
2083.0,871760060.0,567704450.0,670569100.0,1168259500.0,464673800.0,785352100.0,927139700.0,1071658560.0,987196400.0,820303740.0,778113340.0
2084.0,878686140.0,566051400.0,690526850.0,1079001200.0,461454820.0,792300200.0,898337860.0,1172989800.0,941029440.0,764332400.0,777584300.0
2085.0,959791550.0,560594200.0,685848060.0,1118687700.0,467085700.0,777716700.0,880255500.0,1163375400.0,941780540.0,775910660.0,836408450.0
2086.0,983592700.0,556769860.0,800999550.0,1131419400.0,464187200.0,776620740.0,886319170.0,1135729800.0,940262600.0,752469760.0,810114300.0
2087.0,885168960.0,558862200.0,763441300.0,1078669800.0,463573760.0,770854660.0,907885900.0,1145002100.0,973484400.0,746080640.0,823626750.0
2088.0,880584770.0,553171800.0,724104700.0,1065922200.0,461244800.0,828266900.0,876537600.0,1136197600.0,1035110140.0,739869700.0,862423550.0
2089.0,870589950.0,552209540.0,814437250.0,1060029250.0,463233340.0,795490050.0,945938300.0,1128442500.0,1000351500.0,738876100.0,794903100.0
2090.0,864276600.0,545013250.0,850213500.0,1121488000.0,459458720.0,773723200.0,891327000.0,1116857700.0,993469400.0,732100540.0,788839940.0
2091.0,959464600.0,574873150.0,796383550.0,1130750300.0,487259100.0,772422800.0,875509250.0,1173788700.0,979205200.0,727842300.0,790167100.0
2092.0,871373200.0,574824770.0,759461060.0,1081236700.0,461273540.0,771138900.0,933120960.0,1203774100.0,1006535230.0,757255300.0,817763800.0
2093.0,866982660.0,577334700.0,1009132400.0,1136465700.0,460071940.0,885024200.0,919298700.0,1242871600.0,1033419650.0,724680300.0,794396600.0
2094.0,935534400.0,548850200.0,768121200.0,1138369000.0,464329860.0,819869060.0,908223500.0,1237450600.0,996888960.0,725568830.0,777804500.0
2095.0,868790100.0,547543900.0,758424960.0,1104419300.0,464778460.0,775989700.0,954266300.0,1189734000.0,979093060.0,730373200.0,772703900.0
2096.0,878035140.0,552049150.0,757326660.0,1092090100.0,480489250.0,780911800.0,1012584800.0,1189181600.0,1022578050.0,749444100.0,792829400.0
2097.0,1010775800.0,546218940.0,754788160.0,1081969400.0,461386430.0,816891000.0,967490800.0,1184655500.0,984373200.0,730932160.0,770290300.0
2098.0,959097900.0,666242800.0,1058538300.0,1069572600.0,464752960.0,903816200.0,953498400.0,1208160100.0,1148627300.0,719547400.0,765679100.0
2099.0,961836800.0,566486000.0,921652900.0,1064717600.0,459515360.0,803205060.0,968097600.0,1209461800.0,1054995840.0,712281700.0,766386900.0
2100.0,965069950.0,565891260.0,852373950.0,1061989700.0,471501730.0,809631360.0,967309200.0,1194705400.0,1018992500.0,709452900.0,834922050.0
