time,MPI-ESM-LR,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2651720400.0,2659024600.0,2645253600.0,2685947600.0
2022.0,2635245300.0,2650680300.0,2629075700.0,2677295600.0
2023.0,2628130000.0,2634012400.0,2616031500.0,2657255000.0
2024.0,2626889200.0,2626785000.0,2607391500.0,2645751600.0
2025.0,2612837400.0,2621846500.0,2596026600.0,2644904200.0
2026.0,2646051600.0,2614629000.0,2582207000.0,2625069300.0
2027.0,2592175000.0,2619001300.0,2553820000.0,2613441000.0
2028.0,2585333200.0,2595239400.0,2596304000.0,2598645200.0
2029.0,2566094800.0,2584689200.0,2533682700.0,2585498400.0
2030.0,2554086100.0,2567923200.0,2511258000.0,2568107800.0
2031.0,2543352800.0,2555918300.0,2487537400.0,2554986200.0
2032.0,2531244000.0,2541450000.0,2458046500.0,2543859000.0
2033.0,2513379800.0,2523771400.0,2445811000.0,2523229400.0
2034.0,2499310300.0,2515014100.0,2408781300.0,2510500000.0
2035.0,2477762000.0,2491063600.0,2378462200.0,2489756200.0
2036.0,2452885200.0,2472085500.0,2340978400.0,2471587300.0
2037.0,2427471400.0,2452071400.0,2317250300.0,2447214300.0
2038.0,2404922000.0,2428234500.0,2288766500.0,2425916400.0
2039.0,2378696700.0,2395373600.0,2250687000.0,2396559400.0
2040.0,2345904400.0,2358114000.0,2198988800.0,2376617200.0
2041.0,2309701600.0,2339908900.0,2163967200.0,2356917200.0
2042.0,2268891000.0,2323034000.0,2118537100.0,2327828500.0
2043.0,2228526800.0,2293257500.0,2064898800.0,2290532900.0
2044.0,2203902500.0,2256568000.0,2021125900.0,2251700200.0
2045.0,2168494600.0,2239774500.0,1971697400.0,2219183400.0
2046.0,2118396500.0,2207373800.0,1916220200.0,2191787800.0
2047.0,2078954100.0,2255867000.0,1883524400.0,2159328500.0
2048.0,2045295900.0,2182055000.0,1809270900.0,2177215000.0
2049.0,2011295100.0,2135569800.0,1762248300.0,2105633500.0
2050.0,1969923500.0,2095416300.0,1735369900.0,2081912800.0
2051.0,1945351300.0,2058990800.0,1654241500.0,2054381800.0
2052.0,1896296200.0,2063087200.0,1590996700.0,2027786200.0
2053.0,1852207900.0,2006124800.0,1518996700.0,2027990900.0
2054.0,1821445200.0,1973143700.0,1457850100.0,2031452200.0
2055.0,1782244900.0,1934779400.0,1385173400.0,2053305200.0
2056.0,1752289900.0,1909214200.0,1334815700.0,2051636900.0
2057.0,1713571700.0,1876536800.0,1284885600.0,1959521200.0
2058.0,1697524400.0,1834712600.0,1249742600.0,1931311900.0
2059.0,1650577800.0,1793883100.0,1209537800.0,1904391600.0
2060.0,1622869000.0,1777874600.0,1170894100.0,1860891300.0
2061.0,1589472000.0,1742853000.0,1132844000.0,1819332000.0
2062.0,1583053400.0,1757341400.0,1090368300.0,1932379900.0
2063.0,1583287300.0,1700482800.0,1055165100.0,1800756400.0
2064.0,1528684500.0,1664623500.0,1024387000.0,1767141000.0
2065.0,1509311700.0,1686296000.0,1011873600.0,1785664000.0
2066.0,1485213200.0,1629408500.0,981906240.0,1779564000.0
2067.0,1486793600.0,1604454500.0,956563140.0,1701441000.0
2068.0,1435474200.0,1541349900.0,927739400.0,1668157300.0
2069.0,1407314300.0,1551435000.0,926703600.0,1662339800.0
2070.0,1368772200.0,1485985800.0,885851840.0,1668836400.0
2071.0,1334515100.0,1452009700.0,858592100.0,1757493100.0
2072.0,1311780600.0,1426493700.0,839950850.0,1638234800.0
2073.0,1274147200.0,1403605000.0,835192400.0,1609726200.0
2074.0,1542251400.0,1395368300.0,821789440.0,1604216200.0
2075.0,1294268700.0,1342936700.0,783676540.0,1579724000.0
2076.0,1303334800.0,1301908100.0,753636900.0,1723693400.0
2077.0,1215223700.0,1269318400.0,732331400.0,1652309900.0
2078.0,1181845400.0,1239252700.0,699329700.0,1704171300.0
2079.0,1160704100.0,1205752300.0,674984900.0,1704126200.0
2080.0,1130676200.0,1173004800.0,654800900.0,1680271500.0
2081.0,1241457700.0,1150515500.0,632969300.0,1559969500.0
2082.0,1116422500.0,1136137700.0,610479300.0,1675405800.0
2083.0,1096715000.0,1103598300.0,584011650.0,1562842800.0
2084.0,1070683900.0,1078481300.0,564194000.0,1547521900.0
2085.0,1047300400.0,1053450600.0,554456600.0,1512466800.0
2086.0,1065607040.0,1111142400.0,531656300.0,1533850100.0
2087.0,1004023400.0,1029413200.0,511131650.0,1497704300.0
2088.0,972205100.0,1024158800.0,497948380.0,1481882600.0
2089.0,956705700.0,986488960.0,503707330.0,1425868000.0
2090.0,927446800.0,988355100.0,474591330.0,1413258200.0
2091.0,916989600.0,950398000.0,456759740.0,1399847700.0
2092.0,896915400.0,922661400.0,441536060.0,1379479800.0
