time,CCSM4,CESM1-CAM5
2154.0,68287390.0,6641526.0
2155.0,63924924.0,5157722.5
2156.0,59589040.0,5912386.0
2157.0,56281664.0,4411588.5
2158.0,50236390.0,3299687.0
2159.0,45061040.0,3135316.5
2160.0,43259436.0,2552687.2
2161.0,60289320.0,2372619.8
2162.0,38438624.0,1698945.6
2163.0,34588064.0,1495872.8
2164.0,30199622.0,1492496.5
2165.0,23309042.0,1238300.9
2166.0,20653278.0,1209908.8
2167.0,18182098.0,2217854.5
2168.0,15552026.0,5235780.0
2169.0,13044543.0,1319705.5
2170.0,11037650.0,1186522.2
2171.0,10816532.0,1180864.5
2172.0,17630790.0,1057662.5
2173.0,9449829.0,1056392.0
2174.0,8585105.0,1050348.8
2175.0,7772386.0,1061617.1
2176.0,7430362.0,1045765.44
2177.0,7020082.0,1044720.94
2178.0,6853793.0,1058442.9
2179.0,6519002.0,979956.6
2180.0,5954664.5,979003.1
2181.0,5498363.5,971602.75
2182.0,4842179.5,972162.3
2183.0,4362425.0,980242.8
2184.0,4534513.5,967179.75
2185.0,3963295.5,967907.44
2186.0,3836808.5,967682.2
2187.0,3763224.8,955646.25
2188.0,3643087.8,956774.6
2189.0,3028446.5,956180.9
2190.0,2877507.0,955932.2
2191.0,3253835.0,956554.1
2192.0,4551316.5,947648.5
2193.0,2690073.2,945386.0
2194.0,3537175.2,945656.8
2195.0,3072335.0,920206.2
2196.0,6602498.5,920618.2
2197.0,5960283.0,920996.6
2198.0,3219705.2,920279.6
2199.0,2759773.0,918690.6
2200.0,2543252.2,912737.06
2201.0,2422878.0,889736.4
2202.0,2151440.2,892187.75
2203.0,2163565.0,890588.5
2204.0,2309110.8,890044.25
2205.0,3622128.5,865809.94
2206.0,1886333.1,864215.6
2207.0,1853089.1,862294.2
2208.0,1829739.0,862945.56
2209.0,1809042.0,861473.8
2210.0,1759823.4,862623.5
2211.0,1721095.0,863341.75
2212.0,1690328.9,863835.9
2213.0,1634150.9,864284.3
2214.0,1706591.4,862497.75
2215.0,1534381.8,862852.9
2216.0,2305104.0,857578.4
2217.0,1391810.0,860403.44
2218.0,4779158.5,861517.5
2219.0,1407200.2,862327.8
2220.0,2788053.0,861476.3
2221.0,1439793.6,842936.25
2222.0,1658631.2,842311.1
2223.0,1405354.2,840444.8
2224.0,1504401.0,810770.5
2225.0,2250321.8,787555.8
2226.0,1231490.5,787533.4
2227.0,1231592.1,786784.25
2228.0,1215724.4,782870.9
2229.0,1214613.6,756192.94
2230.0,1257455.0,756393.06
2231.0,1599822.0,756470.9
2232.0,1907461.4,754745.75
2233.0,1224292.9,753861.75
2234.0,1213228.4,729759.9
2235.0,1214138.4,720121.06
2236.0,1151866.5,719681.06
2237.0,1525453.8,715447.7
2238.0,1165008.6,695830.44
2239.0,1150938.0,685206.5
2240.0,1447326.2,685655.56
2241.0,1467610.1,677594.4
2242.0,1121534.0,1069598.8
2243.0,1120498.6,656600.0
2244.0,1120579.0,655207.5
2245.0,1093458.5,643149.9
2246.0,1091425.8,641650.44
2247.0,1091488.0,639999.8
2248.0,1089774.4,639975.44
2249.0,1088725.5,628791.3
2250.0,1088849.9,628860.44
2251.0,1087720.9,619663.6
2252.0,4277542.0,621620.06
2253.0,1245235.2,592425.1
2254.0,1086116.0,574325.25
