time,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G
2000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0
2001.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0
2002.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0
2003.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0
2004.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0
2005.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0
2006.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0
2007.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0
2008.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0
2009.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0
2010.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0
2011.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0
2012.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0
2013.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0
2014.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0
2015.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0
2016.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0
2017.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0
2018.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0
2019.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0
2020.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0
2021.0,102517110000.0,102671740000.0,103078490000.0,100510400000.0,102202690000.0,101315530000.0,102629840000.0,102653510000.0,101009590000.0,102643384000.0
2022.0,101308380000.0,101172280000.0,100438510000.0,97954400000.0,100954070000.0,99477900000.0,100930870000.0,100991040000.0,99479405000.0,101244070000.0
2023.0,99477635000.0,98713950000.0,98665980000.0,94849350000.0,98903850000.0,98939150000.0,98677950000.0,100124340000.0,97049270000.0,100932750000.0
2024.0,98996660000.0,96767435000.0,97931580000.0,92467085000.0,96521070000.0,97277380000.0,96879150000.0,99858690000.0,93720175000.0,99358850000.0
2025.0,98823455000.0,95155870000.0,95148384000.0,89381270000.0,95091760000.0,93332730000.0,95041250000.0,98346260000.0,90692090000.0,97295294000.0
2026.0,97999370000.0,91749430000.0,93997520000.0,86316520000.0,93937360000.0,89670900000.0,92779300000.0,95818015000.0,88294070000.0,95906560000.0
2027.0,95948400000.0,88592650000.0,92894860000.0,83955750000.0,92513400000.0,85470780000.0,91548470000.0,93067980000.0,85279670000.0,94410330000.0
2028.0,94366070000.0,86229080000.0,90835700000.0,81552410000.0,91954580000.0,83911760000.0,89409500000.0,91939865000.0,83664410000.0,92832950000.0
2029.0,91857800000.0,84338280000.0,89494430000.0,78633620000.0,90326270000.0,80384336000.0,86155420000.0,90320430000.0,80572250000.0,90258360000.0
2030.0,91294060000.0,80541204000.0,88069030000.0,76023060000.0,88403020000.0,76305244000.0,84200860000.0,88877130000.0,78550245000.0,87980800000.0
2031.0,90737430000.0,77656695000.0,86493660000.0,72945580000.0,85867860000.0,73525710000.0,80880830000.0,87713560000.0,75770675000.0,86475825000.0
2032.0,88570840000.0,75203430000.0,86264365000.0,70189470000.0,84474410000.0,70714730000.0,78842230000.0,87156924000.0,73185845000.0,84149100000.0
2033.0,87335130000.0,72378990000.0,84820210000.0,67629572000.0,82427330000.0,68245406000.0,76656615000.0,84827234000.0,70643180000.0,81865320000.0
2034.0,85272480000.0,70076720000.0,82982790000.0,65024106000.0,79743150000.0,66020580000.0,74108410000.0,82178744000.0,68497340000.0,80274600000.0
2035.0,84457270000.0,68399990000.0,81572710000.0,62103917000.0,78084840000.0,63423820000.0,72567650000.0,80549150000.0,65524370000.0,78999980000.0
2036.0,82450930000.0,65475695000.0,79507400000.0,59070030000.0,76228030000.0,60649726000.0,70050490000.0,79852570000.0,62786460000.0,77927820000.0
2037.0,80693670000.0,63804040000.0,78018085000.0,57294004000.0,74607580000.0,58260107000.0,68152766000.0,76470420000.0,60371840000.0,76364660000.0
2038.0,79015970000.0,61230526000.0,76281690000.0,54347920000.0,71820300000.0,55820124000.0,65676685000.0,75085095000.0,58575550000.0,74931630000.0
2039.0,76239050000.0,59295433000.0,75086225000.0,51618920000.0,69316640000.0,54303412000.0,64746610000.0,73745605000.0,55964540000.0,73705060000.0
2040.0,75058480000.0,57014450000.0,73439790000.0,48931900000.0,67227013000.0,51824083000.0,61566580000.0,71813450000.0,54249366000.0,71029550000.0
