time,MPI-ESM-LR,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CNRM-CM5,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CCSM4
2000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0
2001.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0
2002.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0
2003.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0
2004.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0
2005.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0
2006.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0
2007.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0
2008.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0
2009.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0
2010.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0
2011.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0
2012.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0
2013.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0
2014.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0
2015.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0
2016.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0
2017.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0
2018.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0
2019.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0
2020.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0
2021.0,102649840000.0,103129645000.0,101105360000.0,101169725000.0,102627350000.0,100793975000.0,103297320000.0,104006940000.0,103088430000.0,103264125000.0,102530654000.0
2022.0,101158870000.0,100388856000.0,98999800000.0,98499760000.0,101803000000.0,98742950000.0,101374170000.0,103082010000.0,101192580000.0,100695180000.0,101360050000.0
2023.0,99026590000.0,98041040000.0,96740670000.0,97174820000.0,101135560000.0,96350690000.0,99102300000.0,102134660000.0,100308880000.0,97908190000.0,100182480000.0
2024.0,98106974000.0,96558375000.0,93736124000.0,95085080000.0,98939400000.0,93910024000.0,96453690000.0,100829010000.0,98082300000.0,94957320000.0,98236460000.0
2025.0,95838550000.0,94524910000.0,91444810000.0,93789905000.0,97176690000.0,91547440000.0,94329520000.0,97964630000.0,95506720000.0,92973965000.0,96729820000.0
2026.0,93748740000.0,92087960000.0,88247700000.0,92063470000.0,95076550000.0,89901120000.0,92370690000.0,96366290000.0,93323290000.0,91738644000.0,95056430000.0
2027.0,91386280000.0,91256906000.0,84284850000.0,88104250000.0,93024040000.0,86859014000.0,90755840000.0,93862230000.0,90109780000.0,89329345000.0,94719074000.0
2028.0,89360300000.0,89716050000.0,81199320000.0,86789100000.0,90414510000.0,84917660000.0,88672230000.0,92721880000.0,87534666000.0,88108245000.0,92783804000.0
2029.0,87423255000.0,88005700000.0,77023445000.0,85067915000.0,89006375000.0,83322210000.0,86470680000.0,90600470000.0,86214130000.0,87185010000.0,91839180000.0
2030.0,84055320000.0,84399750000.0,73707590000.0,81374000000.0,86274695000.0,81316480000.0,86125640000.0,89931870000.0,84093480000.0,85672940000.0,89649270000.0
2031.0,82237390000.0,82132530000.0,71223755000.0,78862975000.0,85399570000.0,79660540000.0,84170770000.0,87984390000.0,82639830000.0,83639640000.0,87735190000.0
2032.0,81515170000.0,80919994000.0,67785290000.0,78001725000.0,82903450000.0,77249815000.0,81825160000.0,86305930000.0,80461170000.0,82165570000.0,85240880000.0
2033.0,80177630000.0,79069740000.0,65440040000.0,75117790000.0,80099164000.0,76134730000.0,78405550000.0,84442400000.0,79267940000.0,80906720000.0,83424180000.0
2034.0,77711170000.0,76502690000.0,62252687000.0,71222920000.0,78007075000.0,74470020000.0,77032200000.0,82517100000.0,76856960000.0,78907510000.0,81451150000.0
2035.0,75294380000.0,74627220000.0,60210455000.0,68438454000.0,75968660000.0,72858980000.0,75131830000.0,80239210000.0,74768280000.0,76879840000.0,80265806000.0
2036.0,73787630000.0,73646960000.0,58749110000.0,65845410000.0,74363920000.0,71441080000.0,72928125000.0,78997010000.0,73304380000.0,75150020000.0,79368880000.0
2037.0,70945550000.0,71500464000.0,56247067000.0,62612574000.0,73064790000.0,70562710000.0,71159920000.0,77938400000.0,70716514000.0,72983150000.0,77387580000.0
2038.0,68229700000.0,70238990000.0,53457440000.0,60419370000.0,71046590000.0,69128790000.0,68709380000.0,76052940000.0,68149350000.0,70903430000.0,76096250000.0
2039.0,66853655000.0,67957166000.0,50937600000.0,58185617000.0,68668932000.0,66754028000.0,66513687000.0,75327790000.0,66690080000.0,68484110000.0,73856610000.0
2040.0,65903956000.0,65115800000.0,48384897000.0,56424804000.0,66710700000.0,64383533000.0,64199578000.0,73955990000.0,64946917000.0,67007920000.0,71721820000.0
2041.0,64876425000.0,61621064000.0,45658280000.0,54080730000.0,65752216000.0,62746534000.0,61595670000.0,72558710000.0,63211872000.0,65669435000.0,70332580000.0
2042.0,63604433000.0,60582680000.0,43271545000.0,52505540000.0,64124223000.0,60334630000.0,59316110000.0,71042600000.0,62277034000.0,63257567000.0,68714385000.0
2043.0,62280446000.0,59810830000.0,40142975000.0,50714247000.0,62305542000.0,59474800000.0,57428510000.0,70439650000.0,60670743000.0,61049330000.0,67139596000.0
2044.0,60494426000.0,58098550000.0,37778715000.0,48784200000.0,60820836000.0,57901187000.0,56138260000.0,70663030000.0,58201820000.0,59261100000.0,65616142000.0
2045.0,58273546000.0,56400510000.0,35531452000.0,46969283000.0,60576236000.0,56682308000.0,54180940000.0,70210860000.0,56132616000.0,57452634000.0,64302650000.0
2046.0,57173344000.0,54655530000.0,33541972000.0,45269020000.0,58727657000.0,55139180000.0,52383777000.0,69124030000.0,54365330000.0,55934628000.0,62745180000.0
2047.0,56089727000.0,53338450000.0,31284027000.0,43690090000.0,57523600000.0,52718027000.0,50239123000.0,67626586000.0,52503167000.0,54130176000.0,60988748000.0
2048.0,54257720000.0,51719795000.0,29357865000.0,41614980000.0,56596128000.0,51441640000.0,48348090000.0,66865103000.0,49910022000.0,52510950000.0,59458800000.0
2049.0,53664210000.0,50269872000.0,27924988000.0,39967453000.0,55794090000.0,49974804000.0,46611812000.0,65593170000.0,48148853000.0,50601520000.0,57652090000.0
2050.0,52243990000.0,49666822000.0,26476775000.0,38179930000.0,54399554000.0,48658838000.0,45351776000.0,64800477000.0,46373940000.0,48427147000.0,55647687000.0
2051.0,50446460000.0,47884448000.0,24897974000.0,36756720000.0,53237793000.0,47061377000.0,43716900000.0,63981162000.0,44734130000.0,46896165000.0,54535033000.0
2052.0,48717414000.0,45845484000.0,23236387000.0,35272770000.0,52483113000.0,45682196000.0,42128597000.0,62747630000.0,43139480000.0,44878262000.0,53504102000.0
2053.0,47153185000.0,44329173000.0,21577239000.0,33972105000.0,50885340000.0,44706440000.0,40328370000.0,61047857000.0,42238165000.0,43955007000.0,51979030000.0
2054.0,46529980000.0,43835600000.0,20274540000.0,32817506000.0,49312092000.0,42636145000.0,38781776000.0,59356094000.0,41197527000.0,42425168000.0,50294944000.0
2055.0,44697453000.0,42668716000.0,19023200000.0,31792003000.0,47564906000.0,40789890000.0,37617558000.0,58509513000.0,40191900000.0,41193533000.0,49423600000.0
2056.0,43767812000.0,41601040000.0,18067450000.0,30763418000.0,46063337000.0,39357313000.0,35785990000.0,57182630000.0,38787990000.0,39559176000.0,47934480000.0
2057.0,42656555000.0,40874460000.0,17270610000.0,30218640000.0,44391588000.0,38186185000.0,34121417000.0,55000977000.0,37511758000.0,38863300000.0,46876990000.0
2058.0,41172816000.0,39798096000.0,16389633000.0,29219959000.0,42409790000.0,36362453000.0,32976943000.0,53738060000.0,36248980000.0,38080250000.0,45384233000.0
2059.0,39908323000.0,38734750000.0,15636154000.0,28536510000.0,41276420000.0,35127906000.0,31942100000.0,52524876000.0,35130090000.0,36812005000.0,43424862000.0
2060.0,39217280000.0,37863764000.0,14896380000.0,27482102000.0,40101093000.0,34452720000.0,30524290000.0,51161390000.0,34285834000.0,35447345000.0,42397192000.0
2061.0,38783955000.0,36868180000.0,14035483000.0,26473716000.0,39219823000.0,33663992000.0,29440983000.0,50503668000.0,33260691000.0,34347145000.0,41854206000.0
2062.0,38212796000.0,36346760000.0,13400822000.0,25544720000.0,37949436000.0,32411206000.0,28206354000.0,49983460000.0,32389128000.0,33197572000.0,40641696000.0
2063.0,37669757000.0,35419693000.0,12816823000.0,24987894000.0,36645683000.0,31417668000.0,27212472000.0,49815384000.0,31519683000.0,32484719000.0,39819770000.0
2064.0,36799080000.0,35140084000.0,12334440000.0,24124748000.0,35567600000.0,30470377000.0,26142245000.0,48412697000.0,30396676000.0,31086064000.0,38386864000.0
2065.0,35723133000.0,33847763000.0,11796596000.0,23540795000.0,34058732000.0,29685092000.0,24727048000.0,47119778000.0,29761792000.0,30028600000.0,37613728000.0
2066.0,35052640000.0,32325085000.0,11456871000.0,22742235000.0,32988983000.0,28751268000.0,23757730000.0,45641900000.0,28988387000.0,29360070000.0,36824908000.0
2067.0,34509140000.0,31381023000.0,11103174000.0,21977037000.0,32370514000.0,27767214000.0,23006335000.0,44224434000.0,28031834000.0,28435603000.0,35808230000.0
2068.0,33842729000.0,31130153000.0,10784748000.0,21541499000.0,31606300000.0,26977485000.0,22295747000.0,43199664000.0,27128277000.0,27788413000.0,34999198000.0
2069.0,33476389000.0,30073380000.0,10380516000.0,20988910000.0,30509631000.0,25970096000.0,21283400000.0,42944950000.0,26371230000.0,26685497000.0,33428208000.0
2070.0,32426050000.0,29748838000.0,10238205000.0,20380043000.0,30164525000.0,25140670000.0,20707631000.0,41804970000.0,25845387000.0,25705318000.0,32644640000.0
2071.0,31960510000.0,28970463000.0,9907061000.0,19889707000.0,29545628000.0,24475136000.0,20438661000.0,41392837000.0,25268349000.0,25089510000.0,32090597000.0
2072.0,31305170000.0,28658033000.0,9608334000.0,19445279000.0,28783364000.0,23812094000.0,19747852000.0,40139088000.0,24666941000.0,24492632000.0,31082346000.0
2073.0,30422473000.0,27948067000.0,9346448000.0,19161570000.0,28134435000.0,22978003000.0,19239463000.0,39512236000.0,23906873000.0,24040640000.0,30343674000.0
2074.0,29823599000.0,27467713000.0,9130180000.0,18326610000.0,26914363000.0,22513365000.0,18646692000.0,38381957000.0,23094125000.0,23083878000.0,30068322000.0
2075.0,29088629000.0,26999796000.0,8859310000.0,17519219000.0,25988635000.0,21781402000.0,18358930000.0,37921990000.0,22207738000.0,22512312000.0,29407519000.0
2076.0,28594932000.0,26838215000.0,8656827000.0,16896957000.0,25436780000.0,21154930000.0,17860174000.0,37086580000.0,21490457000.0,22058256000.0,28771252000.0
2077.0,28313108000.0,26336750000.0,8596864000.0,16510924000.0,25468131000.0,20449456000.0,17256923000.0,36359360000.0,21099200000.0,21587747000.0,28027120000.0
2078.0,27950310000.0,25999544000.0,8445959700.0,16201269000.0,24611000000.0,19894364000.0,16691535000.0,35534350000.0,20481415000.0,21070776000.0,27281766000.0
2079.0,27728718000.0,25593448000.0,8316638700.0,15984255000.0,24056472000.0,19384764000.0,16207273000.0,34986164000.0,19851389000.0,20735683000.0,26958162000.0
2080.0,27716500000.0,25066883000.0,8187512000.0,15746886000.0,23509900000.0,19043652000.0,15730964000.0,34766164000.0,19526801000.0,20224047000.0,26655510000.0
2081.0,27048892000.0,25031358000.0,8006628000.0,15206597000.0,23041186000.0,18550235000.0,15465873000.0,33948500000.0,19076067000.0,19964516000.0,26134016000.0
2082.0,26593534000.0,24581100000.0,8001206300.0,14827642000.0,22574383000.0,17796518000.0,15212714000.0,33751247000.0,18610604000.0,19771540000.0,25451414000.0
2083.0,25836616000.0,23915210000.0,7858649600.0,14649644000.0,22267605000.0,17240200000.0,14916692000.0,33357371000.0,18049575000.0,19178795000.0,25207263000.0
2084.0,25490434000.0,23750894000.0,7763618300.0,14475282000.0,21751585000.0,16792740000.0,14680991000.0,32991420000.0,17856300000.0,18870954000.0,24496034000.0
2085.0,25437903000.0,23470017000.0,7683110400.0,14285464000.0,21258052000.0,16596997000.0,14327898000.0,32756924000.0,17658372000.0,18679695000.0,23965733000.0
2086.0,25243790000.0,23033594000.0,7581895700.0,14097997000.0,20842672000.0,16302201000.0,14161024000.0,32266580000.0,17459663000.0,18623343000.0,23850660000.0
2087.0,24677458000.0,22856480000.0,7499945500.0,13942840000.0,20475850000.0,15952302000.0,13868620000.0,32200372000.0,17007983000.0,18364520000.0,23267880000.0
2088.0,24572470000.0,22708132000.0,7473079300.0,13746094000.0,20005542000.0,15589601000.0,13568846000.0,32046584000.0,16756661000.0,18041328000.0,22779732000.0
2089.0,24307840000.0,22732313000.0,7351753000.0,13581106000.0,19559246000.0,15391259000.0,13193341000.0,31521581000.0,16499735000.0,18103615000.0,22531095000.0
2090.0,23798882000.0,22523648000.0,7198353000.0,13450416000.0,19399514000.0,15233652000.0,13092582000.0,31103078000.0,16402815000.0,18197823000.0,22175000000.0
2091.0,23359697000.0,22406349000.0,7143525000.0,13375337000.0,18994010000.0,14950759000.0,12890208000.0,30898735000.0,15874077000.0,18019424000.0,22116590000.0
2092.0,22904568000.0,22180403000.0,7075676700.0,13237700000.0,18601277000.0,14703829000.0,12851673000.0,30471190000.0,15788611000.0,18285961000.0,21702890000.0
2093.0,22632030000.0,21959696000.0,7040268000.0,13040753000.0,18264790000.0,14386248000.0,12657105000.0,30203853000.0,15778266000.0,18217298000.0,21488865000.0
2094.0,22646580000.0,21846077000.0,6938453500.0,12838684000.0,17691664000.0,14124763000.0,12685924000.0,29996265000.0,15543589000.0,18025343000.0,21228642000.0
2095.0,22048668000.0,21752254000.0,6966312000.0,12678083000.0,17337815000.0,13902501000.0,12681082000.0,29382871000.0,15422107000.0,18032527000.0,20933313000.0
2096.0,21899307000.0,21337276000.0,6856237000.0,12503172000.0,16953719000.0,13605535000.0,12554776000.0,29489179000.0,15334218000.0,17969371000.0,20739158000.0
2097.0,21686698000.0,21189935000.0,6774463000.0,12302221000.0,16852411000.0,13505353000.0,12510075000.0,29286568000.0,15163825000.0,17877295000.0,20225700000.0
2098.0,21350113000.0,21173285000.0,6696339500.0,12176257000.0,16762255000.0,13368843000.0,12479354000.0,28982876000.0,15240137000.0,17726140000.0,20144810000.0
2099.0,21430729000.0,21013650000.0,6651296300.0,11980908000.0,16466244000.0,13149679000.0,12301201000.0,28805138000.0,15182338000.0,17493938000.0,20023243000.0
2100.0,21062124000.0,21032050000.0,6604091000.0,11727734000.0,16442806000.0,13007724000.0,12227626000.0,28440930000.0,15048269000.0,17424695000.0,19919657000.0
