time,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4
2000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0
2001.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0
2002.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0
2003.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0
2004.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0
2005.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0
2006.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0
2007.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0
2008.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0
2009.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0
2010.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0
2011.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0
2012.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0
2013.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0
2014.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0
2015.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0
2016.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0
2017.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0
2018.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0
2019.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0
2020.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0
2021.0,44689980000000.0,44581475000000.0,44691085000000.0,44539746000000.0,44624136000000.0
2022.0,44615340000000.0,44510302000000.0,44591835000000.0,44512460000000.0,44537213000000.0
2023.0,44508310000000.0,44490760000000.0,44483505000000.0,44520800000000.0,44498344000000.0
2024.0,44442170000000.0,44335620000000.0,44428308000000.0,44502970000000.0,44491440000000.0
2025.0,44320623000000.0,44292542000000.0,44365167000000.0,44369850000000.0,44385165000000.0
2026.0,44229607000000.0,44292280000000.0,44375770000000.0,44330115000000.0,44365263000000.0
2027.0,44131133000000.0,44236955000000.0,44380630000000.0,44218324000000.0,44316560000000.0
2028.0,44094055000000.0,44239770000000.0,44292135000000.0,44075936000000.0,44307010000000.0
2029.0,44101135000000.0,44204403000000.0,44182540000000.0,43886353000000.0,44244555000000.0
2030.0,44002140000000.0,44195790000000.0,44083997000000.0,43760335000000.0,44179183000000.0
2031.0,43861540000000.0,44150083000000.0,44008546000000.0,43666115000000.0,44010310000000.0
2032.0,43872090000000.0,44122824000000.0,43914300000000.0,43494115000000.0,43979490000000.0
2033.0,43767915000000.0,44104696000000.0,43831936000000.0,43297406000000.0,43893748000000.0
2034.0,43691213000000.0,43984530000000.0,43639240000000.0,43106070000000.0,43857130000000.0
2035.0,43582006000000.0,43977873000000.0,43484010000000.0,42978380000000.0,43888266000000.0
2036.0,43528248000000.0,43859883000000.0,43288057000000.0,42794274000000.0,43772990000000.0
2037.0,43394747000000.0,43821470000000.0,43096000000000.0,42705340000000.0,43793013000000.0
2038.0,43267257000000.0,43700994000000.0,43008834000000.0,42493290000000.0,43744812000000.0
2039.0,43204510000000.0,43611040000000.0,42870875000000.0,42350915000000.0,43597070000000.0
2040.0,43139760000000.0,43542295000000.0,42730980000000.0,42177180000000.0,43577392000000.0
2041.0,42983773000000.0,43377815000000.0,42599352000000.0,41995240000000.0,43490720000000.0
2042.0,42891200000000.0,43229056000000.0,42418552000000.0,41899457000000.0,43413655000000.0
2043.0,42733385000000.0,43064100000000.0,42234838000000.0,41689330000000.0,43344820000000.0
2044.0,42611510000000.0,42931350000000.0,42057670000000.0,41495000000000.0,43302200000000.0
2045.0,42512190000000.0,42831113000000.0,41869954000000.0,41304430000000.0,43198483000000.0
2046.0,42425477000000.0,42748938000000.0,41686480000000.0,41090100000000.0,43096063000000.0
2047.0,42390065000000.0,42631170000000.0,41378747000000.0,40856417000000.0,42957416000000.0
2048.0,42201535000000.0,42439150000000.0,41121057000000.0,40565568000000.0,42798710000000.0
2049.0,42093867000000.0,42277550000000.0,40795540000000.0,40281130000000.0,42760397000000.0
2050.0,41958820000000.0,42100066000000.0,40468840000000.0,40090567000000.0,42635920000000.0
2051.0,41772655000000.0,41911088000000.0,40188798000000.0,39925730000000.0,42457773000000.0
2052.0,41577150000000.0,41822294000000.0,39949380000000.0,39723565000000.0,42286864000000.0
2053.0,41321430000000.0,41712337000000.0,39570507000000.0,39402743000000.0,42120556000000.0
2054.0,41212606000000.0,41571120000000.0,39175345000000.0,39143680000000.0,42023327000000.0
2055.0,40962143000000.0,41408975000000.0,38846603000000.0,38849790000000.0,41846070000000.0
2056.0,40724616000000.0,41279153000000.0,38419730000000.0,38702538000000.0,41774987000000.0
2057.0,40466465000000.0,41190900000000.0,37990940000000.0,38588960000000.0,41626093000000.0
2058.0,40188147000000.0,41091040000000.0,37650040000000.0,38320410000000.0,41514495000000.0
2059.0,39956470000000.0,40944650000000.0,37229213000000.0,38083310000000.0,41445633000000.0
2060.0,39809263000000.0,40717863000000.0,36808906000000.0,37822930000000.0,41337190000000.0
2061.0,39581600000000.0,40510257000000.0,36385872000000.0,37580590000000.0,41144986000000.0
2062.0,39382946000000.0,40409880000000.0,36072403000000.0,37329083000000.0,41022164000000.0
2063.0,39171767000000.0,40216123000000.0,35761410000000.0,37017560000000.0,40869692000000.0
2064.0,38948265000000.0,40092310000000.0,35435586000000.0,36778338000000.0,40717334000000.0
2065.0,38704828000000.0,39882014000000.0,35197446000000.0,36520420000000.0,40597170000000.0
2066.0,38455443000000.0,39691620000000.0,34747045000000.0,36297377000000.0,40429480000000.0
2067.0,38195710000000.0,39582440000000.0,34140083000000.0,36065940000000.0,40311550000000.0
2068.0,37902910000000.0,39449860000000.0,33524552000000.0,35748347000000.0,40141720000000.0
2069.0,37561980000000.0,39336700000000.0,32966258000000.0,35476250000000.0,39957290000000.0
2070.0,37257360000000.0,39150124000000.0,32517395000000.0,35177724000000.0,39760207000000.0
2071.0,36891340000000.0,38911905000000.0,31986568000000.0,34943325000000.0,39611875000000.0
2072.0,36564013000000.0,38620600000000.0,31381225000000.0,34639645000000.0,39418970000000.0
2073.0,36265504000000.0,38394670000000.0,30929345000000.0,34350834000000.0,39292693000000.0
2074.0,35916960000000.0,38192330000000.0,30438752000000.0,34041100000000.0,39008797000000.0
2075.0,35466536000000.0,38006145000000.0,29920101000000.0,33726495000000.0,38806086000000.0
2076.0,35171015000000.0,37824888000000.0,29533485000000.0,33365862000000.0,38604106000000.0
2077.0,34884125000000.0,37573050000000.0,29053059000000.0,33036184000000.0,38391560000000.0
2078.0,34541387000000.0,37374050000000.0,28590232000000.0,32704767000000.0,38235577000000.0
2079.0,34189307000000.0,37142504000000.0,28193230000000.0,32350070000000.0,38078040000000.0
2080.0,33776820000000.0,36984470000000.0,27760982000000.0,32055740000000.0,37907377000000.0
2081.0,33427049000000.0,36753675000000.0,27245360000000.0,31735320000000.0,37708173000000.0
2082.0,33164560000000.0,36570715000000.0,26641344000000.0,31486646000000.0,37453830000000.0
2083.0,32785855000000.0,36280168000000.0,26066886000000.0,31216842000000.0,37256564000000.0
2084.0,32536485000000.0,36055567000000.0,25547028000000.0,30842880000000.0,37089780000000.0
2085.0,32188790000000.0,35809110000000.0,25069516000000.0,30515770000000.0,36881606000000.0
2086.0,31872898000000.0,35626780000000.0,24571530000000.0,30091980000000.0,36656283000000.0
2087.0,31529198000000.0,35361565000000.0,24056603000000.0,29691763000000.0,36493370000000.0
2088.0,31248815000000.0,35138290000000.0,23498995000000.0,29343514000000.0,36359826000000.0
2089.0,30960947000000.0,34921380000000.0,23005032000000.0,29001080000000.0,36132973000000.0
2090.0,30611796000000.0,34719744000000.0,22539880000000.0,28677853000000.0,35881380000000.0
2091.0,30269920000000.0,34518176000000.0,22041078000000.0,28372082000000.0,35673214000000.0
2092.0,29925281000000.0,34249466000000.0,21583570000000.0,28018213000000.0,35421860000000.0
2093.0,29556930000000.0,33917309000000.0,21148436000000.0,27640885000000.0,35163772000000.0
2094.0,29142473000000.0,33565257000000.0,20661433000000.0,27236783000000.0,34968644000000.0
2095.0,28814462000000.0,33246530000000.0,20095533000000.0,26789756000000.0,34699900000000.0
2096.0,28548383000000.0,32972740000000.0,19637576000000.0,26346959000000.0,34476887000000.0
2097.0,28195735000000.0,32645195000000.0,19221619000000.0,25975698000000.0,34238957000000.0
2098.0,27885650000000.0,32411153000000.0,18774994000000.0,25513301000000.0,34083577000000.0
2099.0,27633234000000.0,32224610000000.0,18248232000000.0,25115104000000.0,33848933000000.0
2100.0,27357782000000.0,31852760000000.0,17761833000000.0,24775037000000.0,33625974000000.0
