time,CESM1-CAM5,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0
2001.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0
2002.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0
2003.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0
2004.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0
2005.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0
2006.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0
2007.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0
2008.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0
2009.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0
2010.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0
2011.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0
2012.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0
2013.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0
2014.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0
2015.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0
2016.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0
2017.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0
2018.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0
2019.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0
2020.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0
2021.0,1093438100.0,1115704800.0,1101546800.0,1092670200.0
2022.0,1083244500.0,1139345200.0,1089871200.0,1101176700.0
2023.0,1069960450.0,1107204100.0,1076255200.0,1079398400.0
2024.0,1055960300.0,1095407700.0,1055561800.0,1070825860.0
2025.0,1086089300.0,1092282400.0,1035348600.0,1090193900.0
2026.0,1042072960.0,1076865900.0,1024329800.0,1062684540.0
2027.0,1029225860.0,1064343940.0,1031622850.0,1046481900.0
2028.0,1009559500.0,1051633900.0,1008991740.0,1031166200.0
2029.0,992920400.0,1036402240.0,986482370.0,1013346500.0
2030.0,986516800.0,1023831800.0,967410000.0,999613250.0
2031.0,979171000.0,1017897540.0,952396860.0,985216700.0
2032.0,966111500.0,1010515700.0,938827970.0,967850940.0
2033.0,953896900.0,999705500.0,936386370.0,946767550.0
2034.0,944245900.0,993979460.0,978598400.0,924414850.0
2035.0,934161860.0,979100100.0,920671000.0,903792300.0
2036.0,921266240.0,970717500.0,891145500.0,891904100.0
2037.0,908231230.0,961594750.0,885977540.0,876852540.0
2038.0,932239500.0,978315600.0,903129000.0,858953800.0
2039.0,896828100.0,959011840.0,949746050.0,848711600.0
2040.0,889375940.0,978652900.0,864462700.0,866765440.0
2041.0,883099140.0,939432900.0,858082370.0,830459300.0
2042.0,878300300.0,937227400.0,845384260.0,832046400.0
2043.0,865211140.0,981215400.0,826211460.0,814536600.0
2044.0,861793400.0,966925440.0,818026430.0,815008100.0
2045.0,855265150.0,936422660.0,811208640.0,829075300.0
2046.0,840368800.0,940345660.0,803197100.0,816285630.0
2047.0,832572740.0,931526500.0,789264260.0,789630660.0
2048.0,830448640.0,921159100.0,782741100.0,770122000.0
2049.0,819185340.0,910659500.0,801128200.0,761018700.0
2050.0,810273600.0,898064300.0,777837400.0,752742660.0
2051.0,809146940.0,892182850.0,767303200.0,745815940.0
2052.0,800677000.0,886781500.0,757214400.0,744901800.0
2053.0,787776200.0,873874500.0,752045900.0,737156700.0
2054.0,777644540.0,866825800.0,747073300.0,813354240.0
2055.0,765494460.0,857679700.0,740374140.0,767611600.0
2056.0,754075140.0,846930100.0,740100100.0,784044160.0
2057.0,740352200.0,836414000.0,728521400.0,738614460.0
2058.0,722307800.0,830443970.0,716226560.0,736948350.0
2059.0,706400600.0,816350140.0,707105540.0,758114100.0
2060.0,686221400.0,806875100.0,704808450.0,730600700.0
2061.0,662448200.0,787805440.0,695718140.0,723812300.0
2062.0,643326850.0,766550700.0,690383500.0,725935100.0
2063.0,626700350.0,759833500.0,754771840.0,719344200.0
2064.0,608162240.0,745097400.0,749629600.0,725819300.0
2065.0,584278500.0,737520800.0,685818750.0,720815300.0
2066.0,563674500.0,724193100.0,673794940.0,718700000.0
2067.0,555150140.0,802658940.0,664175170.0,763461760.0
2068.0,536202370.0,710159550.0,656009400.0,740197300.0
2069.0,520957920.0,695793600.0,660448060.0,739473600.0
2070.0,516222600.0,683807800.0,659483900.0,749693700.0
2071.0,507503580.0,673453250.0,640814340.0,726199700.0
2072.0,493934530.0,664483650.0,631227200.0,717423600.0
2073.0,481356770.0,677373060.0,620654100.0,777476030.0
2074.0,473356500.0,675193300.0,613946700.0,718279700.0
2075.0,466599520.0,671764500.0,620154050.0,710847500.0
2076.0,454876030.0,649636700.0,602833540.0,710625200.0
2077.0,447813020.0,637896640.0,590476900.0,704172800.0
2078.0,439518880.0,633190140.0,575429950.0,699864400.0
2079.0,433499040.0,637988160.0,561578750.0,697324540.0
2080.0,427629440.0,629251100.0,608206460.0,756708300.0
2081.0,417021200.0,619309500.0,588751550.0,711480770.0
2082.0,411448930.0,615829950.0,612746430.0,693509500.0
2083.0,403262660.0,611029000.0,564591500.0,757862660.0
2084.0,394345380.0,608152800.0,547901600.0,701052860.0
2085.0,385003300.0,603842560.0,540400100.0,687305800.0
2086.0,393171780.0,603622300.0,543385800.0,686295500.0
2087.0,384579800.0,601814100.0,540355800.0,715426900.0
2088.0,377031360.0,594758460.0,540615000.0,683522500.0
2089.0,373830400.0,590036600.0,526704000.0,680164400.0
2090.0,371886530.0,583378800.0,527581020.0,674648450.0
2091.0,399135230.0,579509570.0,572818200.0,670686700.0
2092.0,367702850.0,578560400.0,524118850.0,678541200.0
2093.0,363234850.0,574548200.0,518900740.0,682753100.0
2094.0,360373470.0,574090050.0,513331620.0,674067900.0
2095.0,356450430.0,574457100.0,508180200.0,671413950.0
2096.0,350585760.0,668530100.0,506609700.0,666271740.0
2097.0,346690140.0,571391740.0,501556160.0,668011000.0
2098.0,343230750.0,570642200.0,499247040.0,664982400.0
2099.0,411815970.0,566467800.0,492906780.0,661666500.0
2100.0,343930940.0,563688200.0,497351260.0,657945300.0
2101.0,338308600.0,559434700.0,492621000.0,653624400.0
2102.0,346122700.0,566346900.0,511171330.0,648823550.0
2103.0,335408640.0,559232260.0,485372770.0,646147000.0
2104.0,333275740.0,554196300.0,479320450.0,642449700.0
2105.0,329004860.0,554037760.0,472839550.0,638125630.0
2106.0,328287650.0,552089900.0,471700350.0,632794240.0
2107.0,436251300.0,583049300.0,470011620.0,630089100.0
2108.0,326930940.0,562280100.0,498797900.0,625147300.0
2109.0,324836030.0,553588600.0,466073730.0,618623900.0
2110.0,324516800.0,576994940.0,464216260.0,614842750.0
2111.0,321929600.0,551275140.0,464015580.0,605327100.0
