time,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0
2001.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0
2002.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0
2003.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0
2004.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0
2005.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0
2006.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0
2007.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0
2008.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0
2009.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0
2010.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0
2011.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0
2012.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0
2013.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0
2014.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0
2015.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0
2016.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0
2017.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0
2018.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0
2019.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0
2020.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0
2021.0,2915477500.0,2886444000.0,2898011600.0,2936954400.0,3003933200.0
2022.0,2910212600.0,2887864800.0,2887818000.0,3232960500.0,2970581800.0
2023.0,2906161200.0,2856179000.0,2885461200.0,2941599200.0,2959417900.0
2024.0,2898976800.0,2813144300.0,2874678800.0,2917574400.0,2880812800.0
2025.0,2910991600.0,2816603400.0,2881832700.0,2894721500.0,2856773400.0
2026.0,2874817500.0,2761431300.0,2869023700.0,2934209000.0,2815430400.0
2027.0,2856858000.0,2728298800.0,2823240000.0,2856397300.0,2781183500.0
2028.0,2837760500.0,2654689500.0,2791946200.0,2824185300.0,2772682200.0
2029.0,2901747000.0,2597138400.0,2984503000.0,2800611600.0,2754059300.0
2030.0,2862679600.0,2534350600.0,2858202400.0,2786560300.0,2700272400.0
2031.0,2794302200.0,2495509000.0,2762472700.0,2771814400.0,2682430700.0
2032.0,2786956300.0,2424510000.0,2749276700.0,2732289000.0,2648603100.0
2033.0,2784436200.0,2352583200.0,2699615500.0,2726804500.0,2621534500.0
2034.0,2767727000.0,2312395300.0,2669527800.0,2849068500.0,2574955500.0
2035.0,2706169600.0,2246851600.0,2644619300.0,2698837200.0,2516139000.0
2036.0,2672993500.0,2155360300.0,2681986800.0,2704442000.0,2517248500.0
2037.0,2713832200.0,2106092700.0,2622938000.0,2673983200.0,2618497000.0
2038.0,2612591900.0,2023026400.0,2611741200.0,2752400400.0,2418442000.0
2039.0,2586434000.0,1912425600.0,2547313200.0,2598307300.0,2428425500.0
2040.0,2536704800.0,1862111600.0,2516349200.0,2546811100.0,2349930800.0
2041.0,2495986400.0,1722358300.0,2455026000.0,2509881600.0,2292545500.0
2042.0,2479501000.0,1684710800.0,2640472300.0,2483078700.0,2217378000.0
2043.0,2414022700.0,1600103000.0,2388633600.0,2420531500.0,2181183200.0
2044.0,2369327600.0,1543328800.0,2328274200.0,2371722200.0,2091742800.0
2045.0,2336824800.0,1439329000.0,2341216800.0,2324964600.0,1999339500.0
2046.0,2300931000.0,1367544000.0,2292845800.0,2238739200.0,1922901200.0
2047.0,2264829400.0,1300687100.0,2268026000.0,2154879500.0,1855831200.0
2048.0,2232909800.0,1209278700.0,2280290800.0,2091985400.0,1770615700.0
2049.0,2230639000.0,1157454200.0,2198920400.0,2026117900.0,1688352800.0
2050.0,2166003200.0,1111799700.0,2133345000.0,1956584400.0,1627630500.0
2051.0,2186271500.0,1061844300.0,2108012400.0,1869419400.0,1568379500.0
2052.0,2088832100.0,996920300.0,2033779700.0,1795909600.0,1491927700.0
2053.0,2014264200.0,938053760.0,1960556900.0,1727496300.0,1443755600.0
2054.0,1974802000.0,884496260.0,1925747600.0,1671443500.0,1385396700.0
2055.0,1916590800.0,841452300.0,1862353500.0,1601507500.0,1332189200.0
2056.0,1894499300.0,782294400.0,1835748200.0,1528398200.0,1281626000.0
2057.0,1846786700.0,738407900.0,1780451800.0,1471022200.0,1257854000.0
2058.0,1913929000.0,681791500.0,1733961900.0,1397602200.0,1197273900.0
2059.0,2029394800.0,635152400.0,1688560100.0,1338880800.0,1186016000.0
2060.0,1764538400.0,604012100.0,1622996700.0,1285833300.0,1119428200.0
2061.0,1716550000.0,566616770.0,1588370200.0,1224256600.0,1080285800.0
