time,CANESM5,MRI-ESM2-0,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR
2000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0
2001.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0
2002.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0
2003.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0
2004.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0
2005.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0
2006.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0
2007.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0
2008.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0
2009.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0
2010.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0
2011.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0
2012.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0
2013.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0
2014.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0
2015.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0
2016.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0
2017.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0
2018.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0
2019.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0
2020.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0
2021.0,27000482000.0,26977864000.0,26767258000.0,26945735000.0,26877315000.0
2022.0,26747685000.0,26762744000.0,26609594000.0,26940367000.0,26784553000.0
2023.0,26645883000.0,26700870000.0,26491120000.0,26751994000.0,26665093000.0
2024.0,26465137000.0,26662783000.0,26325463000.0,26628946000.0,26818270000.0
2025.0,26351512000.0,26487759000.0,26157693000.0,26501167000.0,26473345000.0
2026.0,26223540000.0,26371236000.0,25924534000.0,26535220000.0,26266739000.0
2027.0,26073842000.0,26278484000.0,25728846000.0,26273907000.0,26145520000.0
2028.0,25791775000.0,26068960000.0,25843490000.0,26186287000.0,25976558000.0
2029.0,25615954000.0,25992405000.0,25450914000.0,26052670000.0,25766690000.0
2030.0,25576813000.0,25878014000.0,25247775000.0,25974710000.0,25523593000.0
2031.0,25290525000.0,25707643000.0,24984533000.0,25759558000.0,25546682000.0
2032.0,25046108000.0,25634656000.0,24750565000.0,25551300000.0,25138358000.0
2033.0,24860285000.0,25552140000.0,24590220000.0,25448251000.0,24879434000.0
2034.0,24886130000.0,25411965000.0,24397410000.0,25254345000.0,24705872000.0
2035.0,24473967000.0,25244463000.0,24008006000.0,25061610000.0,24455799000.0
2036.0,24300837000.0,25065884000.0,23650351000.0,24932979000.0,24225194000.0
2037.0,24067530000.0,24917946000.0,23364135000.0,24805335000.0,24029893000.0
2038.0,23783300000.0,24751485000.0,23100640000.0,24627405000.0,23742222000.0
2039.0,23516457000.0,24547068000.0,22786935000.0,24594682000.0,23491332000.0
2040.0,23291429000.0,24342310000.0,22482973000.0,24364276000.0,23377840000.0
2041.0,23063833000.0,24151914000.0,22172300000.0,23989336000.0,23176303000.0
2042.0,22824026000.0,24005026000.0,21767598000.0,23796000000.0,23002160000.0
2043.0,22574518000.0,23796937000.0,21433553000.0,23543771000.0,22668808000.0
2044.0,22394206000.0,23644025000.0,21052199000.0,23521270000.0,22404430000.0
2045.0,22114560000.0,23456926000.0,20724875000.0,23351190000.0,22640347000.0
2046.0,21801845000.0,23279094000.0,20340710000.0,23140766000.0,21964694000.0
2047.0,21528766000.0,23195077000.0,19879655000.0,22993730000.0,21752216000.0
2048.0,21284528000.0,22883338000.0,19530330000.0,22793202000.0,21441305000.0
2049.0,21010119000.0,22643276000.0,19217492000.0,22945980000.0,21181040000.0
2050.0,20805060000.0,22432737000.0,18928843000.0,22489182000.0,20955783000.0
2051.0,20607201000.0,22300387000.0,18592197000.0,22287270000.0,20818899000.0
2052.0,20275730000.0,22089240000.0,18103775000.0,22023473000.0,20632070000.0
2053.0,20025240000.0,21973223000.0,17789686000.0,21812675000.0,20407048000.0
2054.0,19784008000.0,21827863000.0,17481101000.0,21738744000.0,20207987000.0
2055.0,19522396000.0,21626276000.0,17224020000.0,21518210000.0,19924873000.0
2056.0,19322456000.0,21502853000.0,16978285000.0,21288344000.0,19726148000.0
2057.0,19058602000.0,21387362000.0,16741983000.0,21081223000.0,19472669000.0
2058.0,18776783000.0,21569978000.0,16540318000.0,20853658000.0,19225778000.0
2059.0,18611388000.0,21079857000.0,16388300000.0,20607343000.0,18994303000.0
2060.0,18438154000.0,20880083000.0,16083662000.0,20389112000.0,18882593000.0
2061.0,18265217000.0,20888445000.0,15849405000.0,20193833000.0,18641713000.0
2062.0,18025610000.0,20637045000.0,15749704000.0,20383638000.0,18411074000.0
2063.0,17801075000.0,20699007000.0,15352938000.0,19825783000.0,18251690000.0
2064.0,17757798000.0,20342387000.0,15171503000.0,19636177000.0,18074917000.0
2065.0,17468828000.0,20199230000.0,15096139000.0,19573004000.0,17851767000.0
2066.0,17225964000.0,20093788000.0,14886257000.0,19213044000.0,17708593000.0
2067.0,17079718000.0,19961590000.0,14693938000.0,19005209000.0,17538781000.0
2068.0,16900661000.0,19830819000.0,14512957000.0,18758922000.0,17343115000.0
2069.0,16682842000.0,19690815000.0,14374317000.0,18542035000.0,17134551000.0
2070.0,16546706000.0,19674270000.0,14176970000.0,18364297000.0,16944841000.0
2071.0,16417890000.0,19520006000.0,14015911000.0,18059700000.0,16921657000.0
2072.0,16261529000.0,19414462000.0,13829802000.0,17891516000.0,16690525000.0
2073.0,16033981000.0,19304225000.0,13621489000.0,17873052000.0,16604166000.0
2074.0,15871314000.0,19209263000.0,13424595000.0,17527304000.0,16519246000.0
2075.0,15747698000.0,19115070000.0,13523456000.0,17369238000.0,16271927000.0
2076.0,15618645000.0,18959604000.0,13567079000.0,17107496000.0,16180910000.0
2077.0,15537065000.0,19412845000.0,13237097000.0,16987914000.0,16054720000.0
2078.0,15426608000.0,18699278000.0,13144952000.0,16781484000.0,15916065000.0
2079.0,15268730000.0,18547780000.0,12835667000.0,16584390000.0,15844671000.0
2080.0,15166203000.0,18518383000.0,12769169000.0,16372525000.0,15946638000.0
2081.0,15119506000.0,18376970000.0,12812599000.0,16198670000.0,15850633000.0
2082.0,15000412000.0,18300610000.0,12745910000.0,15987872000.0,15584509000.0
2083.0,14980455000.0,18198505000.0,12533318000.0,15845406000.0,15489369000.0
2084.0,14674910000.0,18153372000.0,12481651000.0,15737100000.0,15375454000.0
2085.0,14647557000.0,17954046000.0,12401441000.0,15610279000.0,15273708000.0
2086.0,14699427000.0,17874143000.0,12287089000.0,15870824000.0,15170421000.0
2087.0,14508783000.0,18286283000.0,12220941000.0,16127091000.0,15061992000.0
2088.0,14354238000.0,17748322000.0,12092707000.0,16129819000.0,15298566000.0
2089.0,14267480000.0,17901122000.0,12092654000.0,15581848000.0,14978565000.0
2090.0,14229432000.0,17798167000.0,12009812000.0,15460121000.0,14815157000.0
2091.0,14333159000.0,17595374000.0,11896827000.0,15223050000.0,14807837000.0
2092.0,13974827000.0,17885917000.0,11874320000.0,15134452000.0,15006720000.0
2093.0,13871286000.0,17555320000.0,11772714000.0,14965688000.0,14971626000.0
2094.0,13828473000.0,17557737000.0,11664437000.0,14896158000.0,14716081000.0
2095.0,13677214000.0,17337627000.0,11535864000.0,14732063000.0,14602572000.0
2096.0,13621809000.0,17342884000.0,11596372000.0,14604500000.0,14532521000.0
2097.0,13507316000.0,17161535000.0,11673780000.0,14502143000.0,14498301000.0
2098.0,13467367000.0,17168901000.0,11342162000.0,14459775000.0,14562324000.0
2099.0,13418001000.0,17010747000.0,11223384000.0,14344079000.0,14309847000.0
2100.0,13436043000.0,16901488000.0,11090692000.0,14240355000.0,14287400000.0
