time,CANESM2,CNRM-CM5,GFDL-CM3,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR
2033.0,7055134400000.0,7103415000000.0,6986419000000.0,6952287500000.0,6985561000000.0,7148432000000.0,7090227000000.0,7070898000000.0,7022863500000.0,6955392300000.0,6919326500000.0
2034.0,7039303500000.0,7089195300000.0,6951774000000.0,6915729400000.0,6932214000000.0,7139723000000.0,7071965000000.0,7028423500000.0,6998623000000.0,6907910700000.0,6856985500000.0
2035.0,7025768000000.0,7068192300000.0,6919505000000.0,6895616000000.0,6906237700000.0,7130737300000.0,7059852500000.0,6992323700000.0,6976287000000.0,6863403000000.0,6817505000000.0
2036.0,7014599000000.0,7029312000000.0,6891443300000.0,6880441700000.0,6884078600000.0,7090413000000.0,7052598000000.0,6967874600000.0,6955561000000.0,6828606400000.0,6776979700000.0
2037.0,6982466000000.0,7018633000000.0,6853938400000.0,6863712700000.0,6853124000000.0,7059707300000.0,7049927700000.0,6937189500000.0,6928496000000.0,6774981700000.0,6735925000000.0
2038.0,6963072600000.0,7004848400000.0,6832687000000.0,6817397000000.0,6827831500000.0,7033204500000.0,7021927000000.0,6893232700000.0,6907272000000.0,6723081300000.0,6681892000000.0
2039.0,6940668000000.0,6969363500000.0,6809289000000.0,6774073000000.0,6803806500000.0,7005056000000.0,7006689000000.0,6869509000000.0,6891973400000.0,6683654400000.0,6644201000000.0
2040.0,6927563000000.0,6929650000000.0,6780734000000.0,6750755000000.0,6790727000000.0,6969025400000.0,6977229400000.0,6861545000000.0,6848074000000.0,6630269000000.0,6612069000000.0
2041.0,6896964000000.0,6910160400000.0,6752529000000.0,6720427400000.0,6778594500000.0,6961757700000.0,6957063000000.0,6840718500000.0,6824500000000.0,6576873000000.0,6555306000000.0
2042.0,6871369400000.0,6884413700000.0,6721488600000.0,6684358500000.0,6749308300000.0,6952098000000.0,6940780400000.0,6820737300000.0,6790608600000.0,6512995000000.0,6506631700000.0
2043.0,6821789000000.0,6870769600000.0,6683467700000.0,6662517700000.0,6722398000000.0,6951998600000.0,6927583500000.0,6774714000000.0,6737715000000.0,6459693000000.0,6462135300000.0
2044.0,6802590700000.0,6834797700000.0,6635689000000.0,6614551600000.0,6704646300000.0,6953635400000.0,6924665000000.0,6738638000000.0,6702793000000.0,6390372400000.0,6403764000000.0
2045.0,6788050600000.0,6809414300000.0,6597228000000.0,6580381700000.0,6666103000000.0,6953461000000.0,6906705300000.0,6716012400000.0,6659739000000.0,6324416000000.0,6370580000000.0
2046.0,6775592000000.0,6773511000000.0,6550450000000.0,6535657000000.0,6639600500000.0,6946968600000.0,6882923600000.0,6681775000000.0,6628822000000.0,6245317600000.0,6314847000000.0
2047.0,6761259000000.0,6750073000000.0,6503614000000.0,6494858000000.0,6625149600000.0,6944951000000.0,6865171000000.0,6657664000000.0,6602593700000.0,6191964500000.0,6272644500000.0
