time,IPSL-CM5A-LR,CESM1-CAM5,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,NORESM1-M,GFDL-CM3
2000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0
2001.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0
2002.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0
2003.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0
2004.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0
2005.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0
2006.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0
2007.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0
2008.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0
2009.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0
2010.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0
2011.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0
2012.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0
2013.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0
2014.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0
2015.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0
2016.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0
2017.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0
2018.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0
2019.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0
2020.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0
2021.0,7294094400000.0,7293018600000.0,7293840700000.0,7298288000000.0,7298719000000.0,7317581500000.0,7287207400000.0,7300774000000.0
2022.0,7282841000000.0,7266486500000.0,7278722300000.0,7272487500000.0,7277912000000.0,7289754400000.0,7270856000000.0,7283515000000.0
2023.0,7246828300000.0,7252633700000.0,7270071000000.0,7261525000000.0,7258842000000.0,7280857700000.0,7269553000000.0,7270493600000.0
2024.0,7229252600000.0,7223417000000.0,7262631000000.0,7263508500000.0,7240570400000.0,7259346000000.0,7263321000000.0,7241107000000.0
2025.0,7210298500000.0,7212724400000.0,7233397000000.0,7254231000000.0,7220163000000.0,7252182000000.0,7255901600000.0,7230455000000.0
2026.0,7189043000000.0,7195244600000.0,7214402600000.0,7240776000000.0,7215347000000.0,7216384000000.0,7221124500000.0,7209620600000.0
2027.0,7171183500000.0,7194613000000.0,7203540000000.0,7237322000000.0,7193039000000.0,7180251600000.0,7201729000000.0,7191320000000.0
2028.0,7180902700000.0,7186207500000.0,7192202000000.0,7220230600000.0,7193481000000.0,7154473400000.0,7180496400000.0,7163904000000.0
2029.0,7139791000000.0,7171024000000.0,7183352700000.0,7207723700000.0,7173415400000.0,7123989000000.0,7158893000000.0,7138943400000.0
2030.0,7157667000000.0,7142645000000.0,7155319000000.0,7187985300000.0,7147483600000.0,7098972000000.0,7148173500000.0,7094667000000.0
2031.0,7131882300000.0,7134237000000.0,7113047300000.0,7160954000000.0,7120665700000.0,7090059300000.0,7137129400000.0,7065117400000.0
2032.0,7127169000000.0,7125360700000.0,7087945400000.0,7124474700000.0,7096521000000.0,7075794500000.0,7105727000000.0,7039432500000.0
2033.0,7101867400000.0,7096281600000.0,7063577000000.0,7107834000000.0,7079867700000.0,7058342000000.0,7072091000000.0,7023726000000.0
2034.0,7065319000000.0,7083068500000.0,7038200400000.0,7114442000000.0,7062145000000.0,7027951000000.0,7045264000000.0,6979457600000.0
2035.0,7039930600000.0,7052354700000.0,7001971600000.0,7083415000000.0,7032098000000.0,7012247700000.0,7034295500000.0,6936748600000.0
2036.0,7022936000000.0,7014084000000.0,6979763300000.0,7044722600000.0,7013748000000.0,6989341000000.0,6998140600000.0,6891185000000.0
2037.0,7008596000000.0,6987397500000.0,6964045700000.0,6995914000000.0,7000645000000.0,6975149600000.0,6971570000000.0,6868392000000.0
2038.0,6971501600000.0,6966031000000.0,6928715500000.0,6980095700000.0,6998940700000.0,6957840700000.0,6930181400000.0,6831598000000.0
2039.0,6952568500000.0,6943604700000.0,6905894000000.0,6957273400000.0,6974279000000.0,6931981000000.0,6890043000000.0,6801896000000.0
2040.0,6916279000000.0,6908273000000.0,6872645000000.0,6948506000000.0,6966398700000.0,6908074000000.0,6877236700000.0,6765018600000.0
2041.0,6888134500000.0,6890046600000.0,6840979600000.0,6945933600000.0,6944561600000.0,6893413000000.0,6849620300000.0,6732940000000.0
2042.0,6861399500000.0,6854149700000.0,6823343000000.0,6924448000000.0,6920211000000.0,6865423400000.0,6803465000000.0,6678468600000.0
2043.0,6828714000000.0,6823094500000.0,6805774000000.0,6892787000000.0,6910359600000.0,6835580000000.0,6772798000000.0,6648221000000.0
2044.0,6799331700000.0,6775122000000.0,6758338000000.0,6874419000000.0,6887505400000.0,6806117500000.0,6739669300000.0,6595338000000.0
2045.0,6756887400000.0,6720759000000.0,6718632000000.0,6833996600000.0,6869418000000.0,6789098000000.0,6710649000000.0,6566773000000.0
2046.0,6681330000000.0,6663168300000.0,6694748300000.0,6813429000000.0,6857623000000.0,6768303000000.0,6673937000000.0,6519373000000.0
2047.0,6592182400000.0,6623931000000.0,6640631300000.0,6776779000000.0,6839351000000.0,6742406600000.0,6628197000000.0,6475925700000.0
2048.0,6540602400000.0,6615353000000.0,6623053000000.0,6754249700000.0,6821156000000.0,6726913000000.0,6608856300000.0,6435878000000.0
2049.0,6503935000000.0,6585333000000.0,6602659700000.0,6724291000000.0,6796845000000.0,6710834000000.0,6564570700000.0,6396318000000.0
2050.0,6431748000000.0,6541464300000.0,6569426000000.0,6695466000000.0,6773260400000.0,6653569000000.0,6522792300000.0,6366950300000.0
2051.0,6365110000000.0,6507891500000.0,6539350400000.0,6666388000000.0,6761780600000.0,6645264400000.0,6490143000000.0,6319751000000.0
2052.0,6291178000000.0,6472517000000.0,6512166000000.0,6647581000000.0,6746715700000.0,6615243000000.0,6441963400000.0,6293472400000.0
2053.0,6207171000000.0,6437604400000.0,6466232600000.0,6627585400000.0,6701569300000.0,6585858000000.0,6381518700000.0,6262444500000.0
2054.0,6152635500000.0,6385638600000.0,6408515000000.0,6585330000000.0,6676363000000.0,6554380700000.0,6334107400000.0,6230454000000.0
2055.0,6052761300000.0,6356353400000.0,6382171000000.0,6557241000000.0,6650645000000.0,6542284000000.0,6289998500000.0,6198299500000.0
2056.0,5939193700000.0,6331696700000.0,6355409700000.0,6516027000000.0,6630984000000.0,6505453000000.0,6245876000000.0,6158022000000.0
2057.0,5850817000000.0,6294216400000.0,6290961600000.0,6486311000000.0,6586413600000.0,6459800700000.0,6204973600000.0,6115343500000.0
2058.0,5772401000000.0,6245949400000.0,6270442500000.0,6459764500000.0,6553570600000.0,6440129000000.0,6179618000000.0,6065197000000.0
2059.0,5645863500000.0,6218523000000.0,6248195000000.0,6447146000000.0,6531333000000.0,6404179000000.0,6155336700000.0,6027121000000.0
2060.0,5542347500000.0,6163686000000.0,6224830500000.0,6434444000000.0,6518659400000.0,6366475300000.0,6129319400000.0,5994288500000.0
2061.0,5490284700000.0,6119870000000.0,6168765000000.0,6409956000000.0,6508369000000.0,6335417500000.0,6078291500000.0,5931389700000.0
2062.0,5403454700000.0,6067447000000.0,6117478000000.0,6366218000000.0,6482769000000.0,6315150000000.0,6037831000000.0,5864461000000.0
2063.0,5295393000000.0,6017561700000.0,6078947400000.0,6344359000000.0,6449045000000.0,6282319000000.0,6010241500000.0,5802762000000.0
2064.0,5202118000000.0,5964102600000.0,6033430000000.0,6325452000000.0,6426083700000.0,6241507600000.0,5978169300000.0,5746242600000.0
2065.0,5101023400000.0,5898445500000.0,6000951000000.0,6295825400000.0,6387308000000.0,6211831300000.0,5945985300000.0,5700372000000.0
2066.0,4992280000000.0,5846633000000.0,5984895000000.0,6282490700000.0,6361280000000.0,6185901000000.0,5922930300000.0,5657675700000.0
2067.0,4857907000000.0,5793984300000.0,5956094000000.0,6269963300000.0,6310236000000.0,6174224700000.0,5877785400000.0,5612055300000.0
2068.0,4740270000000.0,5745281000000.0,5882602000000.0,6226308000000.0,6272659000000.0,6132010000000.0,5835160300000.0,5565895000000.0
2069.0,4653310300000.0,5684213600000.0,5822745000000.0,6200861000000.0,6245088000000.0,6096678000000.0,5764256600000.0,5503708000000.0
2070.0,4562813500000.0,5601952300000.0,5740840400000.0,6176294600000.0,6200988000000.0,6061753000000.0,5701369000000.0,5443638000000.0
2071.0,4370324800000.0,5533881300000.0,5675136000000.0,6127698300000.0,6180375000000.0,6027617500000.0,5647745000000.0,5378217000000.0
2072.0,4239041200000.0,5458894000000.0,5631985600000.0,6114735300000.0,6140469000000.0,5987344300000.0,5596496500000.0,5319414500000.0
2073.0,4117850000000.0,5363517000000.0,5583536700000.0,6089441000000.0,6115021600000.0,5948442700000.0,5546854300000.0,5266491300000.0
2074.0,3923610400000.0,5283785500000.0,5526662400000.0,6067905000000.0,6097737000000.0,5888445000000.0,5480110400000.0,5200086000000.0
2075.0,3785422500000.0,5201328000000.0,5497941400000.0,6030226000000.0,6077890400000.0,5861266000000.0,5399897400000.0,5126719300000.0
2076.0,3661044000000.0,5117005000000.0,5454470600000.0,6000516000000.0,6056648000000.0,5832721000000.0,5326777000000.0,5052304000000.0
2077.0,3514608000000.0,5014837300000.0,5388388300000.0,5945967500000.0,6019498400000.0,5787994300000.0,5257053000000.0,4974056600000.0
2078.0,3416275800000.0,4925142000000.0,5331322000000.0,5923186700000.0,5991009000000.0,5745823000000.0,5203880000000.0,4908124700000.0
2079.0,3345816700000.0,4820777000000.0,5275061300000.0,5889096400000.0,5967631000000.0,5721811300000.0,5137542700000.0,4848176000000.0
2080.0,3250051400000.0,4707899000000.0,5179834000000.0,5862718400000.0,5924879600000.0,5680914000000.0,5077110000000.0,4768968000000.0
2081.0,3148115000000.0,4590633000000.0,5130110000000.0,5825604000000.0,5879759400000.0,5637026000000.0,5003736500000.0,4704919000000.0
2082.0,3065014600000.0,4486595000000.0,5057675000000.0,5792987600000.0,5844823400000.0,5600852300000.0,4944740000000.0,4635221300000.0
2083.0,2983380000000.0,4353074700000.0,4981487300000.0,5746991000000.0,5811611400000.0,5569167500000.0,4880599600000.0,4552023000000.0
2084.0,2894788800000.0,4205108800000.0,4924781400000.0,5715282400000.0,5772296600000.0,5535924500000.0,4806864300000.0,4469929000000.0
2085.0,2829500800000.0,4075996000000.0,4888113000000.0,5675831300000.0,5734340000000.0,5510801000000.0,4712957500000.0,4372551200000.0
2086.0,2764982700000.0,3934974600000.0,4839838000000.0,5633584000000.0,5698900000000.0,5460751000000.0,4642274500000.0,4294289000000.0
2087.0,2670254400000.0,3820838000000.0,4763840000000.0,5587458000000.0,5646809300000.0,5416584000000.0,4586104000000.0,4217983700000.0
2088.0,2616244000000.0,3713002600000.0,4694652000000.0,5562230000000.0,5582444600000.0,5344872400000.0,4496391000000.0,4139636200000.0
2089.0,2562171600000.0,3628410600000.0,4622330600000.0,5504565000000.0,5549996400000.0,5303608300000.0,4412268000000.0,4067091500000.0
2090.0,2510689000000.0,3526827200000.0,4567118000000.0,5454551300000.0,5519992000000.0,5257853700000.0,4309063800000.0,3999488800000.0
2091.0,2455549800000.0,3425891500000.0,4501040300000.0,5428220500000.0,5479033500000.0,5197929600000.0,4219243900000.0,3938286600000.0
