time,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2,CANESM5
2000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0
2001.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0
2002.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0
2003.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0
2004.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0
2005.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0
2006.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0
2007.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0
2008.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0
2009.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0
2010.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0
2011.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0
2012.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0
2013.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0
2014.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0
2015.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0
2016.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0
2017.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0
2018.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0
2019.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0
2020.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0
2021.0,13637340000.0,13629127000.0,13620877000.0,13589668000.0,13619433000.0,13741105000.0
2022.0,13505721000.0,13550479000.0,13462280000.0,13460105000.0,13493695000.0,13717147000.0
2023.0,13451814000.0,13376729000.0,13353715000.0,13345461000.0,13402533000.0,13621971000.0
2024.0,13311242000.0,13221701000.0,13207077000.0,13174702000.0,13300774000.0,13498897000.0
2025.0,13242590000.0,13074838000.0,13047204000.0,13026303000.0,13121938000.0,13351098000.0
2026.0,13037892000.0,12922724000.0,12899750000.0,12921478000.0,12898540000.0,13278326000.0
2027.0,12852771000.0,12716923000.0,12684747000.0,12722847000.0,12710955000.0,13062583000.0
2028.0,12677361000.0,12494728000.0,12530378000.0,12571435000.0,12517508000.0,12907995000.0
2029.0,12531196000.0,12324306000.0,12425334000.0,12539815000.0,12334877000.0,12665356000.0
2030.0,12283252000.0,12153665000.0,12211660000.0,12296220000.0,12235947000.0,12539090000.0
2031.0,12099907000.0,11958253000.0,12020381000.0,12135432000.0,12003472000.0,12368726000.0
2032.0,11878720000.0,11763020000.0,11792356000.0,12001185000.0,11775600000.0,12145047000.0
2033.0,11633947000.0,11523047000.0,11628376000.0,11772519000.0,11607348000.0,11900560000.0
