time,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,CESM2-WACCM
2039.0,10808309000.0,9867257000.0,9645131000.0,10238473000.0
2040.0,10635008000.0,9865998000.0,9387465000.0,10058778000.0
2041.0,10427638000.0,9479118000.0,9109754000.0,9788089000.0
2042.0,10182327000.0,9189524000.0,8891427000.0,9606582000.0
2043.0,9917523000.0,8896357000.0,8667155000.0,9384078000.0
2044.0,9679425000.0,8657107000.0,8358945300.0,9204156000.0
2045.0,9505539000.0,8387884500.0,8093377000.0,9006150000.0
2046.0,9265751000.0,8226982400.0,7808144400.0,8778701000.0
2047.0,9042305000.0,7910594000.0,7540558300.0,8639954000.0
2048.0,8784170000.0,8189219300.0,7202371000.0,8419262000.0
2049.0,8614849000.0,7502933500.0,6937920000.0,8249605600.0
2050.0,8381005000.0,7261863000.0,6620278300.0,8043629600.0
2051.0,8174689000.0,7151515000.0,6387615000.0,7814508500.0
2052.0,8108940000.0,6817292000.0,6096196600.0,7625460000.0
2053.0,7803465700.0,6598647300.0,5819936300.0,7440213000.0
2054.0,7672765400.0,6504801300.0,5710846500.0,7217854500.0
2055.0,7428182000.0,6361984500.0,5472922000.0,7022194700.0
2056.0,7303253000.0,6105903000.0,5366296000.0,6877294000.0
2057.0,7037978600.0,5894972000.0,5205482000.0,6749692000.0
2058.0,6814128600.0,5751593000.0,5036953600.0,6521904000.0
2059.0,6628227000.0,5558918700.0,4845063700.0,6417587000.0
2060.0,6406871000.0,5579601400.0,4711297500.0,6180662000.0
2061.0,6195946000.0,5309468700.0,4602758000.0,6037181400.0
2062.0,6016946700.0,5222658000.0,4509793300.0,5888048000.0
2063.0,5846670300.0,5049956000.0,4450884000.0,5715798500.0
2064.0,5918089000.0,4931651600.0,4504616400.0,5662975500.0
2065.0,5568685600.0,4794703400.0,4379968000.0,5461952000.0
2066.0,5288035000.0,4859726300.0,4275630600.0,5327336400.0
2067.0,4957982700.0,4579613700.0,4336497000.0,5186428000.0
2068.0,4721717000.0,4464449000.0,4262439000.0,5099063000.0
2069.0,4892513300.0,4348040700.0,4268820500.0,4992008000.0
2070.0,4350263000.0,4344248000.0,4125450500.0,4926096400.0
2071.0,4238565000.0,4164040000.0,4104817200.0,4781850600.0
2072.0,4068495400.0,4167036200.0,4057663700.0,4693833000.0
2073.0,3883246600.0,4028848000.0,4067646000.0,4584682500.0
2074.0,3869692700.0,4088258600.0,4016361000.0,4573154000.0
2075.0,3754848300.0,3898354400.0,4065462300.0,4503924700.0
2076.0,3882583800.0,3819782100.0,4004146400.0,4377562000.0
2077.0,3775293400.0,3725750500.0,4024327200.0,4313140700.0
2078.0,3482443000.0,3780603000.0,3944605400.0,4366352000.0
2079.0,4059228000.0,3644537900.0,3995108600.0,4237807900.0
2080.0,4287103500.0,3635662600.0,3929305900.0,4175488300.0
2081.0,4040450600.0,3642236700.0,3940008400.0,4140835300.0
2082.0,3984462800.0,3642281500.0,3922646800.0,4183772000.0
2083.0,3890456300.0,3952420600.0,3905456400.0,4064115500.0
2084.0,3876066300.0,3814691300.0,3917254400.0,4012873200.0
2085.0,3600655000.0,3746098200.0,4036876500.0,4076467200.0
2086.0,3793687600.0,3663247000.0,3990651100.0,3984494000.0
2087.0,3694981600.0,3682084400.0,4064653600.0,3953727500.0
2088.0,3694422800.0,3786902800.0,4152842000.0,4006512000.0
2089.0,3792986600.0,3673091600.0,4119036200.0,4054998800.0
2090.0,3684875300.0,3639727400.0,4084027600.0,4205404400.0
2091.0,3782233300.0,3648448000.0,4220910800.0,4117083100.0
2092.0,3811579000.0,3581491200.0,4172863700.0,3954791000.0
2093.0,3934333200.0,3737041200.0,4125067500.0,3905280800.0
2094.0,3777386800.0,3586088700.0,4154789600.0,4121945300.0
2095.0,3762015700.0,3561085700.0,4119689700.0,4100686000.0
2096.0,3840895500.0,3536361700.0,4271907800.0,4031129900.0
2097.0,3774518800.0,3550678000.0,4422311000.0,3907214000.0
2098.0,3662558200.0,3588570000.0,4221299500.0,3886830600.0
2099.0,3642182100.0,3610211600.0,4263452200.0,3956057600.0
2100.0,3597280800.0,3540038400.0,4311973400.0,3949455600.0
2101.0,3466858800.0,4117039900.0,4464749000.0,3924459500.0
2102.0,3450051600.0,3782601700.0,4333209000.0,3965911800.0
2103.0,3395796000.0,3713874000.0,4316628500.0,3915353300.0
2104.0,3444287200.0,4889651000.0,4355288600.0,3852591900.0
2105.0,3413712100.0,3981555000.0,4331020000.0,3882978800.0
2106.0,3310496500.0,4037777000.0,4420110300.0,3871677400.0
2107.0,3229785000.0,4287236600.0,4783885300.0,3931012000.0
2108.0,3244542700.0,4058853600.0,4713823700.0,4197575400.0
2109.0,3674969900.0,3968313000.0,4619084300.0,4011606000.0
2110.0,4207006700.0,4050525200.0,4700640000.0,3998074600.0
2111.0,3600139000.0,4008753400.0,4634662000.0,4090533000.0
2112.0,3605620000.0,4101754600.0,4571515400.0,4079008500.0
2113.0,3388626200.0,4059967000.0,4507975000.0,4087214800.0
2114.0,3387322000.0,4128206300.0,6053285000.0,4082965500.0
2115.0,4055056400.0,4125741800.0,5527179000.0,4149589500.0
2116.0,4233969200.0,4471861000.0,5074210300.0,4183782000.0
2117.0,3863973400.0,4284251600.0,4893234700.0,4462049300.0
2118.0,3547568600.0,4390436400.0,4730224600.0,4233251800.0
2119.0,3431777000.0,4314060000.0,4969724000.0,5255253000.0
2120.0,3905809200.0,5204817400.0,5547242500.0,4489357300.0
2121.0,3876337400.0,4721808000.0,5182769700.0,4423710000.0
2122.0,3540341000.0,4589362000.0,5264856000.0,4374514700.0
2123.0,3514841900.0,4679836000.0,5239461000.0,4357153300.0
2124.0,3529600000.0,4421725700.0,4972696600.0,4419283000.0
2125.0,4344588000.0,4563174000.0,5270075000.0,4474670600.0
2126.0,3920226800.0,5117965000.0,5167176700.0,4461469000.0
2127.0,3907189500.0,5441297000.0,5211828000.0,4468187000.0
2128.0,3944924200.0,5029671400.0,5043833300.0,4431940000.0
2129.0,4241455000.0,4684925000.0,5696626000.0,4524865500.0
2130.0,4290818800.0,4566586400.0,5553872000.0,4483492400.0
2131.0,4523150300.0,5634422300.0,5335391700.0,4547122000.0
2132.0,4301324000.0,4805779500.0,5322767400.0,4684214000.0
2133.0,4211516000.0,4672101000.0,5684000300.0,4479607000.0
2134.0,4275614000.0,6506075000.0,5405710000.0,4640896000.0
2135.0,4177356300.0,5230059000.0,5673386000.0,4666429400.0
2136.0,4151500500.0,6055977000.0,5469555000.0,4728739000.0
2137.0,4154796300.0,6133283000.0,5938379300.0,4537068500.0
2138.0,4135020300.0,5478115300.0,6413052400.0,4736625700.0
2139.0,4138729200.0,5466263000.0,5957034000.0,4656290000.0
2140.0,4171092500.0,5251429400.0,5838829000.0,4556530000.0
2141.0,4247647200.0,5496217600.0,5725333500.0,4580185000.0
2142.0,4674454500.0,5192020000.0,5922104300.0,4882032000.0
2143.0,4356313000.0,5108462600.0,6694351400.0,4756513300.0
2144.0,4358288400.0,5437618000.0,5902243300.0,4851830300.0
2145.0,4929564000.0,5396096000.0,6343246000.0,4635368000.0
2146.0,5045360000.0,5395829000.0,6048921000.0,4601477600.0
2147.0,4758728000.0,5171574300.0,6413829600.0,4794279400.0
2148.0,4814964000.0,5252057600.0,6389170000.0,4592204300.0
2149.0,5388330000.0,6798200000.0,7100666000.0,4676655600.0
2150.0,5102437400.0,5641390000.0,6581479400.0,4808635000.0
2151.0,4954292700.0,7452117500.0,6169592300.0,4759495000.0
2152.0,4916436500.0,6125269500.0,6092204500.0,4621936600.0
2153.0,4932605400.0,6404654000.0,6522634000.0,4597474000.0
2154.0,4981102600.0,6057504000.0,6230958000.0,4611948500.0
2155.0,5245330400.0,6290103300.0,6722540500.0,4757155000.0
2156.0,5009455600.0,5891817500.0,6331030000.0,4634095000.0
2157.0,5095799300.0,6068098600.0,6291340300.0,4796461600.0
2158.0,5169927700.0,5829239000.0,6482080300.0,5107792000.0
2159.0,5351699000.0,6474875400.0,6557661000.0,4993305600.0
2160.0,5392805000.0,6460853000.0,6314051000.0,4952704000.0
2161.0,5509921300.0,7860079000.0,6776187400.0,4786067500.0
2162.0,5357137400.0,6448134700.0,7984475000.0,5156864500.0
2163.0,5245039600.0,6429799000.0,7863423000.0,5114831400.0
2164.0,5319200300.0,6195009000.0,7243182000.0,4952570400.0
2165.0,5618124300.0,6153211000.0,6920472000.0,5152908300.0
2166.0,5578616300.0,6343382500.0,7743237000.0,5020005000.0
2167.0,5875107000.0,6465434000.0,7186218500.0,4890163700.0
2168.0,5664556500.0,6337623600.0,6980185000.0,5263534600.0
2169.0,6651465700.0,6335358000.0,6965554000.0,4968115000.0
2170.0,5747021300.0,6376122000.0,7206317000.0,5065848000.0
2171.0,5564993000.0,6336824000.0,7091626000.0,5148800000.0
2172.0,5600659000.0,6393692000.0,7365461000.0,4895522300.0
2173.0,5659164700.0,6368553500.0,7480294000.0,5275241500.0
2174.0,5785052700.0,6544082000.0,7575026000.0,5272270300.0
2175.0,5597226000.0,6538190300.0,7504673000.0,5021627400.0
2176.0,5612171300.0,7142003700.0,7684451300.0,5951272000.0
2177.0,5591205000.0,6985582600.0,7621727700.0,5043408000.0
2178.0,6144310000.0,6956514300.0,7347577300.0,4948620300.0
2179.0,5804809700.0,7501301000.0,7671085600.0,5280956400.0
2180.0,6000234000.0,6993195500.0,7629619000.0,4997418000.0
2181.0,5768218600.0,6939198500.0,7871149000.0,4977802000.0
2182.0,5655108600.0,6953303000.0,7504255000.0,4997919000.0
2183.0,5978388000.0,8738866000.0,7823620000.0,5488839700.0
2184.0,5875629600.0,7486232600.0,7816542700.0,5243908600.0
2185.0,6174911500.0,7434125000.0,7518848500.0,5511366700.0
2186.0,5777698300.0,7810412500.0,7457363500.0,5154205700.0
2187.0,6384933000.0,7416457000.0,7568834000.0,5109994500.0
2188.0,5972176400.0,7274002400.0,7594162000.0,5182921700.0
