time,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26674647000000.0,26683490000000.0,26742840000000.0,26706421000000.0
2022.0,26631928000000.0,26584461000000.0,26727653000000.0,26631861000000.0
2023.0,26612802000000.0,26504680000000.0,26733573000000.0,26684680000000.0
2024.0,26565686000000.0,26473052000000.0,26670019000000.0,26662092000000.0
2025.0,26525624000000.0,26349463000000.0,26562154000000.0,26652400000000.0
2026.0,26524825000000.0,26326537000000.0,26558587000000.0,26662261000000.0
2027.0,26448499000000.0,26238857000000.0,26530850000000.0,26643987000000.0
2028.0,26333256000000.0,26183494000000.0,26610124000000.0,26600300000000.0
2029.0,26348475000000.0,26156068000000.0,26597540000000.0,26613425000000.0
2030.0,26338579000000.0,26034877000000.0,26499489000000.0,26585320000000.0
2031.0,26304090000000.0,25920092000000.0,26431883000000.0,26547994000000.0
2032.0,26257253000000.0,25788430000000.0,26400518000000.0,26529537000000.0
2033.0,26235063000000.0,25668759000000.0,26354072000000.0,26507397000000.0
2034.0,26162256000000.0,25635915000000.0,26250240000000.0,26423736000000.0
2035.0,26124518000000.0,25537181000000.0,26145225000000.0,26290587000000.0
