time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0
2001.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0
2002.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0
2003.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0
2004.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0
2005.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0
2006.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0
2007.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0
2008.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0
2009.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0
2010.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0
2011.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0
2012.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0
2013.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0
2014.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0
2015.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0
2016.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0
2017.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0
2018.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0
2019.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0
2020.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0
2021.0,26995708000.0,26859436000.0,26891475000.0,27054395000.0,26848506000.0,26924644000.0,26880023000.0,26878097000.0,26858725000.0,27067994000.0
2022.0,26845923000.0,26744816000.0,26776502000.0,26970507000.0,26739292000.0,26829312000.0,26733707000.0,26912410000.0,26787723000.0,26822080000.0
2023.0,26707184000.0,26650757000.0,26728813000.0,26803196000.0,26673950000.0,26673377000.0,26637486000.0,26727264000.0,26795735000.0,26633430000.0
2024.0,26716127000.0,26549901000.0,26576493000.0,26575604000.0,26523415000.0,26631430000.0,26483597000.0,26731205000.0,26607129000.0,26500358000.0
2025.0,26516042000.0,26403697000.0,26410965000.0,26443096000.0,26479305000.0,26533790000.0,26388042000.0,26437036000.0,26489720000.0,26485944000.0
2026.0,26350516000.0,26241356000.0,26365186000.0,26286390000.0,26347014000.0,26511282000.0,26257246000.0,26289800000.0,26404495000.0,26303842000.0
2027.0,26252745000.0,26081085000.0,26150920000.0,26141342000.0,26341490000.0,26330608000.0,26134813000.0,26100027000.0,26293735000.0,26126174000.0
2028.0,26179058000.0,25969908000.0,26017935000.0,26003630000.0,26132924000.0,26251942000.0,25911738000.0,25809910000.0,26086822000.0,26101400000.0
2029.0,25980264000.0,25837910000.0,25897757000.0,25860934000.0,26112997000.0,26022736000.0,25724715000.0,25690644000.0,25923582000.0,25854355000.0
2030.0,25934096000.0,25718220000.0,25689140000.0,25789204000.0,25938420000.0,25886380000.0,25516794000.0,25414275000.0,25756172000.0,25687110000.0
2031.0,25787914000.0,25553560000.0,25560398000.0,25646567000.0,25752814000.0,25835012000.0,25295831000.0,25267655000.0,25643530000.0,25600563000.0
2032.0,25655894000.0,25500414000.0,25537118000.0,25519804000.0,25634742000.0,25734430000.0,25003481000.0,25264005000.0,25540743000.0,25506680000.0
2033.0,25545298000.0,25260240000.0,25337895000.0,25304656000.0,25518422000.0,25609419000.0,24736980000.0,24890604000.0,25348950000.0,25275578000.0
2034.0,25519993000.0,25112713000.0,25189480000.0,25141152000.0,25340990000.0,25358156000.0,24504216000.0,24657107000.0,25211224000.0,25074133000.0
2035.0,25325128000.0,25027869000.0,24991437000.0,24936229000.0,25295852000.0,25211685000.0,24266344000.0,24407276000.0,25107464000.0,24847737000.0
2036.0,25183910000.0,24884460000.0,24801386000.0,24748993000.0,25061118000.0,25015435000.0,24057758000.0,24123165000.0,24829968000.0,24689263000.0
2037.0,25111384000.0,24689394000.0,24579017000.0,24580780000.0,24933155000.0,24875235000.0,23806693000.0,23813698000.0,24602409000.0,24556972000.0
2038.0,25027045000.0,24459344000.0,24415803000.0,24284168000.0,24799164000.0,24702271000.0,23527846000.0,23579597000.0,24552522000.0,24408058000.0
2039.0,24734966000.0,24246780000.0,24241340000.0,24106971000.0,24700920000.0,24511144000.0,23261422000.0,23331785000.0,24295789000.0,24230095000.0
2040.0,24580176000.0,23931822000.0,24028959000.0,23903318000.0,24449524000.0,24421487000.0,23033561000.0,22835737000.0,24083278000.0,24047909000.0
