time,MRI-ESM2-0,CANESM5,CESM2-WACCM,ACCESS-CM2,ACCESS-ESM1-5,IPSL-CM6A-LR
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51497066000.0,51490193000.0,51547587000.0,51571690000.0,51502060000.0,51505218000.0
2022.0,51479290000.0,51467310000.0,51495140000.0,51535364000.0,51486794000.0,51487620000.0
2023.0,51426710000.0,51414655000.0,51468317000.0,51481092000.0,51465314000.0,51469680000.0
2024.0,51372280000.0,51342880000.0,51470370000.0,51477012000.0,51461845000.0,51438710000.0
2025.0,51341810000.0,51297436000.0,51443565000.0,51408994000.0,51435864000.0,51401710000.0
2026.0,51320717000.0,51219190000.0,51414946000.0,51407323000.0,51400073000.0,51395383000.0
2027.0,51283583000.0,51136620000.0,51390390000.0,51401077000.0,51374952000.0,51358118000.0
2028.0,51247560000.0,51018596000.0,51392295000.0,51365904000.0,51360400000.0,51315680000.0
2029.0,51218063000.0,50900185000.0,51355558000.0,51358257000.0,51357660000.0,51304276000.0
