time,MRI-ESM2-0,GFDL-ESM4,CESM2,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
2015.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0
2016.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0
2017.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0
2018.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0
2019.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0
2020.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0
2021.0,1934271100.0,1915073300.0,1924846700.0,1914734000.0,1922156900.0,1899333000.0,1897473800.0,1919550300.0,1925254900.0,1935057400.0,1933380600.0,1960170600.0,1911971500.0
2022.0,1913130600.0,1888801000.0,1898287900.0,1887884800.0,1904006500.0,1909485300.0,1875332400.0,1911086300.0,1915776800.0,1939422200.0,1897876400.0,1910713300.0,1880260700.0
2023.0,1872815400.0,1875391500.0,1879528300.0,1858293100.0,1869153400.0,1920941200.0,1853821800.0,1893400300.0,1880811400.0,1888900500.0,2187867400.0,1875385200.0,1855862400.0
2024.0,1820772400.0,1837316000.0,1824155400.0,1822608900.0,1824111500.0,1848488400.0,1884624800.0,1843117700.0,1834018600.0,1859609200.0,1966302200.0,1842069100.0,1813270500.0
2025.0,1782981500.0,1814649200.0,1812294300.0,1816519200.0,1788780500.0,1790216000.0,1812087400.0,1864844800.0,1813266000.0,1838914800.0,1928187800.0,1836692000.0,1777186600.0
2026.0,1722580600.0,1819851300.0,1766809200.0,1804798800.0,1795007500.0,1825157900.0,1778448000.0,1832159600.0,1765188900.0,1788881900.0,1874384300.0,1819042000.0,1752943100.0
2027.0,1673765900.0,1814935300.0,1705184500.0,1761467800.0,1728805000.0,1736961200.0,1731153000.0,1784876000.0,1733383600.0,1739404800.0,1839579500.0,1789365900.0,1718889600.0
2028.0,1643296800.0,1756706000.0,1664591500.0,1687789400.0,1703317000.0,1699707500.0,1699573200.0,1743352800.0,1665359900.0,1823886800.0,1802258700.0,1744587000.0,1658090000.0
2029.0,1632262400.0,1727572000.0,1606550300.0,1641205800.0,1671199200.0,1851848800.0,1689335200.0,1756563300.0,1608557400.0,1691688200.0,1769380500.0,1733347500.0,1610306800.0
2030.0,1569013000.0,1697931900.0,1567681000.0,1578176000.0,1635855200.0,1762546700.0,1647585200.0,1693254300.0,1608365200.0,1640268400.0,1745540100.0,1697834000.0,1547408100.0
2031.0,1525358500.0,1704166800.0,1529516300.0,1547655200.0,1572348700.0,1618780200.0,1579754600.0,1836638200.0,1549463400.0,1609887900.0,1720004700.0,1671775200.0,1482028500.0
