time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
2015.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0
2016.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0
2017.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0
2018.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0
2019.0,1963522400.0,1963522400.0,1963522400.0,1963522400.0
2020.0,1948503200.0,1948503200.0,1948503200.0,1948503200.0
2021.0,1958698000.0,1920198400.0,1955286300.0,1923373200.0
2022.0,1888603500.0,1877325600.0,1930427900.0,1886931300.0
2023.0,1877117800.0,1862269400.0,1937996700.0,1878939500.0
2024.0,1822766300.0,1913031000.0,1883227300.0,1830454500.0
2025.0,1811477400.0,1816187600.0,2048236700.0,1790810900.0
2026.0,1776679200.0,1777130900.0,1890568000.0,1745142100.0
2027.0,1739330600.0,1755043500.0,1827273200.0,1712245500.0
2028.0,1714303500.0,1699565400.0,1751663900.0,1658568600.0
2029.0,1695506300.0,1683293600.0,1722100500.0,1610405500.0
2030.0,1650556200.0,1630253400.0,1704402600.0,1573902100.0
2031.0,1595550500.0,1632400600.0,1653043000.0,1474269600.0
2032.0,1691790200.0,1635181700.0,1589034600.0,1415676400.0
2033.0,1552142200.0,1526888800.0,1569565400.0,1335276200.0
2034.0,1475961000.0,1463168900.0,1536796800.0,1297049200.0
2035.0,1430470800.0,1383484800.0,1625331800.0,1254559200.0
2036.0,1370809700.0,1343016700.0,1490493000.0,1194299600.0
2037.0,1306266100.0,1313341800.0,1451481700.0,1110678300.0
2038.0,1260165000.0,1246946300.0,1397777400.0,1051684030.0
2039.0,1199432800.0,1207606800.0,1336366800.0,983205060.0
2040.0,1163568100.0,1179331100.0,1295059300.0,930017600.0
2041.0,1122099100.0,1144784100.0,1244283800.0,870260700.0
2042.0,1143054300.0,1107481300.0,1182247600.0,800840100.0
2043.0,1087247900.0,1066922940.0,1152415500.0,768336400.0
2044.0,1051190300.0,1028171260.0,1119479000.0,735163300.0
2045.0,1002055400.0,963824200.0,1084032400.0,701946240.0
2046.0,966911700.0,908722370.0,1046666500.0,677271040.0
2047.0,904445250.0,866646500.0,998447100.0,649509800.0
2048.0,907045440.0,801622500.0,975230700.0,619289600.0
2049.0,830844350.0,759926400.0,913369800.0,577380100.0
2050.0,785513340.0,699201300.0,874728100.0,542060540.0
2051.0,735104060.0,655623040.0,861870000.0,508465340.0
2052.0,689903800.0,640479550.0,828308800.0,485463400.0
2053.0,682212160.0,595789100.0,801473500.0,470296100.0
2054.0,629170400.0,560725760.0,779858800.0,437051040.0
2055.0,597840700.0,536728930.0,741791000.0,412504160.0
2056.0,572400800.0,496099550.0,704807000.0,393354500.0
2057.0,531891140.0,468300300.0,670236400.0,371494400.0
2058.0,505928500.0,438069700.0,635955200.0,359668220.0
2059.0,482796200.0,419277250.0,603041000.0,345598430.0
2060.0,447020480.0,393237200.0,592416800.0,334812700.0
2061.0,415561760.0,369478000.0,597074940.0,324714850.0
2062.0,394926820.0,349666180.0,558637630.0,317507870.0
