time,BCC-CSM2-MR,FGOALS-F3-L,CESM2,GFDL-ESM4,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR,NORESM2-MM,CAMS-CSM1-0,CESM2-WACCM,EC-EARTH3,EC-EARTH3-VEG,INM-CM4-8,INM-CM5-0
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
