time,MPI-ESM1-2-HR,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM4-8,INM-CM5-0,CANESM5,GFDL-ESM4,ACCESS-ESM1-5,EC-EARTH3-VEG,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CESM2,ACCESS-CM2
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51554640000.0,51584360000.0,51545768000.0,51590504000.0,51577074000.0,51582775000.0,51557212000.0,51631630000.0,51552710000.0,51586613000.0,51549987000.0,51582796000.0,51580543000.0,51592070000.0,51579265000.0,51582760000.0,51578740000.0
2022.0,51539137000.0,51577774000.0,51523154000.0,51578315000.0,51558662000.0,51583807000.0,51533914000.0,51540170000.0,51533033000.0,51561165000.0,51501404000.0,51550330000.0,51542610000.0,51582644000.0,51531936000.0,51572945000.0,51554850000.0
2023.0,51526750000.0,51541250000.0,51483922000.0,51578520000.0,51536730000.0,51584225000.0,51518680000.0,51702084000.0,51521370000.0,51596755000.0,51431944000.0,51542737000.0,51550392000.0,51551744000.0,51513692000.0,51547525000.0,51532354000.0
2024.0,51516715000.0,51525054000.0,51447700000.0,51553560000.0,51534426000.0,51540062000.0,51488068000.0,51492545000.0,51504787000.0,51557257000.0,51417490000.0,51521510000.0,51517250000.0,51516570000.0,51477160000.0,51533214000.0,51510387000.0
2025.0,51579195000.0,51491262000.0,51404087000.0,51557720000.0,51515870000.0,51545604000.0,51467040000.0,51452250000.0,51480576000.0,51515195000.0,51393307000.0,51506786000.0,51491590000.0,51560382000.0,51469476000.0,51513990000.0,51505420000.0
2026.0,51475165000.0,51468714000.0,51383456000.0,51536396000.0,51502313000.0,51534684000.0,51442140000.0,51386380000.0,51475970000.0,51492848000.0,51344660000.0,51488480000.0,51479310000.0,51532763000.0,51440198000.0,51475616000.0,51488220000.0
2027.0,51459408000.0,51453428000.0,51344294000.0,51525403000.0,51462980000.0,51513670000.0,51402620000.0,51335800000.0,51450920000.0,51453465000.0,51306540000.0,51463240000.0,51459658000.0,51492344000.0,51424490000.0,51465090000.0,51447325000.0
2028.0,51430130000.0,51416530000.0,51309887000.0,51628663000.0,51451940000.0,51578750000.0,51380146000.0,51258278000.0,51418743000.0,51448713000.0,51273500000.0,51458638000.0,51437527000.0,51469693000.0,51408390000.0,51447900000.0,51432034000.0
