time,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51573900000.0,51578737000.0,51583635000.0,51578614000.0
2022.0,51550446000.0,51545330000.0,51576877000.0,51565950000.0
2023.0,51519710000.0,51513668000.0,51565220000.0,51515007000.0
2024.0,51498940000.0,51504180000.0,51540136000.0,51487904000.0
2025.0,51456540000.0,51537830000.0,51528910000.0,51471593000.0
2026.0,51422490000.0,51463250000.0,51493093000.0,51440706000.0
2027.0,51393024000.0,51432460000.0,51487440000.0,51410166000.0
2028.0,51348920000.0,51421917000.0,51478266000.0,51392168000.0
2029.0,51305296000.0,51411538000.0,51450620000.0,51377900000.0
2030.0,51259662000.0,51401420000.0,51442467000.0,51357315000.0
2031.0,51224347000.0,51385692000.0,51428377000.0,51334656000.0
2032.0,51179360000.0,51361853000.0,51430520000.0,51320540000.0
2033.0,51114828000.0,51336170000.0,51403805000.0,51282625000.0
2034.0,51049853000.0,51316620000.0,51368534000.0,51234705000.0
2035.0,50940404000.0,51307970000.0,51359855000.0,51210813000.0
2036.0,50890460000.0,51281637000.0,51347935000.0,51158530000.0
2037.0,50801033000.0,51254600000.0,51330810000.0,51111498000.0
2038.0,50734965000.0,51217183000.0,51315364000.0,51041660000.0
2039.0,50662940000.0,51178455000.0,51285635000.0,51002745000.0
2040.0,50601615000.0,51166822000.0,51276636000.0,50937330000.0
2041.0,50532143000.0,51121220000.0,51257065000.0,50862630000.0
2042.0,50484830000.0,51044356000.0,51237937000.0,50806473000.0
2043.0,50423270000.0,51015356000.0,51218993000.0,50754830000.0
2044.0,50355843000.0,50992670000.0,51198255000.0,50698940000.0
2045.0,50324800000.0,50946470000.0,51149443000.0,50657750000.0
2046.0,50226950000.0,50905480000.0,51116855000.0,50584486000.0
2047.0,50120073000.0,50863415000.0,51079918000.0,50521063000.0
2048.0,50021140000.0,50820810000.0,51039920000.0,50412970000.0
2049.0,49963270000.0,50795598000.0,51034186000.0,50370445000.0
2050.0,49804055000.0,50762486000.0,50994530000.0,50273858000.0
2051.0,49654804000.0,50732106000.0,50982617000.0,50176270000.0
2052.0,49522078000.0,50685096000.0,50944420000.0,50086523000.0
2053.0,49408900000.0,50673594000.0,50904293000.0,50030130000.0
2054.0,49158214000.0,50622837000.0,50879058000.0,49971840000.0
2055.0,48856654000.0,50588172000.0,50847904000.0,49931395000.0
2056.0,48609800000.0,50543026000.0,50868560000.0,49717748000.0
2057.0,48263156000.0,50501040000.0,50795260000.0,49615626000.0
2058.0,48009150000.0,50466920000.0,50737525000.0,49528185000.0
2059.0,47754674000.0,50456190000.0,50714427000.0,49390113000.0
2060.0,47634825000.0,50407375000.0,50649514000.0,49236754000.0
2061.0,47415177000.0,50370870000.0,50604147000.0,49091895000.0
2062.0,47122014000.0,50444340000.0,50590204000.0,48942900000.0
2063.0,46873465000.0,50318643000.0,50582094000.0,48776348000.0
2064.0,46679323000.0,50255417000.0,50526777000.0,48654170000.0
2065.0,46510960000.0,50190190000.0,50471380000.0,48522965000.0
2066.0,46288142000.0,50139690000.0,50424520000.0,48364410000.0
2067.0,46138430000.0,50147520000.0,50381160000.0,48226270000.0
2068.0,45875740000.0,50070340000.0,50351485000.0,48068000000.0
2069.0,45690230000.0,49972110000.0,50271134000.0,47970243000.0
2070.0,45510697000.0,49938430000.0,50233040000.0,47814080000.0
2071.0,45368123000.0,49891414000.0,50192785000.0,47694725000.0
2072.0,45286180000.0,49831432000.0,50149910000.0,47563340000.0
2073.0,45139603000.0,49749050000.0,50159660000.0,47405170000.0
2074.0,45065960000.0,49736810000.0,50063606000.0,47276552000.0
2075.0,44852320000.0,49655013000.0,50037445000.0,47184912000.0
2076.0,44692898000.0,49618473000.0,50009326000.0,47009788000.0
2077.0,44590047000.0,49567340000.0,49973530000.0,46901006000.0
2078.0,44413940000.0,49508467000.0,49959567000.0,46727623000.0
2079.0,44304460000.0,49499353000.0,49892872000.0,46561477000.0
2080.0,44168155000.0,49445950000.0,49849830000.0,46452646000.0
2081.0,44090384000.0,49386263000.0,49794343000.0,46377910000.0
2082.0,43902267000.0,49348534000.0,49740460000.0,46255560000.0
2083.0,43688990000.0,49298660000.0,49699086000.0,46105977000.0
2084.0,43438550000.0,49259910000.0,49661796000.0,46096257000.0
2085.0,43244036000.0,49297950000.0,49609572000.0,45965537000.0
2086.0,43053728000.0,49165620000.0,49600025000.0,45843830000.0
2087.0,42812820000.0,49095877000.0,49495613000.0,45793055000.0
2088.0,42636340000.0,49041740000.0,49448540000.0,45720154000.0
2089.0,42427380000.0,48996454000.0,49369756000.0,45634790000.0
