time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2036.0,3889784700000.0,3885921700000.0,3828762800000.0,3800053000000.0,3890346500000.0,3836620800000.0,3710529600000.0,3666642000000.0,3832259000000.0,3797078200000.0
2037.0,3878864300000.0,3825689700000.0,3785758000000.0,3763076900000.0,3860553800000.0,3793765000000.0,3674282700000.0,3617967800000.0,3778669700000.0,3782081500000.0
2038.0,3869767400000.0,3791006000000.0,3759110600000.0,3700241200000.0,3842503900000.0,3769139500000.0,3629227000000.0,3586158500000.0,3764225600000.0,3763441000000.0
2039.0,3824806300000.0,3751166300000.0,3729989300000.0,3666869000000.0,3824527000000.0,3736042200000.0,3596919500000.0,3545091500000.0,3732995300000.0,3737358000000.0
2040.0,3804245800000.0,3680177800000.0,3669054700000.0,3639513000000.0,3784905900000.0,3718025300000.0,3566818000000.0,3471365600000.0,3699734000000.0,3708777100000.0
2041.0,3782555000000.0,3649952000000.0,3636888600000.0,3610441000000.0,3765281500000.0,3703781200000.0,3539043000000.0,3440323300000.0,3661817700000.0,3686529500000.0
2042.0,3766790000000.0,3580451400000.0,3613455300000.0,3577052000000.0,3736771000000.0,3695263400000.0,3515996700000.0,3386176700000.0,3644943000000.0,3666882300000.0
2043.0,3699428000000.0,3546155000000.0,3576394200000.0,3533950700000.0,3729618000000.0,3660653000000.0,3468716700000.0,3333750300000.0,3603547000000.0,3647583800000.0
2044.0,3664349500000.0,3500288500000.0,3550811000000.0,3500208800000.0,3725049500000.0,3631078700000.0,3416666700000.0,3302850000000.0,3570727000000.0,3607607000000.0
2045.0,3621430200000.0,3443312800000.0,3526552000000.0,3484924000000.0,3699102400000.0,3592560000000.0,3389795900000.0,3277219200000.0,3537777000000.0,3586822000000.0
2046.0,3595554500000.0,3417871500000.0,3491201000000.0,3463970800000.0,3671173000000.0,3555637600000.0,3344113600000.0,3261688200000.0,3514393400000.0,3563122600000.0
2047.0,3581317500000.0,3386715000000.0,3468266000000.0,3440531700000.0,3660522000000.0,3520811500000.0,3298725700000.0,3211388300000.0,3491612900000.0,3531458700000.0
2048.0,3547532400000.0,3354711600000.0,3445796600000.0,3414962200000.0,3617904400000.0,3491828300000.0,3268058000000.0,3170808600000.0,3478555200000.0,3512063200000.0
2049.0,3525887400000.0,3344483700000.0,3425598000000.0,3392656600000.0,3577798700000.0,3474281700000.0,3219935200000.0,3131525600000.0,3444949400000.0,3499811400000.0
2050.0,3511045000000.0,3319030000000.0,3406282400000.0,3344189000000.0,3550382400000.0,3449733500000.0,3194186600000.0,3095738000000.0,3411175000000.0,3478452000000.0
2051.0,3487293500000.0,3310362600000.0,3380370700000.0,3298977600000.0,3523215000000.0,3413546600000.0,3163521300000.0,3040964200000.0,3359070000000.0,3457972200000.0
2052.0,3464409000000.0,3272855000000.0,3348545400000.0,3257537400000.0,3474510000000.0,3380867500000.0,3131358800000.0,3019702800000.0,3344392800000.0,3427718700000.0
2053.0,3429163000000.0,3236694300000.0,3298812500000.0,3227243500000.0,3445746800000.0,3346379300000.0,3089964000000.0,2984741000000.0,3315190700000.0,3400997000000.0
2054.0,3413577800000.0,3211100700000.0,3274186400000.0,3202352000000.0,3415820000000.0,3320905500000.0,3047703400000.0,2930462200000.0,3285643400000.0,3370069800000.0
2055.0,3374006400000.0,3183181300000.0,3244496300000.0,3183302000000.0,3380914200000.0,3292955400000.0,3013245400000.0,2900383200000.0,3262804000000.0,3334111800000.0
2056.0,3350737200000.0,3165443000000.0,3212904200000.0,3145915400000.0,3344651500000.0,3267935000000.0,2973388500000.0,2832382600000.0,3236309500000.0,3307760000000.0
2057.0,3339485700000.0,3116312800000.0,3186516600000.0,3114425600000.0,3307524300000.0,3252160300000.0,2928167600000.0,2789505800000.0,3192164200000.0,3279076000000.0
2058.0,3316601300000.0,3062223900000.0,3159543800000.0,3072194500000.0,3271875000000.0,3225695600000.0,2886051300000.0,2746929000000.0,3156083200000.0,3268167300000.0
2059.0,3285411700000.0,3030484300000.0,3127725800000.0,3045480500000.0,3226166600000.0,3183488000000.0,2850245000000.0,2699796700000.0,3126832100000.0,3254468200000.0
2060.0,3267301200000.0,2984955000000.0,3091973300000.0,3024116800000.0,3209869100000.0,3186819600000.0,2810083800000.0,2661160300000.0,3098345700000.0,3234966800000.0
2061.0,3236208600000.0,2970508600000.0,3052264500000.0,2998205700000.0,3195019200000.0,3153863000000.0,2779255400000.0,2624775800000.0,3064587000000.0,3198820800000.0
2062.0,3225503100000.0,2913364000000.0,3012248700000.0,2956023300000.0,3169263600000.0,3120609000000.0,2730097600000.0,2594642000000.0,3033638000000.0,3163476700000.0
2063.0,3217147800000.0,2885825300000.0,2966692600000.0,2926763300000.0,3139048600000.0,3097410700000.0,2695947000000.0,2552997000000.0,3011829300000.0,3135038600000.0
