time,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,CCSM4,GFDL-CM3,CANESM2,IPSL-CM5A-LR,CNRM-CM5,MPI-ESM-LR,NORESM1-M
2000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0
2001.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0
2002.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0
2003.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0
2004.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0
2005.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0
2006.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0
2007.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0
2008.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0
2009.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0
2010.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0
2011.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0
2012.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0
2013.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0,13802144000000.0
2014.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0,13771613000000.0
2015.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0,13778554000000.0
2016.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0,13765012000000.0
2017.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0,13732465000000.0
2018.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0,13725026000000.0
2019.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0,13703926000000.0
2020.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0,13689490000000.0
2021.0,13663910000000.0,13681610000000.0,13672958000000.0,13667760000000.0,13661462000000.0,13677612000000.0,13658020000000.0,13662017000000.0,13674118000000.0,13684149000000.0
2022.0,13660242000000.0,13662203000000.0,13650139000000.0,13635532000000.0,13640516000000.0,13649310000000.0,13641746000000.0,13647604000000.0,13652280000000.0,13661041000000.0
2023.0,13622496000000.0,13645049000000.0,13620819000000.0,13621829000000.0,13606015000000.0,13632766000000.0,13640148000000.0,13621327000000.0,13617287000000.0,13613508000000.0
2024.0,13603121000000.0,13651614000000.0,13590011000000.0,13592991000000.0,13574971000000.0,13593030000000.0,13612982000000.0,13612847000000.0,13599490000000.0,13566563000000.0
2025.0,13582417000000.0,13626669000000.0,13586414000000.0,13562285000000.0,13542753000000.0,13585204000000.0,13582208000000.0,13597176000000.0,13584944000000.0,13547412000000.0
2026.0,13559661000000.0,13619553000000.0,13549735000000.0,13533826000000.0,13509799000000.0,13543864000000.0,13589002000000.0,13556864000000.0,13539353000000.0,13512750000000.0
2027.0,13542213000000.0,13597043000000.0,13527977000000.0,13520159000000.0,13474787000000.0,13527128000000.0,13580190000000.0,13540020000000.0,13521972000000.0,13466424000000.0
2028.0,13525728000000.0,13584823000000.0,13514729000000.0,13501934000000.0,13431494000000.0,13481574000000.0,13552827000000.0,13512232000000.0,13498872000000.0,13436008000000.0
2029.0,13495450000000.0,13564068000000.0,13504946000000.0,13481959000000.0,13370090000000.0,13458475000000.0,13544987000000.0,13464228000000.0,13468737000000.0,13408661000000.0
2030.0,13484735000000.0,13556612000000.0,13461346000000.0,13461847000000.0,13312087000000.0,13443606000000.0,13538825000000.0,13411922000000.0,13444538000000.0,13385024000000.0
2031.0,13458255000000.0,13531074000000.0,13414927000000.0,13429232000000.0,13249562000000.0,13418603000000.0,13514598000000.0,13355587000000.0,13415550000000.0,13356747000000.0
2032.0,13435795000000.0,13508033000000.0,13374470000000.0,13401932000000.0,13188525000000.0,13359632000000.0,13474538000000.0,13302803000000.0,13384376000000.0,13346941000000.0
2033.0,13417498000000.0,13494745000000.0,13351909000000.0,13385151000000.0,13143373000000.0,13310271000000.0,13466115000000.0,13248377000000.0,13348189000000.0,13320080000000.0
